Name,Sector,City,Address,Phone,Email,Lat-Long
Stedman Pharmaceuticals Pvt Ltd,Companies(Private),Noida,"3-A, Adyar Bridge Road, Adyar, Chennai 600020, TN",,",info@mastersindia.co,pbalu@stedmanpharma.com,x3epbalu@stedmanpharma.com,doe@stedmanpharma.com,x3eaccounts@usanpharma.com,",
Net Gully,Companies(Private),Noida,"386/1-A, Jodhpur Park, Kolkata 700068, WB",+91-9836397132,"career@appinventiv.com,,accounts@spatniassociates.com,",
Azico Pharmaceuticals Pvt Ltd,Companies(Private),Noida,"425, Door No 7-1-621/328, Sanjeeva Reddy Nagar, Hyderabad 500038, TS",,",finance@azicobiophore.com,x3ecorphrd@rakshitdrugspvtltd.com,gsnrao@biophore.com,x3egsnrao@biophore.com,avinash@azicobiophore.com,corphrd@rakshitdrugspvtltd.com,",
RTC Restaurants India Ltd,Companies(Private),Noida,"703 & 705, Chiranjiv Tower 43, Nehru Place, New Delhi 110019, DL","+91-11-26447971, +91-11-26447972",",info@rtcindia.co.in,info@hotz.in,SHIVARAM.V@DYNAMATICS.NET,shivaram.v@dynamatics.net,",
WNS Global Services,Companies(Private),Noida,"Plant No. 10/11, Gate No. 4, Godrej & Boyce Complex, Pirojshanagar, Vikhroli (West), Mumbai – 400 079",+91-2268262100,"x3einfo@wns.com,,x3ejane.doe@wns.com,Dipti.Thakker@wns.com,",
Alrite Infotech,Companies(Private),Noida,"1st floor, Padma Nivas, Second Cross Rd, Hindwadi, Belagavi 590011, Karnataka",+91-088824570,"x3eramyinfotechprivatelimited@gmail.com,,ramyinfotechprivatelimited@gmail.com,ceo@impact-infotech.com,x22ceo@impact-infotech.com,x3echairman@avvasinfotech.com,sales@chromeinfotech.com,ravijnr9@gmail.com,info@makshiinfotech.co.in,x3eceo@impact-infotech.com,chairman@avvasinfotech.com,x22ramyinfotechprivatelimited@gmail.com,x3einfo@makshiinfotech.co.in,sales@infoicontechnologies.com,",
Sabine Immigration,Companies(Private),Noida,"No. 756, 2nd Floor, Jayanagar 4th Block, Bengaluru 560011,KA",+91-9740245941,",vtfortabrez@gmail.com,sabineimmigration@gmail.com,dcsindia11@gmail.com,",
Device Doctor India,Companies(Private),Noida,"42, Sukhdev, near Maharana Pratap Marriage Garden, Kota 324002,RJ",+91-8114471036,",sk.mata@jalindia.co.in,arun_kasauli@yahoo.co,Vivek.nic@rediffmail.co,nclkasauli@gmail.com,",
Webtech Core,Companies(Private),Noida,+91-9110170824,,",info@webtechsolution.co,",
JKNP and Associates,Companies(Private),Noida,"6 & 7, 1st Floor, Naya Bazar, Tura Mandi, Najafgarh, New Delhi 110043, DL",+91-11-25322333,"rkdas.associates@gmail.com,pankaj.bansal@jknp.in,,rkdas.associates@yahoo.com,",
Techflow Engineers,Companies(Private),Noida,"Building 2(A-3), Unit 415, Sector – 1, Millennium Business Park, Mahape, Navi Mumbai",,"Info@techflowengg.com,techflowus@techflowengg.com,,",
Restromark,Companies(Private),Noida,"Level 1, Building 10A, Cyber Hub, DLF Cyber City, Gurugram, Haryana",+91-9315935527,,
Godbms Infotech,Companies(Private),Noida,,,",shrimalitanmay@gmail.com,",
Webiopr Tech Solution,Companies(Private),Noida,"Gomti Nagar, Lucknow, Uttar Pradesh",+91-9455605492,,
Prapanjan Waterproofing,Companies(Private),Noida,,,",vijaiprakash76@gmail.com,hrsanchar@gmail.com,",
Techsensial Software,Companies(Private),Noida,"RZQ-53, Khasra No-34/21, Nihar Vihar, Nangloi, Delhi 110041, DL",+91-9818988501,,
Gcon Technologies,Companies(Private),Noida,"B-6, Hargovind Vihar, Sector 4, Rohini, New Delhi 110085, DL",+91-9711001193,",info@gcontech.com,",
Softvanz Technologies,Companies(Private),Noida,"BT-22/9, Somdatt Chamber, Bhikaji Cama Place, New Delhi 110066, DL",+91-9508989778,"x22SANJEEV08G@GMAIL.COM,,taxes@saigun.com,SANJEEV08G@GMAIL.COM,x3eSANJEEV08G@GMAIL.COM,mukund2401@gmail.com,na@cirrius.com,vishysk@gmail.com,x3etaxes@saigun.com,x22vishysk@gmail.com,x3evishysk@gmail.com,support@skugal.com,x3ena@cirrius.com,",
Nissan Steel,Companies(Private),Noida,"301 / B, Pratiksha Tower, Near Navjeevan Soc., Faras Road, Mumbai, India, 400008",+91-9869755546,",archana@anandandanand.com,customercare.nissan@email.nissan.in,sales@nissansteel.com,email@anandandanand.com,chennaianandandanand@yahoo.co.in,",
Xalcontech,Companies(Private),Noida,"102, Pinnacle Corporate Park, Next To Trade Center, Bandra Kurla Complex, Bandra East, Mumbai 400051, MH",+91-9930300662,,
Micron Technology,Companies(Private),Noida,+39-0396-3751,,",JSmith@micron.com,gxx@micron.com,jane@micronems.com,",
Technixia Automation,Companies(Private),Noida,"302/AE-41/AA-1, Vikram Co-operative Housing Society, Street No 68, Newtown, Kolkata 700156, WB",+91-9163436948,",india@gmail.com,technixia.india@gmail.com,",
MNS Digital Flip,Companies(Private),Noida,"821/1, Jaina Tower, District Center, Janakpuri, New Delhi 110058, DL",+91-9625884803,",mnsdigitalflip@gmail.com,marketing@mnsdigitalflip.com,",
Fybros,Companies(Private),Noida,"217, Patparganj Industrial Area, New Delhi 110092, DL",,"sales@fybros.com,,customercare@fybros.com,",
Gifts World Expo,Companies(Private),Noida,"New Delhi 110001, DL",+91-11-46464848,",info@mexexhibits.com,",
Gatha Enterprises,Companies(Private),Noida,"3, Snehdeep Apartment, Sahakar Nagar, Parvati Paytha, Pune 411009, MH",+91-8048967333,",gathaent@gatha.com,",
Worldwide Transcripts,Companies(Private),Noida,"Opposite Kurla Nursing Home, Kurla West, Mumbai 400070, MH",+91-9340899870,,
Map Worldwide Services,Companies(Private),Noida,"1, Divya Vinayak, Behind Lilac Garden, Charkop Link Road, Kandivali West, Mumbai 400067, MH",+91-22-28678467,,
Makarand Electronics Pvt Ltd,Companies(Private),Noida,"3/103, Darshan Udyog Bhavan, Andheri Kurla Road, Safed Pool, Andheri, Mumbai 400072, MH",+91-22-28513023,",manish@tak-technologies.com,info@aaemtlabs.com,ACCURATETESTS@GMAIL.COM,makarand.shenwai@bmnsspl.com,INFO@MRLINDIA.COM,cml@ecil.co.in,response@makarandelectronics.com,shenwai@bmnsspl.com,",
Le Champ (S.E.A) Pte Ltd,Companies(Private),Noida,"18, 1, Frazer Town, Standage Road, Bangalore 560005, KA",+91-80-25488844,"sales@lechamp.com,sales@lechamp.com.sg,,",
LBT Electronics Pvt Ltd,Companies(Private),Noida,"485,Wz, 12-A, Basai Dara Pur, New Delhi 110015, DL",+91-11-45390331,",u003elbtlighting@gmail.com,lbtlighting@gmail.com,",
Kapil Pumps & Cables,Companies(Private),Noida,"20, Opposite Christian College, Nasiya Road, Indore 452001, MP",+91-731-2365441,,
Kapco Electric Pvt Ltd,Companies(Private),Noida,"8-A, Sector 83, Phase 2, Noida 201305, UP",+91-120-4630212,",x3esupport@registrationmart.in,sales@kapco.in,kapco@airtelmail.in,finance@kapco.in,support@registrationmart.in,x3efinance@kapco.in,",
John Mech-El Technologies Pvt Ltd,Companies(Private),Noida,"109-B, Andheri Industrial Estate, Veera Desai Road, Andheri, Mumbai 400053, MH",+91-22-40165381,",info@johnmech-el.com,",
Jalan Wires Pvt Ltd,Companies(Private),Noida,"320, Dheeraj Heritage, Near Bus Depot, S.V. Road, Santacruz, Mumbai 400054, MH",+91-22-26609071,",vimal.jalan@seplco.com,info@mastersindia.co,sales@jalanwires.in,sales@seplco.com,vinodjalan@jalanwires.com,",
Infinity Power Technologies Pvt Ltd,Companies(Private),Noida,"2, 1, Avvaiyar Street, Ekkattuthangal, Chennai 600032, TN",+91-44-22250530,"xxxx@ist-india.com,,company@esaigroups.com,",
Indotech Industrial Solutions Pvt Ltd,Companies(Private),Noida,"1 & 2, Ankur Plaza Bangalore Highway, Warje, Pune 411058, MH",+91-20-65272221,"Contact@indotechindustries.com,,contact@indotechindustries.com,dwivediindrasen57@gmail.com,",
Indo Electricals,Companies(Private),Noida,"1-C, 675, Gidc Makarpura, Vadodara 390010, GJ",+91-265-6672123,",info@indoelectricals.com,info@indoappliances.com,sales@indoelectricals.com,",
Indo Cable Industries,Companies(Private),Noida,"77, 12, 3-C, 2, Ganesh Complex, Lakshmi Vilas Bank, Hosur 635109, TN",+91-4344-244830,",waghodia.rrkabel@rrglobal.com,",
Indian Society of Lighting Engineers,Companies(Private),Noida,"3, 1513, Gumanpuri Complex, Bhishma Pitamah Marg, Wazir Nagar, New Delhi 110003, DL",+91-11-24624063,",SharadKumar.Singh@gmrgroup.in,",
Howden Solyvent (India) Pvt Ltd,Companies(Private),Noida,"Budge Trunk Road, Maheshtala, Kolkata 700141, WB",+91-33-71204000,",enquiries@howdenindia.com,webenquiries@howden.com,",
Hi-Tech Audio Systems Pvt Ltd,Companies(Private),Noida,"12-F, Okhla, Phase? 1, New Delhi 110020, DL",+91-11-43174317,",skmehta@skmehta.co.in,",
HBL Power Systems Ltd,Companies(Private),Noida,"Lalgadi Malakpet, Shameerpet Manda Rangareddy, Medchal 500078, AP",+91-8418-301640,"x3ehro@hbl..in,hro@hbl..in,,last@hbl.in,contact@hbl.in,jane_doe@hbl.in,",
Goliya Instruments Pvt Ltd,Companies(Private),Noida,"311, Bharat Industrial Estate, T. J. Road, Sewree, Mumbai 400015, MH",+91-22-24149657,",golia@bom5.vsnl.net.in,info@goliyainstruments.com,",
Glacier Technologies Pvt Ltd,Companies(Private),Noida,"Kamala Marketing Point, Opposite Gauhati Commerce College, R. G. Baruah Road, Guwahati 781003, AS",+91-361-2461400,",sales@elica.in,customercare@elica.in,rocblaghy@gmail.com,captsandeep@uvmshipping.com,",
Epoch Instruments & Controls Pvt Ltd,Companies(Private),Noida,"Paradise 5th Cross, Prashant Nagar, Bangalore 560079, KA",+91-80-23283728,,
EOS Power India Pvt Ltd,Companies(Private),Noida,"57, Sdf II, Seepz Andheri 400096, MH",+91-22-67744000,",india@eospower.com,Vijay.Gujarathi@belf.com,last@eospower.com,parag.patil@eospower.com,",
Eolane Electronics Bangalore Pvt Ltd,Companies(Private),Noida,"8-B, Velankani Information System Campus, Hosur Road, Phase 1, Electronic City, Bangalore 560100, KA",+91-80-25017000,",gnvmail@gmail.com,info.bangalore@eolane.com,CMACS.SA@gmail.com,",
Enertech Pvt Ltd,Companies(Private),Noida,"62, 1, Raja Industrial Estate, P. K. Road, Mulund 400080, MH",+91-22-25611865,"business@enertechups.com,,cyberspaceansh@gmail.com,",
Elgi Electric & Industrial Ltd,Companies(Private),Noida,"737-D, Green Fields, ELGI Towers, Puliakulam Road, Coimbatore 641045, TN",+91-422-2311711,,
Electrotech Industries,Companies(Private),Noida,"123-82, Pushpak Industrial Estate, Neeka Tube Compound, Vatva, Phase 1, Ahmedabad 382445, GJ",+91-79-9879527191,"Sumits976@gmail.com,,anujku@gmail.com,",
Electro Crimp Contacts (India) Pvt Ltd,Companies(Private),Noida,"44, 17, 1, Midc, Satpur, Nashik 422007, MH",+91-253-2354348,",enquiries@jst-india.com,sales@eccipl.com,sales2@eccipl.com,marketing@eccipl.com,",
Elcon Cable Trays Pvt Ltd,Companies(Private),Noida,"1, Dynasty, Near Hotel-Nebula, Pashan Road, Bavdhan Kh, Pune 411021, MH",+91-20-24690776,",dinesh@elconpune.com,Skauldel@Gmail.Com,info@elconglobal.com,",
Eco Lite Technologies,Companies(Private),Noida,"139-N, Sector 7, Part 2, Manesar, Gurgaon 122001, HR",+91-124-4845447,",last@ecolitetechnologies.co.in,ecolitewire@gmail.com,",
DOMINANT Opto Technologies,Companies(Private),Noida,"11-C, 86, Vesanth Business Centre, Ttk Road, Alwarpet, Chennai 600018, TN",+91-44-42030616,",sales@dominant-semi.com,",
DMS Technologies Pvt Ltd,Companies(Private),Noida,"34, Industrial Area, Belawadi, Mysore 570018, KA",+91-821-4001252,",contact@softage.net,accounts@dmstech.in,info@mastersindia.co,",
Diagnostic Technologies India Pvt Ltd,Companies(Private),Noida,"207, Gauri Complex, Vasai 401210, MH",+91-251-2392162,",jane_d@diatech.in,info@mastersindia.co,amar.mehta@in.acteongr,x3eoffice@diatech.in,regulatory@bpl.in,office@diatech.in,aditya.korde@diatech.in,manan@ozonebio.com,naimex@aimil.com,",
Delta Energy System (India) Pvt Ltd,Companies(Private),Noida,"43, Hiidc, Sector-35, Gurgaon 122001, HR",+91-124-4874945,",sanjay.gupta@deltaww.com,u003esanjay.gupta@deltaww.com,x3esanjay.gupta@deltaww.com,",
Cummins India Ltd (Cummins),Companies(Private),Noida,"21, 6th Floor, Tower A, Balewadi, Pune 411045, MH",+91-20-67067001,",x3ecompanysecretarial.CIL@cummins.com,svds_1@rediffmail.com,boschgde2@gmail.com,gasbangalore.cummins@gmail.com,gdmotors.cummins@gmail.com,companysecretarial.CIL@cummins.com,gdmotors11@gmail.com,svds.cummins@gmail.com,",
Creative Systems & Solutions (Libani),Companies(Private),Noida,"117, 134, 35, Dsidc Himmatpuri, Opposite Trilokpuri, New Delhi 110091, DL",+91-11-22710328,,
Cosonic Components Pvt Ltd,Companies(Private),Noida,"5, Srinagar Colony, Kalyani Cross Street, Saidapet, Chennai 600015, TN",+91-44-42119733,",info@aurorait.com,rssmanian@cosonic.in,",
Contech Instruments Ltd,Companies(Private),Noida,"301, 3, Punit Industrial Premises, Near Turbhe, Mumbai 400705, MH",+91-22-27611177,",response@contechweighingscales.com,",
Circutor Energy Management India Pvt Ltd,Companies(Private),Noida,"89-B, MES Colony, Konena Agrahara HAL, Bangalore 560017, KA",+91-80-25233141,",accounts@circutorindia.com,",
CECO Electronics Pvt Ltd,Companies(Private),Noida,"18, 9, R N Mukherjee Road, Kolkata 700001, WB",+91-33-22108785,",chetan.dugar@gmail.com,sk@triparulexfire.com,cecokolkata@gmail.com,PURLIEUSINC@GMAIL.COM,",
Cascade Electro Thermic Pvt Ltd,Companies(Private),Noida,"3, Cascade Layout, Luna Nagar, Coimbatore 641025, TN",+91-422-2402406,",info@visitcascade.com,jane@visitcascade.com,",
