Name,Sector,City,Address,Phone,Email,Lat-Long
WTFup Gym - Sector 76 - Noida,Gym,Noida,+91-90906 39005,,",contact@fitvilla.in,","28.5744666,77.2695529"
Yog Sanjeevani - Sector 62 - Noida,Gym,Noida,"126, Mithila Vihar, Near Shiv Hanuman Mandir, Sector 62, Noida, 201309, UP",+91-11-66361118,,
Xecess Power - Dadri - Noida,Gym,Noida,"Opposite Mohan Kunj, Daulatram Market, Railway Road, GB Nagar, Dadri, Noida, 203207, UP",+91-9313136454,,
VLCC - Sector 18 - Noida,Gym,Noida,"P-2, 3, JOP Plaza, Sector 18, Noida, 201301, UP","+91-120-2510787, +91-120-2510788, +91-120-2511205, +91-120-4125787",,
The Devotion Gym - Sector 27 - Noida,Gym,Noida,"Near Vinayak Hospital, Sector 27, Noida, 201301, UP","+91-9999238575, +91-9818572012",,
Talwalkars Hi Fi - Sector 62 - Noida,Gym,Noida,"B-23/A, Gauravdeep Heights, Behind Fortis Hospital, Sector 62, Noida, 201309, UP","+91-120-2405943, +91-120-2405944",,
Ramagya Sports Academy - Sector 5 - Noida,Gym,Noida,"E-7, Sector 50, Noida, 201307, UP","+91-9899866676, +91-120-4325172, +91-120-4325173",",info@ramagyasportsacademy.com,",
Power Planet - Sector 11 - Noida,Gym,Noida,"M-12/A, Near Metro Heart Institute, Sector 11, Noida, 201301, UP","+91-9911263646, +91-9650555711",,
Noida Gym & Fitness Centre - Sector 62 - Noida,Gym,Noida,"A-4, Karl Huber School, Sector 62, Noida, 201301, UP","+91-9818246162, +91-9873756125",,
New Generation Health Club - Sector 62 - Noida,Gym,Noida,"24, B Block, Sector 62, Noida, 201309, UP","+91-9650369776, +91-9810912948, +91-9910822020",",info@kailashhealthvillage.com,ndineshmehta84@gmail.com,sector51.noida@goldsgym.in,dineshmehta84@gmail.com,",
Metro Health Care - Sector 49 - Noida,Gym,Noida,"A-901, Kesar Garden, Main Dadri Road, Sector 49, Noida, 201301, UP","+91-9310884388, +91-9015689345, +91-9953216233",",bv49@blackvigor.com,ankurdwivedi_up@yahoo.com,",
Maher Yoga Trust - Sector 47 - Noida,Gym,Noida,"A-57, Near Jagran Public School, Sector 47, Noida, 201301, UP",+91-9891147760,",priya_venkataraman@hotmail.com,",
La Fitnesse - Sector 27 - Noida,Gym,Noida,"SAB Mall, Metro Station, Sector 27, Noida, 201301, UP",+91-9654900575,",contact@fitnessintl.com,",
Kids Little Gym - Sector 63 - Noida,Gym,Noida,"H-113, Sector 63, Noida, 201301, UP",+91-9810354822,,
Iron Pumpers Gym - Sector 33 - Noida,Gym,Noida,"Rockwood School, Sector 33, Noida, 201301, UP",+91-9311124499,,
Indian Aquatic Academy - Sector 24 - Noida,Gym,Noida,"A-7, Near NTPC & HCL Building, Sector 24, Noida, 201301, UP",+91-9250916555,,
Health Village - Sector 62 - Noida,Gym,Noida,"C-38, Gautam Budh Nagar, Sector 62, Noida, 201309, UP","+91-9999998801, +91-9999998802, +91-9999998803",",feedback@kailashhealthvillage.com,contact@kailashhealthvillage.com,u003efeedback@kailashhealthvillage.com,",
Health Fitness Top Gym - Sector 15 - Noida,Gym,Noida,"2nd Floor, Basoya Complex, Naya Baas, Sector 15, Noida, 201301, UP",+91-9313615507,,
Golds Gym - Sector 127 - Noida,Gym,Noida,"7, IHDP Business Park, Sector 127, Noida, 201301, UP","+91-120-4557351, +91-120-4557353, +91-120-4557352, +91-120-4557354",",ihdp.noida@goldsgymindia.com,goldsgymsector30noida@gmail.com,",
Golds Gym - Sector 30 - Noida,Gym,Noida,"E-16B-2, 1st Floor, Kirtiman Plaza, Sector 30, Noida, 201301, UP","+91-120-4247162, +91-120-4247163",",sector30.noida@goldsgymindia.com,goldsgymsector30noida@gmail.com,",
Golds Gym - Noida,Gym,Noida,,,",sector30.noida@goldsgymindia.com,goldsgymsector30noida@gmail.com,sector51.noida@goldsgym.in,ihdp.noida@goldsgymindia.com,",
Get Fit N Fine - Sector 5 - Noida,Gym,Noida,"B-1/35, Near ICICI Bank, Sector 50, Noida, 201307, UP","+91-8802262200, +91-9990629829",,
Fitness Training - Sector 71 - Noida,Gym,Noida,"A-49, SAI Appartment, Near Sai Mandir, Sector 71, Noida, 201301, UP",+91-9873411114,"sector51.noida@goldsgym.in,,",
Fitness Fourty Four - Sector 44 - Noida,Gym,Noida,"Opposite C Block Park, Sector 44, Noida, 201301, UP",+91-9818729828,",otostays@gmail.com,",
Dynamic Kickboxing Cross Training Fitness - Sector 92 - Noida,Gym,Noida,"A-120, Sector 92, Noida, 201301, UP",+91-9810687485,",dynamickickboxing.ctf@gmail.com,",
Dance And Aerobic Classes - Sector 62 - Noida,Gym,Noida,"Gali 2, Near Shoprix Mall, Sector 62, Noida, 201309, UP",+91-9555902579,,
