Name,Sector,City,Address,Phone,Email,Lat-Long
Gujarat Wire And Metal Industries,Companies(Private),Padra,"3, A, 3, 18, Udhyog Nagar, Udhna, Surat 394210, GJ",+91-261-6573817,,
Zinser Textile Systems Pvt Ltd,Companies(Private),Padra,"1685, Survey No 1517, Opposite Telco Cargo, National Highway 8, Aslali, Ahmedabad 382427, GJ",+91-9979096938,",simantini.budukh@saurer.com,",
Shri Lakshmi Cotsyn Ltd,Companies(Private),Padra,"19/X-1, Krishna Puram, GT Road, Kanpur 208007, UP",+91-512-2402733,",shri@shrilakshmi.in,doe-jane@shrilakshmi.in,rakesh@shrilakshmi.in,x3eshri@shrilakshmi.in,sehulenterprises@rediffmail.com,",
Shivam Pharma Chemicals,Companies(Private),Padra,"23, Dheeraj Plaza, 5th Floor, Hill Road, Bandra West, Mumbai 400050, MH",,",nidhesh.saboo@hotmail.com,",
ResMed India Pvt Ltd,Companies(Private),Padra,"205, Plot D-2, Southern Park, 2nd Floor, District Centre, Saket, New Delhi 110017, DL",,",restec.patna@gmail.com,enquiries@resmed.co.in,",
Emami Agrotech Ltd,Companies(Private),Padra,"687, Emami Tower, E M Bypass, Anandapur, Kolkata 700107, WB",,",contact@emamiagrotech.com,investors@emamigroup.com,debjani@emamiagrotech.com,contact@emamigroup.com,",
Va Tech Wabag Ltd,Companies(Private),Padra,"17, 200 Feet Thoraipakkam, Pallavarm Radial Road, Sunambu Kolatur, Chennai 600117, TN",+91-44-39232323,"companysecretary@wabag.in,,einward.ris@kfintech.com,last@wabag.com,wabag@wabag.in,","22.3020567,73.1606432"
Syndicate Express Pvt Ltd,Companies(Private),Padra,"12/9, Sujata Mansion, S. V. Road, 2nd Floor, Andheri West, Mumbai 400058, MH","+91-22-26700174, +91-22-26700735",",customercare@syndicateexpress.com,info@bariumindia.com,",
Rishi Techtex Ltd,Companies(Private),Padra,"612, 10-14, Veena Killedar Industrial Estate, Pais Street, Byculla, Mumbai 400027, MH","+91-22-23075677, +91-22-23084886",",rishi.srits@gmail.comn,info@rishitechtex.com,",
Mathura Polypack Pvt Ltd,Companies(Private),Padra,"F-17, Industrial Area, Site A, Mathura 281001, UP",-9412279937,",info@mathurapolypack.in,shreelam@yahoo.co.in,Rajkotpolyfab@Gmail.Com,n@rediffmail.com,mathurapolypack@gmail.com,xxxx@mathurapolypack.in,",
Yugal Concrete Floors Pvt Ltd,Companies(Private),Padra,"110, Vardhaman Plaza 1, J Block Commercial Comple, Rajouri Garden, New Delhi 110027, DL",-9810002504,",piyush.sahni@yugalflooring.com,yugal_76@yahoo.com,",
TSA Promotions & Events Pvt Ltd,Companies(Private),Padra,"K-4, Ashwamegh, Cama Industrial Estate, Walbhat Road Goregaon East, Mumbai 400063, MH",-9821321397,,
Cornerstone Communications Pvt Ltd,Companies(Private),Padra,"101, Aabhar, 5th Road, Khar West, Mumbai 400052, MH",-65576631,"uday@cornerstoneindia.co.in,,hello@cornerstone.in,",
Eben Telecom Pvt Ltd,Companies(Private),Padra,"2, 2, The New Indian Express Building, Opposite Gokulam Park Inn, Kochi 682017, KL",,"enquiry@evolveindia.co,enquiry@evolveindia.co,enquiry@evolveindia.co,amitoj.sethi@evolve.india.com,amitoj.sethi@gmail.com,evolvehrsolutions@gmail.com,",
Wacker Metroark Chemicals Pvt Ltd,Companies(Private),Padra,"24, DH Road, Chandi, Parganas, Kolkata 743503, WB","+91-33-24072223, +91-33-24072000","jalsha36@hotmail.com,jainam.shah@westernrubbers.com,jalsha36@hotmail.com,",
Tarak Plastics,Companies(Private),Padra,"Plot No D/317, TTC MIDC Area, Thane Belapur Road, Turbhe Naka, Navi Mumbai 400705, MH","+91-22-27683089, +91-22-24074879","indiacorporatesecretarial@honeywell.com,techinfo@orbitindia.net,techinfo@orbitindia.net,mumbaidacs.private@gmail.com,tecsolpvtltd@gmail.com,x3eindiacorporatesecretarial@honeywell.com,",
Tarak Chemicals Ltd,Companies(Private),Padra,"Mezzannie Floor, ABS Tower, Old Padra Road, Vadodara 390007, GJ","+91-265-2354901, +91-265-2354902","tpil@kkthelittlegiant.com,tpil.kkgroup@gmail.com,devesh.magia@lilapolymers.com,tpil.kkgroup@gmail.com,devesh.magia@lilapolymers.com,",
Suba Plastics Pvt Ltd,Companies(Private),Padra,"85, Mettupalayam Main Road, Jothipuram, Coimbatore 641047, TN",-2692585,,
Heni Chemical Industries,Companies(Private),Padra,"Plot No A/161, Wagle Industrial, Main Road, Mumbai 400604, MH","+91-22-25836009, +91-22-25823357","info@hplcindia.com,sales@hplcindia.com,mumbai@hplcindia.com,info@hplcindia.com,sales@hplcindia.com,mumbai@hplcindia.com,sonalkothari2@gmail.com,info@hplcindia.com,sales@hplcindia.com,mumbai@hplcindia.com,mumbai@hplcindia.com,mumbai@hplcindia.com,mumbai@hplcindia.com,mumbai@hplcindia.com,sonalkothari2@gmail.com,",
Chemcrux Enterprises Ltd,Companies(Private),Padra,"T-7, National Plaza, RC Dutt Road, Vadodara 390007, GJ","+91-265-2344803, +91-265-2358903","mayankshah@chemieorganic.com,mayankshah@chemieorganic.com,info@chemieorganic.com,mayankshah@chemieorganic.com,mayankshah@chemieorganic.com,x3emayankshah@chemieorganic.com,",
ACT Agro Chem Pvt Ltd,Companies(Private),Padra,"F-1, Janki Chambers, Rajmahal Road, Vadodara 390001, GJ",+91-265-2425098,"anindya.chakraborti@adityabirla.com,x3eanindya.chakraborti@adityabirla.com,",
Shiwkon Digitek Pvt Ltd,Companies(Private),Padra,"309, Pushpam, Opposite Seema Hall, 100 Feet, Anandnagar Road, Satellite, Ahmedabad 380015, GJ",+91-79-32950707,,
InspireOne Consultants Pvt Ltd,Companies(Private),Padra,"814, 1st Floor, Phase-5, Sector 19, Udyog Vihar, Gurgaon 122001, HR",+91-124-4827214,,
H.S. Dhir & Co,Companies(Private),Padra,"336, Lawyers Chamber, Delhi High Court, New Delhi 110003, DL",+91-11-23935088,"careers@havocconsultants.com,ahmedabad@havocconsultants.com,",
Absolute Quality Certification Pvt Ltd,Companies(Private),Padra,"401, Ashok Bhawan, Building No- 93, Nehru Place, New Delhi 110019, DL",+91-11-41051139,,
