Name,Sector,City,Address,Phone,Email,Lat-Long
Fit Life - Palghar,Gym,Palghar,"Kalpataru Plaza, 1st Floor, Chincholi Bunder Road, Malad West, Mumbai 400064, MH",+91-972262119,",info@allservicepoint.com,","19.6254707,72.6858572"
Fitness Warehouse A Unisex Gym - Palghar,Gym,Palghar,"Shop no. 1,2,3, Rahul residence, fatak road, near apna bank W, Lokmanya Nagar, Vishnu Nagar, Navali, Palghar, Maharashtra 401404",+91-,",fitnesswarehouse14@gmail.com,","19.6932606,72.7696812"
Spring Club - Palghar,Gym,Palghar,"Near Swami Vivekananda International School, Parekh Nagar, Kandivali West, Mumbai 400067, MH",+91-9972822363,,"19.6944086,72.7502934"
Key Studio - Fitness Farm - Palghar,Gym,Palghar,"1ST, Crystal Lawn Society, near V care center, Kandivali, Nabard Nagar, Thakur Complex, Kandivali East, Mumbai, Maharashtra 400101",022 3946 4346,"Assist@KeyStudios.in,,mastertallyeducation@gmail.com,","19.2069765,72.8625963"
Fab The Gym - Palghar,Gym,Palghar,"87, Opposite Nisarga Garden, Cross Road No 5, Shri Krishna Nagar, Borivali East, Mumbai 400066, MH",+91-9323032075,",info@gymcompany.co.za,x3einfo@gymcompany.co.za,","19.6936246,72.7546046"
Ultimate Fitness & Mixed Martial Arts - Palghar,Gym,Palghar,"Juna Palghar, Palghar, Maharashtra 401404",087888 71463,,"19.702695,72.7655662"
Posture Fitness - Palghar,Gym,Palghar,"Juna Palghar, Palghar, Maharashtra 401404",+91-7045964877,,"19.6979936,72.7682551"
My Fitness Studio - Palghar,Gym,Palghar,"105/108, 1st Floor, Opposite Shankar Dyeing, Kamatghar Road, Anjur Phata, Bhiwandi, Thane 421302, MH",+91-7419592417,",x3ecare@myfitness.co.in,care@myfitness.co.in,vasai.mumbai@goldsgym.in,","19.5390798,72.7352882"
Mickey Mehta Gym & Fitness Center - Palghar,Gym,Palghar,"45, Sri Vallabh Shoping Complex, 3rd Floor, Above Pantaloons & Zamkudi, SV Road, Borivali West, Mumbai 400092, MH",+91-7419594233,,"19.7111343,72.7279967"
Genetics Multipurpose Fitness Club - Palghar,Gym,Palghar,"Bungalow No 4, Laxmi Villa, Opposite Sai Baba Temple, Chikuwadi, Borivali West, Mumbai 400092, MH",+91-7419594855,",anilc9322@gmail.com,","19.5116249,72.4688412"
Fit 2 Flaunt Fitness Centre - Palghar,Gym,Palghar,"4th Floor, Mahim Rd, above Reliance Trends, Palghar, Maharashtra 401404",098676 37567,",investor@dermawear.co.in,","19.6914206,72.7565726"
A9 Gym - Palghar,Gym,Palghar,"Rosa Vista, 1st Floor, Opposite Suraj Water Park, Ghodbunder Road, Kasarvadavali, Thane 400615, MH",+91-7738674111,",info@transformersgyms.com,vasai.mumbai@goldsgym.in,","19.6979213,72.7611552"
JK Fitness Warrior - Palghar,Gym,Palghar,"A wing, Basement, Avirahi Building, Landmark - Kotak Mahindra Bank near shimpoli Signal, Swami Vivekananda Rd, Borivali West, Mumbai, Maharashtra 400092",098926 66002,,"19.2221186,72.8510269"
Cosmic Fitness - Palghar,Gym,Palghar,"1303-C, Ananda Residency, Opposite Shantidham Prathanalay, Amarkant Jha Road, Kasturi, Borivali West, Mumbai 400092, MH",+91-9972307668,"WeCare@GoldsGym.in,,vasai.mumbai@goldsgym.in,","19.6970575,72.7549173"
Temple Of Fitness Footprint 2.0 - Palghar,Gym,Palghar,"Ganesh Chowk, Shri Ganesh Sai Bhakt Mandal, behind Domino's, Charkop Sector 6, Kandivali West, Mumbai, Maharashtra 400067",091376 66658,",investor@dermawear.co.in,","19.2155345,72.8320142"
