Name,Sector,City,Address,Phone,Email,Lat-Long
Gargi Enterprises,Companies(Private),Panchkula,"40, Industrial Layout, Banashankari 2nd Stage, Bengaluru 560070, KA",+91-80-26712586,,
ElectroSolve,Companies(Private),Panchkula,"219, 3, 4-C, HRBC Layout, Bangalore 560043, KA",+91-80-41732941,,
United Threads,Companies(Private),Panchkula,"149, Near Adarsh Hoapital, Raja Garden Main Road, Ramesh Nagar, New Delhi 110015, DL",+91-11-45636163,",info@mbrindia.com,panckula@suryapharma.com,",
Helios Solar,Companies(Private),Panchkula,"24-TC, 351, Krishnalaya Thycaud, Thiruvananthapuram 695014, KL",+91-471-4099917,",info@heliossolar.in,starfieldrenewables@gmail.com,info@heliosnatural.com,sales@prayoshasolar.com,prayoshasolar@gmail.com,",
Verve Human Care Laboratories,Companies(Private),Panchkula,"A-43, Verve Corporate Headquaters, Industrial Area, G.T. Karnal Road, New Delhi 110033, DL",,"HR@vervehumancare.com,,institution@venuremedies.com,info@vervehumancare.com,HR.officer@vervehumancare.com,SS@vervehealth.in,",
Therachem Laboratories,Companies(Private),Panchkula,"8/281-1, Adinath Apartments, Tardeo Road, Mumbai 400007, MH",,",taklab@tak-technologies.com,ainmedicare@rediffmail.com,",
Parker Robinson Pvt Ltd,Companies(Private),Panchkula,"1, Nimak Mahal Road, Kolkata 700043, WB",,",mail@grandpolycoats.com,parkrob02@yahoo.com,",
Imcd India Pvt Ltd,Companies(Private),Panchkula,"1402, C-38 & C-39, Parinee Crescenzo Building, 11th Floor, G Block, Behind MCA, Bandra Kurla Complex, Bandra East, Mumbai 400051, MH",,",jignesh.mehta@imcd.in,ir@imcdgroup.com,corporate.india@imcd.in,x3ecorporate.india@imcd.in,",
Chemo Healthcare Pvt Ltd,Companies(Private),Panchkula,"1, New Ahmedabad Industrial Estate, Morraiya, Changodhar, Sanand 382213, GJ",,"chemohealthcare@gmail.com,,x3echemohealthcare@gmail.com,",
Adonis Laboratories Pvt Ltd,Companies(Private),Panchkula,"C-6, Groma House, Sector 19, APMC Market 2, Vashi, Navi Mumbai 400703, MH",,",bhavin.shah@adonislab.com,x3ebhavin.shah@adonislab.com,doe.jane@adonislab.com,acichemlabs@rediffmail.com,",
The Indian Organic Farmers Producer Company Ltd (IOFPCL),Companies(Private),Panchkula,"Thottmugham, Aluva, Ernakulam 683105, KL",+91-484-2620659,"info@iofpcl.com,,info@jaivaonline.com,",
Punjab Agro Industries Corporation Ltd,Companies(Private),Panchkula,"Plot No 2-A, Sector 28-A, Madhya Marg, Chandigarh 160002, CH","+91-172-2656241, +91-172-2656242",",agro.paic@punjab.gov.in,u003esectt.agro@punjab.gov.in,rtuli@yahoo.com,haicpkl@gmail.com,agro.rtuli@yahoo.com,sectt.agro@punjab.gov.in,x3esgupta.cs@hind.in,",
HP Horticultural Produce Marketing and Processing Corporation Ltd (HPMC),Companies(Private),Panchkula,"3rd Floor, Nigam Vihar, Shimla 171002, HP","+91-177-2623835, +91-177-2623823","hpmcshimla@live.com,,horticulsecy-hp@gmail.com,",
Hathibhai Bulakhidas Pvt Ltd,Companies(Private),Panchkula,"86, Masjid Bunder Road, Mumbai 400003, MH",+91-22-23455137,",praranna5@gmail.com,hb1@vsnl.com,corplaw.corporate@gmail.com,shril.madan@gmail.com,",
Haryana Warehousing Corporation (HWC),Companies(Private),Panchkula,"Bays 15-18, Sector 2, Panchkula 134115, HR","+91-172-2578831, +91-172-2578829",",hwc@hry.nic.in,fisheries.haryana@gmail.com,u003ehwc@hry.nic.in,",
Haryana Seeds Development Corporation Ltd,Companies(Private),Panchkula,"Beej Bhanwan, Bays No 3-6, Sector 2, Panchkula 134151, HR",+91-172-2577583,",cshsdcl@gmail.com,",
Haryana Dairy Development Coop Fed Ltd (Vita),Companies(Private),Panchkula,"Bay No 21-22, Sahkarita Bhawan, Sector 2, Panchkula 134115, HR","+91-172-2585159, +91-172-2586826",",hddcfl@hry.nic.in,vitaindia@gmail.com,n@gmail.com,drzwcdm@desw.gov.in,",
Daily Dump,Companies(Private),Panchkula,"1163, 12th Main, 1st Cross 2nd Stage, Off 100 Feet Road, Indiranagar, Bangalore 560038, KA",+91-80-41157311,",hello@dailydump.org,Email-hspcbrohr@gmail.com,","30.6710296,76.7610777"
