Name,Sector,City,Address,Phone,Email,Lat-Long
Binay Opto Electronics Pvt Ltd,Companies(Private),Patna,"27, Panditia Terrace, Kolkata 700029, WB",+91-33-40069875,",doej@binayled.com,info@binayled.com,",
Bil Energy Systems Ltd,Companies(Private),Patna,"201, 204, Vikas Chamber Junction of Link And Marve Road, Mith Chowky, Malad, Mumbai 400064, MH",+91-22-42728080,"cestat08@gmail.com,,rnt.helpdesk@linkintime.co.in,investors@bilenergy.com,",
Sona Impex,Companies(Private),Patna,"7, Ahiya Apartment, 16th Road, Opposite Rotary Park, Santacruz West, Mumbai 400054, MH",+91-22-26461774,",choul_narayan@hotmail.com,",
Plantgene Seeds Ltd,Companies(Private),Patna,"TG-2C-1, Garden Estate, M. G Road, Gurgaon 122002, HR",+91-9810181503,",khunnah@plantgeneseeds.com,",
Patson Foods India Pvt Ltd,Companies(Private),Patna,"Vada Road, National Highway No 8, Sisordra Ganesh, Navsari 396463, GJ","+91-2637-650854, +91-2637-265497",",info@patsonfoods.com,patsonfoods@yahoo.co.in,exports@patsonfoods.com,asudhir@timbaktoo.in,",
Bikaji Foods International Ltd,Companies(Private),Patna,"F-196/197, Bichhwal Industrial Area, Bikaner 334006, RJ","+91-151-2259914, +91-151-2250588",",x3eonline@bikaji.com,rishabh@bikaji.com,online@bikaji.com,","25.5895462,85.186238"
Bihar State Milk Co-Operative Federation Ltd,Companies(Private),Patna,"Dairy Development Complex, B. V. College, Patna 800014, BR","+91-612-2227451, +91-612-2224083","info@tendersontime.com,,comfed.patna@gmail.com,CO.FILING@SIFY.COM,","25.5982841,85.0775536"
AOV Exports Pvt Ltd,Companies(Private),Patna,"C-22/25, Sector 57, Noida 201301, UP",+91-120-4692900,",ENVACARELABORATORY@GMAIL.COM,RAJUAOV@GMAIL.COM,compliance@aovgroup.in,agrice@glide.net,connect@aovgroup.in,marketing@aovgroup.in,x3ecompliance@aovgroup.in,","25.6157856,85.1101114"
Payper Bagging India Pvt Ltd,Companies(Private),Patna,"4, White House, Above Dominos, NDA Pashan Road, Bavdhan, Pune 411021, MH","+91-20-65333318, +91-20-65290122",",jane_d@payperindia.com,bagging@payperindia.com,sales@payperindia.com,accounts@payperindia.com,",
Tekno Point Multimedia India Pvt Ltd,Companies(Private),Patna,"505, Ekta Bhoomi Gardens, Borivali East, Mumbai 400066, MH",-9004487681,",himanshu@teknopoint.in,rmmody@rediffmail.com,careers@teknopoint.in,",
NexGen Market Research Services Pvt Ltd,Companies(Private),Patna,"204/205, Vikas Plaza, 2nd Floor, Banaras House, K Block, Kalkaji, New Delhi 110019, DL","+91-11-64540098, +91-11-26463353",",mail@nexgenint.com,",
Eventra Media Pvt Ltd,Companies(Private),Patna,"165, R T Nagar, Bangalore 560032, KA",-9591631022,,
Shivaganga Polymers Pvt Ltd,Companies(Private),Patna,"G-2, PVR Residency, Dharmareddy Nagar, Colony Phase 2, Kukatpally, Hyderabad 500085, TS","+91-40-40101313, +91-40-40101314","anil.tyagi@lumaxmail.com,shares@lumaxmail.com,anil.tyagi@lumaxmail.com,shares@lumaxmail.com,",
Sunrise Placement Services Pvt Ltd,Companies(Private),Patna,"218, 2nd Floor Aapka Bazar, Gurgaon 122001, HR",+91-124-4409786,"jessyindia25@gmail.com,",
Rare Accumen HR & Management Solutions Pvt Ltd,Companies(Private),Patna,"101, 1st Floor, Anita Appartment, Near Grand Hyatt, Vakola Bridge, Santacruz East, Mumbai 400055, MH",+91-22-66425555,"mukundtp@rediffmail.com,chandan@reflexionint.com,editabhiav@gmail.com,CHANDAN@REFLEXIONINT.COM,",
Lall Lahiri & Salhotra,Companies(Private),Patna,"28-B, Institutional Area, Sector-32, Gurgaon 122001, HR","+91-124-2382202, +91-124-2382203","evolvehrsolutions@gmail.com,x3eevolvehrsolutions@gmail.com,jane_doe@hrworksindia.com,first@hrworksindia.com,vijay@hrworksindia.com,",
Cineline India Ltd,Companies(Private),Patna,"215, 10th Floor, Andheri Kurla Road, Andheri East, Mumbai 400093, MH","+91-22-67266666, +91-22-67267777","info.in@transsion.com,x3epreeti@emindslegal.com,rdjog@RamaGroup.co.in,preeti@emindslegal.com,x3einfo.in@transsion.com,x3etulesh.chandra@selp.in,minal.bhosale@crisil.com,x3eshyam.mahadik@omya.com,tulesh.chandra@selp.in,shyam.mahadik@omya.com,",
Skindia Finance Pvt Ltd,Companies(Private),Patna,"83, Maker Chambers 3, Nariman Point, Mumbai 400021, MH",+91-22-22872502,"pru.2689@gmail.com,abshiksha17@gmail.com,",
