Name,Sector,City,Address,Phone,Email,Lat-Long
Pupa Clic,Companies(Private),Perungudi,"G-12, VGP Victory House, Mount Road, Annasalai, Chennai 600002, TN",+91-9940268251,,
ifelse Technologies,Companies(Private),Perungudi,"16/4, Salai Street, Choolai, Chennai 600112, TN","+91-8111055333, +91-9884899868",",dijo.dill@gmail.com,salesteam@cloudbankin.com,",
Muviereck Technologies,Companies(Private),Perungudi,"364-4/641-4, Near Sky Walk Mall, Poonamallee High Road, Aminjikarai, Anna Nagar, Chennai 600029, TN","+91-6384466802, +91-7010353639",",sathiya152@gmail.com,",
Friends Tools & Components (FTC),Companies(Private),Perungudi,"96-A, Near Khayala Village, Narsingh Garden, New Delhi 110018, DL",+91-11-25980969,",info@friendstools.com,",
ETA Star Appliances Pvt Ltd,Companies(Private),Perungudi,"71, 63, 3rd Sterling Road, Nungambakkam, Chennai 600034, TN",+91-44-43402345,",leadcsmca@gmail.com,smkhaja@eltechappliances.com,prabahar@etageneral.com,info@etastarappliances.com,",
Continuum Wind Energy India Pvt Ltd,Companies(Private),Perungudi,"102, El Tara Building, Orchard Avenue, Mumbai 400076, MH",+91-22-25701567,"continuum.secteam@continuumenergy.in,,info@continuumenergy.in,",
Scope Ingredients Pvt Ltd,Companies(Private),Perungudi,"19, S-10, Raja Annamalai Building, Marshalls Road, Egmore, Chennai 600008, TN",,"ahmedabad@scope-india.com,rakesh.shejwal@aartigroup.cominfo,accounts@scope-india.com,,",
Poona Dal & Oil Industries Ltd,Companies(Private),Perungudi,"71/A, Hadapsar Industrial Estate, Pune 411013, MH","+91-20-26816020, +91-20-26816024",,
Lotus Chocolate Company Ltd,Companies(Private),Perungudi,"1st Floor, 1B, Sumedha Estates, IVRCL Towers, Avenue 4, Road No 10, Banjara Hills, Hyderabad 500034, TS","+91-40-23352608, +91-40-23352609",",rakhiagarwal79@yahoo.com,gsram@lotuschocolate.com,cs@lotuschocolate.com,",
Media2win India Pvt Ltd,Companies(Private),Perungudi,"51B, Filmcenter, Tardeo, Mumbai 400034, MH",+91-22-23511493,",satish@c2wgroup.com,","12.965451,80.197823"
GoldGiftIdeas,Companies(Private),Perungudi,"Dabhan Bhagol, Station Road, Nadiad 387001, GJ",-8735838897,,
Xion Advertising,Companies(Private),Perungudi,"102, Unique House, Cardinal Gracious Road, Chakala junction, Andheri East, Mumbai 400099, MH",-9820158807,",shadabalikhan27@gmail.com,",
Social Kinnect,Companies(Private),Perungudi,"104, Bharat House, 3rd Floor, Samachar Marg, Mumbai 400001, MH",-22654856,,
Iso Hose And Engineering Works Ltd,Companies(Private),Perungudi,"6-B, Tilak Market, ISD Mandir Market, Tilak Nagar, New Delhi 110018, DL",-25990494,"jmcpl@datainfosys.net,jmcpl@datainfosys.net,jmcpl@datainfosys.net,jmcpl@datainfosys.net,",
"Swastik Group, Ranchi",Companies(Private),Perungudi,"Gandhi Chowk, Upper Bazar, Ranchi 834001, JH","+91-651-2219013, +91-651-3293745","u003einfo@synergyindia.net,info@synergyindia.net,",
Spearhead Intersearch,Companies(Private),Perungudi,"1-B, 1460, Vasant Kunj, New Delhi 110070, DL","+91-11-26136472, +91-11-26136471",,
Cheers Interactive India Pvt Ltd,Companies(Private),Perungudi,"4, Millennium Business Park, Sector 3, Mumbai 400701, MH",+91-22-67725700,"u003efinance@cheersin.com,finance@cheersin.com,prakash.dogra@cheersin.com,last@cheersin.com,informcojag@gmail.com,",
