Name,Sector,City,Address,Phone,Email,Lat-Long
Vatsalya Trust,Companies(Private),Powai,"11, Near Oriemtal College, Sector 2, Sanpada, Navi Mumbai 400705, MH","+91-8422883141, +91-8422883148, +91-8591046910",",admin@vatsalyatrustmumbai.org,vatsalyatrustmumbai@gmail.com,vatsalyatrustmumbaiadopation@gmail.com,",
Mahesh Patira and Associates,Companies(Private),Powai,"201/1, Rizvi Chambers, Hill Road, Bandra West, Mumbai 400050, MH","+91-22-26418811, +91-22-26418812",",mahesh@maheshpatira.com,manoj@maheshpatira.com,mahesh_patira@vsnl.com,",
DemandFarm,Companies(Private),Powai,"100/101-1, The Hive, Behind Sheraton Grand Hotel, Bund Garden Road, Raja Bahadur Mill Road, Sangamvadi, Pune 411001, MH",+91-4157353143,,
Chinnams Banquets,Companies(Private),Powai,"4th Floor, Balalji Empire, Madinaguda, Hyderabad, India",+91-89778 67737,,
Headstrait Software,Companies(Private),Powai,"604, Jay Antriksh, Makwana Rdoa, Marol, Andheri East, Mumbai 400059, MH",+91-8779616256,",KRISGANS@GMAIL.COM,",
TIBCO Software Inc,Companies(Private),Powai,"L & T Business Park, B Wing, Saki Vihar Road, Savarkar Nagar, Chandivali, Powai, Mumbai 400076, MH",+91-22-39295701,",x3esupport@tibco.com,support@tibco.com,",
Graphene Semiconductor Services Pvt Ltd,Companies(Private),Powai,"8, 2, 9, The Hub, Unit 1, Rear Wing, Sarjapur Main Road, Amblipura Village, Bangalore 560103, KA",+91-80-41305303,",prajakta.powle@ltts.com,",
PSM Textiles,Companies(Private),Powai,"75, 155, Rathinam Salai, Karur 639001, TN","+91-4324-234298, +91-4324-249598",",info@psmtextiles.com,brelastics@gmail.com,a1greens.india@gmail.com,",
Swajit Abrasives Pvt Ltd,Companies(Private),Powai,"K-119, MIDC, Waluj, Aurangabad 431001, MH",+91-240-2553916,",jane@abracut.in,corporate@abracut.in,marketing@swajit.com,mradul.mishra@careedge.in,",
Smart Joules Pvt Ltd,Companies(Private),Powai,"23-O, Jangpura Extension, New Delhi 110014, DL",+91-11-9811103484,",dir@enconenergy.in,cdrskumar@enconenergy.in,first@smartjoules.in,ashok.delhi@ursindia.com,info@smartjoules.in,",
Skyshade Daylights Pvt Ltd,Companies(Private),Powai,"401, 240, B, Jyothi Flora, Kavuri Hills, Madhapur, Hyderabad 500016, TS",+91-40-66623392,",aditya@javdekars.com,marketing@skyshade.in,caradhakrishna@gmail.com,accounts@skyshade.in,",
Heramec Ltd,Companies(Private),Powai,"2, 6, 3, 885, 7, 4-B, V V Mansion, Somajiguda, Hyderabad 500082, TS",+91-40-23332525,,
Chhabi Electricals Pvt Ltd,Companies(Private),Powai,"66-E, MIDC, Jalgaon 425003, MH",+91-257-2210626,",marketing@chhabi-india.com,",
VKV International,Companies(Private),Powai,"54/55, Bagh Diwar, Fatehpuri, New Delhi 110006, DL","+91-11-27022063, +91-9810311897",",indiacorporatesecretarial@honeywell.com,accounts2@vkvclick.com,x3eindiacorporatesecretarial@honeywell.com,",
Novatrix Designs Pvt Ltd,Companies(Private),Powai,"436, Pandit Lane, Chilla, Mayur Vihar Phase 1, New Delhi 110091, DL",+91-9555777204,,
Lakmé Lever Pvt Ltd,Companies(Private),Powai,"1st Floor, Shree Nivas House, H Somani Marg, Behind Bombay Gymkhana, Fort, Mumbai 400001, MH",+91-22-39832117,",x3ecomsec.hul@unilever.com,lever.care@unilever.com,support@lakmeindia.com,comsec.hul@unilever.com,x3esupport@lakmeindia.com,",
Graviss Foods Pvt Ltd (Baskin Robbins),Companies(Private),Powai,"Phara Search House, 1st Floor, 72/73, Worli Hill Road, Kher Road, Worli, Mumbai 400018, MH","+91-22-61410200, +91-22-42313100",",feedback@gravissgroup.com,",
Avon Beauty Products India Pvt Ltd,Companies(Private),Powai,"401, 4th Floor, Paras Trade Centre, Sector 2, Gwal Pahari, Faridabad Expressway, Gurgaon 122003, HR","+91-124-4150807, +91-124-4150800",",x3egaurav.arora@avon.com,customercare.india@avon.com,last@avon.com,x3equeries@avon.com,queries@avon.com,gaurav.arora@avon.com,",
Vetsfarma Ltd,Companies(Private),Powai,"Police Lines Road, Jalandhar 144001, PB",,",oberoiharish@yahoo.com,vets@vetsfarma.com,",
Srijan Medi Solutions Pvt Ltd,Companies(Private),Powai,"10, P.P. Tower, 4th Floor, Near Mother's Pride School, Sector 5, Rohini, New Delhi 110085, DL",,",pa.md@srijanpharmasearch.com,sunil.anand@srijanpharmasearch.com,",
Sanpras Healthcare Pvt Ltd,Companies(Private),Powai,"43, Juhu Supreme Shopping Centre, Gulmohar Cross Road No 9, JVPD Scheme, Juhu, Mumbai 400049, MH",,"info@sanpras.in,,cajoshivishal@gmail.com,sanprashealth@rediffmail.com,",
Income India,Companies(Private),Powai,"406, 598, The Sangeet Plaza, Marol Maroshi Road, Andheri East, Mumbai 400059, MH",,",Vishal.Ghodke@Radiusgs.com,clifford.pinto@roquette.com,privacy@shelfdrilling.com,sales@talentproindia.com,x3eclifford.pinto@roquette.com,indiacorporatesecretarial1@nomura.com,",
Genome Diagnostics Pvt Ltd,Companies(Private),Powai,"7-8/A-3, Krishna Bhawan, 1st Floor, Local Shopping Complex, Janakpuri, New Delhi 110058, DL",,"accounts@genomediagnostics.co.in,,nmrdiagnostics@gmail.com,",
Emcure Pharmaceuticals Ltd,Companies(Private),Powai,"T-184, MIDC, Bhosari, Pune 411026, MH",,",jc@emdet.com,kedar.phadke@emcure.co.in,x3esafety.IN@emcure.com,investors@emcure.com,jane.doe@emcure.co.in,x3ejane.doe@emcure.co.in,company.secretary@emcure.co.in,safety.IN@emcure.com,",
Alferez Pvt Ltd,Companies(Private),Powai,"25/3, Suvernpuri Society, Jetalpur Road, Chikoowadi, Vadodara 390007, GJ",,",mail@alferez.co.in,",
Rossell India Ltd,Companies(Private),Powai,"4th Floor, Block B, Jindal Tower, 21/1A/3, Darga Road, Kolkata 700017, WB","+91-33-22903035, +91-33-22801120",",last@rosselltea.com,nk.khurana@rosselltea.com,corporate@rosselltea.com,corporate@rossellindia.com,contact@safetyfuse.in,last@rosselltechsys.com,",
Kemin Industries South Asia Pvt Ltd,Companies(Private),Powai,"C3, First Street, Ambatur Industrial Estate, Chennai 600058, TN",+91-44-42202800,",kft.asia@kemin.com,Sreejith.Janardhanan@kemin.com,",
John Bean Technologies India Pvt Ltd,Companies(Private),Powai,"2, Bhuvaneshwar Housing Society, Pashan Road, Pune 411008, MH",+91-20-66867100,",Sunil.Dangwal@JBTC.COM,kedric.meredith@jbtc.com,",
Greenspan Agritech Pvt Ltd,Companies(Private),Powai,"Gat No 207, Parandwadi, Maval, Pune 410506, MH","+91-2114-237737, +91-2114-281736","shail@greenspan-agritech.com,,pankaj@greenspan-agritech.com,rakesh.shejwal@aartigroup.cominfo,sales@greenspan-agritech.com,","18.7028561,73.64026"
Genius Nature Herbs Pvt Ltd,Companies(Private),Powai,"268/1, B Siruvani Main Road, Madhambatti, Coimbatore 641010, TN","+91-422-2616100, +91-422-2616004",,"10.9710258,76.8821705"
