Name,Sector,City,Address,Phone,Email,Lat-Long
Coral Rewinding India Pvt Ltd,Companies(Private),Puducherry,"150, Villarasampatti Naal Road, Erode 638107, TN",+91-424-2555555,"d.jane@coralindia.co.in,,info@coralengineering.us,coral@coralindia.co.in,agrawals@agrawalgroup.in,",
R. D. Ramnath Company,Companies(Private),Puducherry,"A-7, Green Park, New Delhi 110030, DL",+91-11-26867411,",umiya.chemical@gmail.com,info@mastersindia.co,bhadresh1007@yahoo.co.in,accounts@saisupreme.com,madurai@ram-nath.com,RAMNATHASHOK@GMAIL.COM,",
E-Control Devices,Companies(Private),Puducherry,"17-F, 2, Hetiram Building, Near New Anaaj Mandi, Sector 16, Faridabad 121002, HR",+91-129-4003088,",info@econtroldevices.com,",
High on Caffeine (Twice Group),Companies(Private),Puducherry,"22/7, Second Street, Nandanam Extension, Chennai 600034, TN","+91-44-42133337, +91-9791164444",",roc.chennai@mca.gov.in,",
Saga Laboratories,Companies(Private),Puducherry,"198/2 & 198/3, Chachrawadi, Vasna, Sanand, Ahmedabad 382210, GJ",,",x22vinit@sagalabs.com,info@companydetails.in,x3evinit@sagalabs.com,vinit@sagalabs.com,",
RCL Foods Ltd,Companies(Private),Puducherry,"200-A, Madhavaram High Road, Madhavaram, Chennai 600060, TN",+91-7200066600,"jane.doe@rclfoods.com,,x3ejane.doe@rclfoods.com,last@rclfoods.com,rclfoods@gmail.com,baroda@seatradeshipping.com,",
Premier Tea Ltd,Companies(Private),Puducherry,"P-52, Hide Road, Kolkata 700020, WB",+91-33-24491830,",roc.chennai@mca.gov.in,premierstea@premiertea.net,",
J Thomas & Co Pvt Ltd,Companies(Private),Puducherry,"Nilhat House, 11, R. N. Mukherjee Road, Kolkata 700001, WB",+91-33-22486201,,
Tulsidas Khimji Pvt Ltd,Companies(Private),Puducherry,"46, Veer Nariman Road, Fort, Mumbai 400001, MH",-66171750,",travel@tulsidaskhimji.com,rajen@tkpl.in,accounts@dastur.com,x3erajen@tkpl.in,",
Sri Surya Movies Entertainment Pvt Ltd,Companies(Private),Puducherry,"1, Velavan street, Kamakoti Nagar, Valasaravakkkam, Chennai 600087, TN","+91-44-24868127, +91-44-24863231","jot71@yahoo.com,roc.chennai@mca.gov.in,info@startupcaservices.com,,",
Ssz Infotech,Companies(Private),Puducherry,"53, Near YMCA SP Road, Madhukunj, Secunderabad 500003, AP",,"ravindra@suprawin.com,info@suprawin.com,info@suprawin.com,",
iYogi Technical Services Pvt Ltd,Companies(Private),Puducherry,"6-C, Cyber City, Gurgaon 122002, HR",,"hr.tamang@outlook.com,",
