Name,Sector,City,Address,Phone,Email,Lat-Long
"Dr. D.Y. Patil Institute of Engineering Management and Research, Akurdi",College,Pvt,"D. Y. Patil Educational Complex, Akurdi, Sector 29, Ravet Village Rd, Gurudwara Colony, Nigdi, Pimpri-Chinchwad, Maharashtra 411035",,",principal.dypiemr@gmail.com,admission@dypakurdipune.edu.in,dyppeca@gmail.com,tpo@dypiemr.ac.in,","18.6457064,73.757415"
Jayawantrao Sawant College of Engineering,College,Pvt,,,",jspm.jscoed@gmail.com,principal@jspmjscoe.edu.in,info@jspm.edu.in,","18.4760581,73.8698087"
JSPM’s Narhe Technical Campus,College,Pvt,"Survey No. 12/2/2 & 14/9, Pune Bangalore Highway, Taluka Haveli, Narhe, Pune, Maharashtra 411041",094227 78611,",director@jspmntc.edu.in,director.jspmntc@mail.com,info@jspmntc.edu.in,director@jspmntc.edu,","18.4414459,73.8291741"
Prerana Pratishthan's Universal College of Engineering and Research,College,Pvt,"Universal college of engineering and research, Sasewadi, Maharashtra 412205",093705 21538,",preranap.pune@gmail.com,","18.3821427,73.8445016"
Jagdish Sheth School of Management (JAGSoM),College,Pvt,"KIADB Industrial Area 8 P & 9 P, Infosys Drive, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",099000 67702,",director@jagsom.edu.in,shilpanwita.ghosh@ifimbschool.com,info@collegefunda.com,","12.8493528,77.6600029"
"School of Management, MIT WPU",College,Pvt,,,",admissions@mitwpu.edu.in,outreach@mitwpu.edu.in,pgdmsob@gmail.com,admissions@mit.edu,x3eadmissions@mit.edu,gautam.bapat@mitwpu.edu.in,learning@mitsob.net,","18.5174333,73.8140521"
"MIT School of Bio-Engineering Sciences and Research, MIT-ADT University",College,Pvt,"Rajbaug Campus, Loni Kalbhor, Maharashtra 412201",091460 51842,",info.mitbio@mituniversity.edu.in,admissions.mitbio@mituniversity.edu.in,","18.4910727,74.0204409"
upGrad,College,Pvt,,,",studentsupport@upgrad.com,","18.4759913,73.7461982"
Vishwakarma University,College,Pvt,"Survey No 2, 3,4, Kondhwa Main Rd, Laxmi Nagar, Betal Nagar, Kondhwa, Pune, Maharashtra 411048",095903 00911,",admissions@vit.edu,director@vit.edu,connect@vupune.ac.in,info@svsu.ac.in,x3eadmissions@vit.edu,bipin.sule@vit.edu,admissions@svsu.ac.in,admissions@vupune.ac.in,","18.4603081,73.881008"
"D. Y. Patil Institute of Master of Computer Applications and Management, Akurdi",College,Pvt,"29, Pradhikaran, Sector No. 27, Gurudwara Colony, Nigdi, Pimpri-Chinchwad, Maharashtra 411044",,"director@dypimca.ac.in,,enquiry@dypimca.ac.in,","18.6468561,73.7578621"
SNDT College,College,Pvt,,,",spvsndtcentre@gmail.com,vc@sndt.ac.in,librarymumbai@sndt.ac.in,nss@sndt.ac.in,librarian@sndt.ac.in,","18.4759913,73.7461982"
"B.P. Marine Academy, Panvel",College,Pvt,"X4Q2+VJ9, Bandar Rd, near Court, near Near Court, Old Panvel, Panvel, Navi Mumbai, Maharashtra 410206",022 2745 0271,",bpmarine.academy@gmail.com,info@bpmarineacademy.in,x3eonlinetransaction.bpmarine@gmail.com,onlinetransaction.bpmarine@gmail.com,","18.9894158,73.0990887"
Dr. D. Y. Patil College of Nursing,College,Pvt,,,",info@dypatil.edu,info.nursing@dpu.edu.in,info.nursing@dypvp.edu.in,u003einfo.nursing@dypvp.edu.in,dypatilnursingcollege@gmail.com,info@nursing.dypvp.edu.in,","18.6243353,73.822676"
"Dr. D. Y. Patil College of Architecture, Akurdi",College,Pvt,"D. Y. Patil Educational Complex, Sector 29, Nigdi, Akurdi, Maharashtra 411044",,"dyppeca@gmail.com,,cdhananjay27@gmail.com,u003ecdhananjay27@gmail.com,","18.6476626,73.7578662"
Abhinav Education Society's College of Pharmacy,College,Pvt,,,"abhinavpharmacycollege@gmail.com,,u003eabhinav_bpharm@yahoo.co.in,abhinav_bpharm@yahoo.co.in,","18.4424409,73.8218563"
Online Manipal,College,Pvt,onlinemanipal.com,,",quality.mit@manipal.edu,info@manipal.edu,academic@jaipur.manipal.edu,","19.6973806,61.0776043"
G.V. Acharya Institute of Engineering and Technology,College,Pvt,"Opp. Shelu Suburban Railway Station, Veeracharya Technical Education Campus Taluka - Karjat, Shelu, Maharashtra 410201",,",contact@gvaiet.org,info@gvaiet.org,principalgvaiet@yahoo.com,","19.061403,73.3085919"
Vivekanand Education Societyâ€™s College of Law,College,Pvt,,,",vesasc.admin@ves.ac.in,x3evesasc.admin@ves.ac.in,ves.law@ves.ac.in,","19.0479827,72.8878384"
Jayawant Institute of Pharmacy,College,Pvt,"33, Ashok Nagar, Tathawade, Pimpri-Chinchwad, Maharashtra 411033",020 6712 7715,"jspm_pharmacy@rediffmail.com,,jspm.jscopr@gmail.com,","18.6200866,73.7466831"
Abhinav Kala Mahavidyalaya,College,Pvt,,,",u003egajrajchvan@yahoo.co.in,vitthal@quriousmedia.com,gajrajchvan@yahoo.co.in,","18.5096551,73.848443"
Jawed Habib Hair and Beauty Academy,College,Pvt,,,",customercare@jawedhabib.com,","18.4760622,73.9007086"
