Name,Sector,City,Address,Phone,Email,Lat-Long
Infrability IT Solutions,Companies(Private),Raipur,"Hi-Tech City, Madhapur Road, Hyderabad 500084, TS",,",amjad.mba@gmail.com,ahussain@infrability.com,",
Golden Electronic Controls India Pvt Ltd,Companies(Private),Raipur,"14, 237-D, Gandhiji Layout, Pollachi Main Road, Sidco Industrial Estate, Coimbatore 641021, TN",+91-422-4230990,"raipur@elektromag.com,,deen@goldenservo.com,x3edeen@goldenservo.com,",
Chiranjjeevi Wind Energy Ltd,Companies(Private),Raipur,"26-A, Kamaraj Road, Mahalingapuram, Coimbatore, Pollachi 642002, TN",+91-4259-224438,",cwelindia@gmail.com,",
Chhattisgarh State Power Trading Company Ltd,Companies(Private),Raipur,"Dangania, Sundar Nagar, Raipur, Chattisgarh, 492013, CG",+91-771-4066901,",mdtradeco@cspc.co.in,mdtradeco@cseb.gov.in,mdgenco@cspc.co.in,",
Chhattisgarh State Power Holding Company Ltd,Companies(Private),Raipur,"5, Vidyut Sewa Bhawan, Daganiya, Raipur, Chattisgarh 492013, CG",+91-771-2574300,",hr2dgm.csphcl@gmail.com,mdgenco@cspc.co.in,md.csphcl@gmail.com,",
Metina PharmConsulting Pvt Ltd,Companies(Private),Raipur,"1306, Mayuresh Chambers, Sector 11, CBD Belapur, Navi Mumbai 400614, MH",,",hasumati@metinapharmconsulting.com,info@mercuryhealthcare.net,jane@metinapharmconsulting.com,",
Volschendorf Enterprise Pvt Ltd,Companies(Private),Raipur,"302, Siddeshwar Arcade, Opposite Suraj Water Park, Ghodbunder Road, Thane 400607, MH","+91-22-25976100, +91-22-25976300","ipms.office@gmail.com,,ipms.sales@gmail.com,",
Paras Spices Pvt Ltd,Companies(Private),Raipur,"V. P. O. Khosa Pando, Zira Road, Moga 142001, PB","+91-1636-237177, +91-1636-237053",",welcome@parasspices.comwelcome,jane@parasspices.com,finance@parasspices.com,x3ewelcome@parasspices.com,",
Natural Vegetables & Fruits Storage Pvt Ltd (NVFL),Companies(Private),Raipur,"Plot No 3, 4 & 5, Survey No 164, SIDC Road, Veraval, Shapar, Rajkot 360024, GJ",+91-281-254149,,
Chheda Specialities Foods Pvt Ltd,Companies(Private),Raipur,"Plot No 7, Chheda House, B. M. C Chinnathambi Mudali Street, Industrial Estate, Kandivali West, Mumbai 400067, MH",+91-7208658345,",jane@chhedaspecialities.in,info@chhedaspecialities.com,","19.1310553,72.7592433"
Ashoka Rice Mills Pvt Ltd,Companies(Private),Raipur,"Amin Road, Kurukshetra 136118, HR","+91-1744-291733, +91-9315364455",",goyal_ajayin@yahoo.co,goyal_ajayin@yahoo.co.in,pankaj@gnettradelinks.com,dhanlaxmi.coatings@rediffmail.com,","20.719788,81.5369552"
P K Enterprises,Companies(Private),Raipur,"179, Jeevan Nagar, New Delhi 110014, DL","+91-11-26347891, +91-11-26345065",",rajan@asianahotels.com,x3erajan@asianahotels.com,",
Hopewell Ceramics Pvt Ltd,Companies(Private),Raipur,"G-1/5, Udyog Vihar, Jetpura Industrial Areagar, Jetpura, Amber 303704, RJ","+91-1423-224912, +91-1423-514892",",j.mani@schmalz.co.in,hopewellcera@yahoo.com,gnanamfd@yahoo.com,x3eaccounts@sumilon.com,accounts@sumilon.com,x3eglobal@glocera.com,global@glocera.com,",
Paul Writer Strategic Services Pvt Ltd,Companies(Private),Raipur,"102, 5/2, Trumph Tower, Eagle Street, Langford Town, Bangalore 560025, KA",-40965042,"rohit.saini@sothebysrealty.in,,jessie@paulwriter.com,",
Khyati Multimedia Entertainment Ltd,Companies(Private),Raipur,"100, Chinubhai Tower, Ashram Road, Ahmedabad 380009, GJ",-26584323,",helpdeskahmd@mcsregistrars.com,",
Om Sai Industries,Companies(Private),Raipur,"B-269, MIDC Area, Malegaon, Sinnar 422103, MH","+91-2551-230025, +91-8888875900","accounts@onwardchem.com,clshrikhande@elppe.com,accounts2@eximcorp.com,accounts@onwardchem.com,accounts2@eximcorp.com,x3eaccounts@onwardchem.com,x3eclshrikhande@elppe.com,",
Gogia Chemical Industries Pvt Ltd,Companies(Private),Raipur,"C-8/3, Site C, UPSIDC Industrial Area, Suraj Pur, Greater Noida 201306, UP","+91-120-2561285, +91-120-2561290","Eva.R.Palacio@grace.com,nectrine_2004@rediffmail.com,cphicustomerservice@informa.com,vipan.goel@grace.com,cphicustomerservice@informa.com,vipan.goel@grace.com,x3eEva.R.Palacio@grace.com,x3enectrine_2004@rediffmail.com,",
Vinayaka Enterprises,Companies(Private),Raipur,"3, 5, 5th Cross, 1st Main, Pete Chennappa, Kamakshipalya, Bangalore 560079, KA",+91-80-42083761,"da.desai@rediffmail.com,da.desai@rediffmail.com,",
Great Place to Work Institute,Companies(Private),Raipur,"414, Empire Business Centre, Senapati Bapat Marg, Lower Parel, Mumbai 400013, MH","+91-22-66105544, +91-22-6670700","axx@greyb.com,sales@greyb.com,chakshu@greyb.com,",
Sunrise Industrial Traders Ltd,Companies(Private),Raipur,"Commerce House, 503, 140, Nagindas Master Road, Fort, Mumbai 400023, MH",+91-8655438454,"JSmith@swadhaar.com,John@swadhaar.com,mangesh.hande@pamac.com,cs@rblfinserve.com,info@swadhaar.com,cs@swadhaar.com,jdoe@swadhaar.com,x3emangesh.hande@pamac.com,",
Chandra Credit Ltd,Companies(Private),Raipur,"504, Dakha House, 18/17, WEA Pusa Lane, Karol Bagh, New Delhi 110005, DL","+91-11-28753805, +91-11-28753806, +91-9711114429","helpdesk@mstcindia.co.in,cnpl.rgh@hotmail.com,helpdesk@mstcindia.co,info@chandracredit.com,mstcero@mstcindia.in,rahul.chandra@hdfc.com,",
