Name,Sector,City,Address,Phone,Email,Lat-Long
Yash Fast Fitness - Raipur,Gym,Raipur,"near Hero Service Center, Krishna Nagar, Daganiya, Amanaka, Raipur, Chhattisgarh 492001",096913 55538,,"21.2377955,81.60693"
World Gym Men And Women - Raipur,Gym,Raipur,"6J8G+Q4W, Radhaswami Nagar, Bhatagaon, Raipur, Chhattisgarh 492013",099079 11137,,"21.2169972,81.6227424"
Work Out Studio Gym - Raipur,Gym,Raipur,"Gurudwara Rd, Tellibandha, Shyam Nagar, Raipur, Chhattisgarh 492001",098279 84594,,"21.2348205,81.6576356"
Vp's Pulse Unisex Gym - Raipur,Gym,Raipur,"Janghle plaza, new mandigate, Pandri Rd, Raipur, Chhattisgarh 492001",093029 72999,,"21.2583313,81.6518907"
Vip Club - Raipur,Gym,Raipur,"Infront Ashokaratan Building, VIP Rd, Khamardih, VIP Estate, Shankar Nagar, Raipur, Chhattisgarh 492007",077122 82001,"dhireshpandey@gmail.com,,ksha@vsnl.net,","21.2608051,81.6761985"
Vi Vedant Fitness Center - Raipur,Gym,Raipur,"SEJBAHAR SAHU COMPLEX NEAR PRAGATI COLLEGE, behind PETROL PUMP, Raipur, Chhattisgarh 492015",+91-6384481402,",bajrangdealmark@gmail.com,","21.156801,81.6620949"
Trident Fitness - Raipur,Gym,Raipur,"Beside Ayush Clinic, Kota Road, Gudhiyari, Raipur 492009, CG",+91-8839565645,,"21.2618027,81.5877782"
Tiwari Fitness - Raipur,Gym,Raipur,"Mahaveer nagar , near janta hotel , Super state colony A2, Chhattisgarh 492001",,",siddharth.ksou@gmail.com,","21.2284699,81.6606207"
Third Space Gym - Raipur,Gym,Raipur,"7JWM+5P4, Bhanpuri, Raipur, Chhattisgarh 492003",,",CW-Header3B@2x.jpg,vp@babyloncapital.in,","21.295386,81.6317651"
The Stronge Women Gym - Raipur,Gym,Raipur,"Near Hari Bhai Jewellers, Budhapara, Raipur 492001, CG",+91-6384481764,",dahisar1@sk27gym.com,dbgirls@yahoo.co.in,naturalfitnessraipur@gmail.com,","21.2375002,81.5996414"
The Maxx Fitness Centre - Raipur,Gym,Raipur,"2nd Floor, GT Complex, Santoshi Nagar, Khamtarai, Raipur, Chhattisgarh 492008",078982 44992,"airfitness8@gmail.com,sales@acmefitness.com,,","21.2765218,81.6337906"
The Fitness Lover Gym - Raipur,Gym,Raipur,"2nd Floor, Bajaj complex, Maitri Nagar, Sunder Nagar, Raipur, Chhattisgarh 492001",+91-6384486365,",info@fitlineindia.com,","21.2321541,81.6018094"
Thakur Health And Fitness - Raipur,Gym,Raipur,"Krishnapuri, F-Road, Devpuri Rd, near Pooja plastic, Amlihdih, Raipur, Chhattisgarh 492001",,",business@abhinavmahajan.in,","21.2140222,81.6706969"
Target Gym - Raipur,Gym,Raipur,"8-A, Anand Niketan, Gayatri Nagar, Raipur 492001, CG",+91-6384472198,,"17.679028,78.1130936"
Strong Arm Fitness Gym - Raipur,Gym,Raipur,"PQFQ+2P3, Pernem, Pernam Municipal Area, Goa 403512",079723 71842,,"15.7225009,73.7867288"
Star Fitness - Raipur,Gym,Raipur,"Shree Ram Complex, 2nd Floor, Opposite Bank Of Baroda, Main Road, Samta Colony, Raipur 492001, CG",+91-7724880003,,"21.261228,81.6092404"
Spark Fitness - Raipur,Gym,Raipur,"3rd Floor, Chandra planet, Ring Road No. 1, near Ashoka millenium, Priyadarshini Nagar Colony, Gurumukh Singh Nagar, Raipur, Tikrapara, Chhattisgarh 492001",099931 44442,,"21.2249958,81.6531245"
Sky Fitness Gym - Raipur,Gym,Raipur,"Behind Golden Marble, Santoshi Nagar, Raipur 492001, CG",+91-6384431639,,"21.237665,81.5718801"
Sharma Gym Ladies & Gents - Raipur,Gym,Raipur,"Gita Bhawan, Nahar Road, Santoshi Nagar, Raipur 492001, CG",+91-6384431450,,"21.2364194,81.6208707"
Sharir Fitness Club - Raipur,Gym,Raipur,"2, Shankar Nagar, Raipur, Chhattisgarh 492001",+91-6384454802,,"21.2449077,81.6726515"
Sarang Health And Fitness Center - Raipur,Gym,Raipur,"1st Floor, Vinayak Complex, Mahadev Ghat Rd, near Canra Bank, Agroha Colony, Changurabhata, Raipur, Chhattisgarh 492001",098279 12285,"alok@swapanlok.com,,","21.2303418,81.5970309"
Sanju Sahu Fitness - Raipur,Gym,Raipur,"GOL CHOWK, ROAD, beside SHAHNAI GARDEN, Daganiya, NIT, Raipur, Chhattisgarh 492013",087704 42565,",twsrithi@gmail.com,","21.2395291,81.5986995"
Sachin's Fitness Studio - Raipur,Gym,Raipur,"Opposite Of Shubham K Mart, Santoshi Nagar, Raipur 492001, CG",+91-6384438820,,"21.2346217,81.6127273"
S F W The Gym - Raipur,Gym,Raipur,"Amanaka, Raipur, Chhattisgarh 492001",087180 54084,,"21.2463809,81.6060462"
Remould Fitness - Raipur,Gym,Raipur,"Mehboob Plaza, Baijnathpara, Shastri Market, Evergreen Chowk, Raipur, Chhattisgarh 492001",+91-6384469232,,"21.2406419,81.635754"
Reformation Body Fitness - Raipur,Gym,Raipur,"2nd floor, Hirapur Rd, beside Urban Biryani Restaurant, Raipur, Chhattisgarh 492001",070002 50548,,"21.2619345,81.5856958"
Rawfit - Raipur,Gym,Raipur,"3rd Floor, Shree Radhe Complex, opp. Gold Gym, Shankar Nagar, Raipur, Chhattisgarh 492001",078039 88888,,"21.2543583,81.6600502"
Rajput Fitness - Raipur,Gym,Raipur,"Near Shyam Nagar Road, Katora Talab, Raipur 492001, CG",+91-6384468348,",info@rajputfitness.com,","21.2323032,81.6132075"
R K Fitness - Raipur,Gym,Raipur,"Goal Chowk Rohnipuram, Daganiya, Raipur 492001, CG",+91-9111111704,,"21.2263052,81.5801729"
Pulse Gym - Raipur,Gym,Raipur,"Opposite Shubhkamna Hospital, Dubey Colony Road, Mowa, Raipur 492005, CG",+91-6384477317,,"21.2700188,81.6489912"
Prem Sir Fitness - Raipur,Gym,Raipur,"374/2, Galli, Street Number 6, Katora Talab, Civil Lines, Raipur, Chhattisgarh 492001",093290 91367,",premrajput31@gmail.com,","21.2317955,81.6500426"
Platinum Fitness - Raipur,Gym,Raipur,"Near, 2nd floor,Sagar Plaza, Pani Tanki Rd, Shankar Nagar, Raipur, Chhattisgarh 492007",+91-7419593824,,"21.2549362,81.6586449"
Planet Gym And Fitness Centre - Raipur,Gym,Raipur,"C-27/28 devendra nagar, behind cloth market, opposite gujrati school, Pandri, Raipur, Chhattisgarh 492004",+91-7419893476,,"21.2590172,81.6471862"
P1 Fitness - Raipur,Gym,Raipur,"2nd Floor, Medishine Hospital Road, opposite Raipur Convent School, Amlihdih, New Rajendra Nagar, Raipur, Tikrapara, Chhattisgarh 492001",088198 11000,,"21.2232478,81.6629941"
