Name,Sector,City,Address,Phone,Email,Lat-Long
The Tax Heaven,Companies(Private),Ranchi,"F-14/15, Orbit Mall, Civil Lines, Jaipur-302006",+91-8209408748,",mumbai.addldit.vig2@incometax.gov.in,finance@merlinprojects.com,ram@icai.org,tax@spinny.com,tax.erode@gmail.com,",
Sanmati Traders,Companies(Private),Ranchi,"G-6/60, Skylark Building, Nehru Place, New Delhi 110019, DL",+91-11-29251321,,
Choice Clothing Co Pvt Ltd,Companies(Private),Ranchi,"332 & 357 Phase 2, Udyog Vihar, Gurgaon 122001, HR","+91-124-2349703, +91-124-2348555",",x3epiyush.asija@tcnsclothing.com,piyush.asija@tcnsclothing.com,deepak.gulati@choiceclothing.net,care@Internaciaindia.com,",
Jindal Power Ltd,Companies(Private),Ranchi,"2, Sector 32, Gurgaon 122001, HR",+91-124-6689005,",rohit.sinha@jindalsteel.com,ravishekhar.kumar@jindalsteel.com,ajayagrawal@jindalpower.com,info@jindalsteel.com,",
Mother Dairy Fruit & Vegetable Pvt Ltd,Companies(Private),Ranchi,"A-3, Sector 1, Noida 201301, UP","+91-120-4399500, +91-120-4399501",,
Moringa Biotech,Companies(Private),Ranchi,"Ranchi Gumla, National Highway 23, Lalgutwa, Ranchi 835303, JH",+91-9905573609,",llp@bmcgroup.in,moringabiotech@gmail.com,",
Rani Muthu,Companies(Private),Ranchi,"86, Rani Muthu, Periyar EVR High Road, Chennai 600007, TN",-25324724,",prrauta@dalmiainstitute.in,ranchi@air.org.in,cestat08@gmail.com,choudhury.lalit@dalmiabharat.com,vijayakumar@zebuetrade.com,hand@gmail.com,",
New Age International Pvt Ltd,Companies(Private),Ranchi,"7/30-A, Darya Ganj, New Delhi 110002, DL",-23253691,"x3einfo.in@transsion.com,,x22finder.in@findernet.com,sales@newagepublishers.com,tulesh.chandra@selp.in,accounts@newagepublishers.com,x3etulesh.chandra@selp.in,finder.in@findernet.com,nubiolaindia@ferro.com,info@rites.com,x3enubiolaindia@ferro.com,info.in@transsion.com,x3efinder.in@findernet.com,",
Billion Plastics Pvt Ltd,Companies(Private),Ranchi,"101, Himalaya House, Palton Road, Mumbai 400001, MH","+91-22-22621673, +91-22-22621674","laminates@bloomdekor.com,",
Sweett India,Companies(Private),Ranchi,"121, 3, Manikam Avenue, TTK Road, Alwarpet, Chennai 600018, TN",+91-44-43931300,"info@scservices.in,",
Jhaveri Securities Ltd,Companies(Private),Ranchi,"301/302, Payal Tower 2, Sayajigunj, Vadodara 390005, GJ",+91-265-2226201,"info@jhaveritrade.com,compliance@jhaveritrade.com,business@jhaveritrade.com,",
