Name,Sector,City,Address,Phone,Email,Lat-Long
Shadowfax Technologies Pvt Ltd,Companies(Private),Rohini,"M-47, Old DLF Colony, Sector 14, Gurgaon 122001, HR",+91-22-69403666,",cs@shadowfax.in,",
Sappacc,Companies(Private),Rohini,"8-BH, Opposite Bandra Railway Station, Nutan Nagar, Bandra West, Mumbai 400050, MH",+91-9594636465,,
Infothela,Companies(Private),Rohini,"27/C, St. John Baptist Road, steps, near Mount Merry, Bandra West, Mumbai, Maharashtra",+91-9224299999,",bookorders@who.int,",
Lambda Supply Chain Solutions,Companies(Private),Rohini,,,",gleeson.gonsalves@servicesnext.com,gaurav.mogra@lambdascs.com,gauravmogra@gmail.com,x3egleeson.gonsalves@servicesnext.com,",
Hexile Services,Companies(Private),Rohini,"Shyama Niwas East Boring canal road, Patna, India, Bihar",+91-93340 44680,,
Touchseries Technologies,Companies(Private),Rohini,"B-3/58, 2nd Floor, Sector 6, Rohini, Delhi 110085, DL",+91-11-27050778,"x22SANJEEV08G@GMAIL.COM,,bhuvan@lendbox.in,x22bhuvan@lendbox.in,x3ebtofficial@outlook.com,SANJEEV08G@GMAIL.COM,x3ebhuvan@lendbox.in,x3eSANJEEV08G@GMAIL.COM,btofficial@outlook.com,vishysk@gmail.com,taxconsultant.yadav@gmail.com,pashupati489@gmail.com,x22vishysk@gmail.com,x3evishysk@gmail.com,",
Sinhasoft Web Technologies,Companies(Private),Rohini,"Govindpuri, Kalkaji, New Delhi 110019, DL",+91-9717946604,,
Rv IT Solution,Companies(Private),Rohini,"A-304, Nagee, Navghar Road, Sai Baba Nagar, Bhayandar East, Mira Bhayandar, Thane 401105, MH",,"vandana@rvsolutions.in,,sales@rvsolutions.in,pearlsandswaraajcollserpvt.ltd@gmail.com,x3evandana@rvsolutions.in,raj.vashisht72@gmail.com,",
Panksoft,Companies(Private),Rohini,"9/166, KP Commercial Complex, Pitampura, DelhI 110088, DL","+91-9899063743, +91-11-27314127, +91-11-47521212, +91-11-47521233, +91-11-47041407",,
Pact Systems,Companies(Private),Rohini,"305-306, Dimension Vardhaman Plaza, 3rd Floor, Inder Enclave, Paschim Vihar, Delhi 110087, DL",+91-11-65794422,"info@ads-ca.com,,info@pacts.in,",
Nvoos Technologies,Companies(Private),Rohini,"G-304, Ittina Mahaveer Apartment, Neeladri Nagar, Phase 1, Electronic City, Bengaluru 560100, KA",,",admissions@dseu.ac.in,nishu.jain@vypar.in,company@vypar.in,",
Nucleus Infotech,Companies(Private),Rohini,"268, 1st Floor, Near BOB Bank, Naharpur, Sector 7, Rohini, Delhi 110085, DL","+91-11-27053031, +91-7042244551",",JSK_ASSOCIATES@YAHOO.COM,meenasms67@gmail.com,info@companydetails.in,nucleus@nucleusinfotech.com,",
Nexg IT Solutions,Companies(Private),Rohini,"B-2/283, Sector 6, Rohini, New Delhi 110085, DL",+91-7827385044,",info@exuberantsolutions.com,",
Momentum Software,Companies(Private),Rohini,"207, Ring Road Mall, Sector 3, Rohini, New Delhi 110085, DL","+91-9999996353, +91-11-47024204, +91-11-47024202",",roc.chennai@mca.gov.in,info@momentum-software.com,j-doe@momentum-software.com,",
Makevision,Companies(Private),Rohini,"11, Jagdev Complex, 1st Floor, Near Shiva Market, Pitampura, Delhi 110034, DL","+91-9319064077, +91-9540611736, +91-7217686858",",ranaeyecentre@gmail.com,",
Linea Digitech,Companies(Private),Rohini,"B-2, Near Rana Public School, Mundka, New Delhi 110041, DL",+91-9717003031,",capranjalgupta02@gmail.com,",
