Name,Sector,City,Address,Phone,Email,Lat-Long
Frontline Systems & Services Pvt Ltd,Companies(Private),Salem,"19, 2, Sri Narayana Apartments, Tilak Street T Nagar, Chennai 600017, TN",+91-44-28340055,,
Alps International Exports,Companies(Private),Salem,"16/11, 2nd Floor, RD Chamber, Block 16, Arya Samaj Road, Extension Area, Karol Bagh, New Delhi 110005, DL","+91-11-28756976, +91-11-28755817",",export@alps.in,sales@alpsexports.com,ALPS.INT@GMAIL.COM,sales@alps.in,alpsdeal@gmail.com,info@alpsexports.com,",
Arun Textile Engineers Pvt Ltd,Companies(Private),Salem,"45, AK Road, Jasukaka Wadi, Surat 395008, GJ","+91-261-2552222, +91-261-2550061",",info@aruntexeng.com,",
KEC International Ltd,Companies(Private),Salem,"463, 1, CEAT Mahal, Dr.Annie Besant Road, Worli 400030, MH",+91-22-66670200,",eksambekars@kecrpg.com,raoj@kecrpg.com,investorpoint@kecrpg.com,x3eraoj@kecrpg.com,",
Bharatiya Nabhikiya Vidyut Nigam Ltd,Companies(Private),Salem,"Bhavani Admin Building, Kalpakkam, Kancheepuram 603102, TN",+91-44-27480064,"x3evviswa@bhavini.in,,jane.doe@bhavini.nic.in,vviswa@bhavini.in,bhavini@bhavini.in,x22vviswa@bhavini.in,",
Shri Vishnu Eatables India Ltd,Companies(Private),Salem,"812, 8th Floor, D-Mall, Netaji Subhash Palace, Pitampura, New Delhi 110034, DL",+91-11-43233300,",anil_krseth@yahoo.co,anil_krseth@yahoo.co.in,sethquick@gmail.com,",
Salet Seafoods Pvt Ltd,Companies(Private),Salem,"Narnaji Mulji Chhatralya Building, Sudama Road, Porbandar 360575, GJ","+91-286-2244798, +91-286-2245275, +91-286-2243778","bipinmehta53@gmail.com,roc.chennai@mca.gov.in,,account@saletgroup.com,",
Narendra Group of Industries,Companies(Private),Salem,"Deegee House, Rallies Road, Amravati 444601, MH",+91-721-2676511,",xxxxxx@gmail.com,brijbhushan_ca@yahoo.co.in,shashigargca@gmail.com,",
Narasus Saarathy Enterprises,Companies(Private),Salem,"Post Box No 725, 16A Court Road, Johnsonpet, Salem 636007, TN",+91-427-4010000,"u003einfo@narasus.org,,info@narasus.org,",
KF Bioplants Pvt Ltd,Companies(Private),Salem,"178, Kirtane Baug, Mundhwa Road, Magarpatta, Hadapsar, Pune 411036, MH","+91-20-26890615, +91-20-26890422",",kalpana@kfbioplants.com,jane.d@kfbioplats.com,hr@kfbioplants.com,hrd@kfbioplants.com,",
Aroma Agrotech Pvt Ltd,Companies(Private),Salem,"103, Mile Stone, G.T Road, Village Garhi Multan, Gharaunda 132114, HR",+91-9813080451,",ganesh@masoom.in,x3eganesh@masoom.in,supportinfo@gmail.com,grm.balaji@gmail.com,cajagdish@aromaagrotech.com,","11.7393526,78.3312655"
Akshar Impex,Companies(Private),Salem,"308, Gala Complex, Dumping Road, Mulund West, Mumbai 400080, MH","+91-22-25913027, +91-22-25914027",",x3ebcpl_calcutta@bcplindia.com,info_products95@yahoo.com,bcpl_calcutta@bcplindia.com,Mail@Shalimarpack.Com,","15.1163276,64.9087638"
Yatrik.Com Tour & Travel Pvt Ltd,Companies(Private),Salem,"405, 2nd Floor, Avantika Building, New Delhi 110017, DL","+91-11-40576600, +91-11-40576666",,"15.2719255,73.9524336"
B C Sen & Co Ltd,Companies(Private),Salem,"Sumangal, 1st Floor, Elgin Road, Kolkata 700020, WB","+91-33-22901125, +91-33-22901126",,
Antara Jewellery Pvt Ltd,Companies(Private),Salem,"Navin Asha, Opposite Ranjit Studio, D S P Road, Dadar East, Mumbai 400014, MH","+91-22-24175565, +91-22-24175608",",hr@antarajewellery.com,x3ekaushal.shah@antarajewellery.com,kaushal.shah@antarajewellery.com,",
Rajasthan Bombay Transport Pvt Ltd,Companies(Private),Salem,"131/132, Jotwara Industrial Area, Road No 02, Jotwara, Jaipur 302012, RJ",-2349391,",salem@m.cjdarcl.com,jaipur@kmtrans.in,mkt@rbtpl.com,info@rbtpl.com,",
Alapatt Group,Companies(Private),Salem,"Alapatt Heritage Building, M G Road, Kochi 682035, KL","+91-484-2385951, +91-484-2385952",,
Gujarat Sidhee Cement Ltd (Mehta),Companies(Private),Salem,"178, 2nd Floor, NK Mehta International House, Backbay, Reclamation, Mumbai 400020, MH",-66365375,",sidhee-mum@mehtagroup.com,",
RightFOLIO,Companies(Private),Salem,"C-40, Road No 10, Film Nagar, Jubilee Hills, Hyderabad 500033, AP",-23600249,,
Management And Computer Consultants,Companies(Private),Salem,"12, 2-E, Loudon Street, Kolkata 700017, WB",,"info@melcotech.com,u003einfo@melcotech.com,u003einfo@melcotech.com,info@melcotech.com,info@melcotech.com,prakash@melcotech.com,",
Venture Offshore Infomatrix Pvt Ltd,Companies(Private),Salem,"49, 19, 1, 2nd Floor, Lalitha Nagar, Visakhapatnam 530016, AP",+91-891-2721629,,
Mukesh Raj And Company (MRC),Companies(Private),Salem,"63-C, 1st Floor, Preet Vihar, New Delhi 110092, DL","+91-11-22050790, +91-11-42531707","hr@adani.in,",
Sri Shirdi Capital Services Pvt Ltd,Companies(Private),Salem,"27-20-40, 1st Floor, Museum Road, Governorpet, Vijayawada 520002, AP",+91-866-2570164,,
Pamas Holdings Pvt Ltd,Companies(Private),Salem,"A-178, 1st Floor, Saini Bhawan, Kotla, Mubarakpur, New Delhi 110003, DL","+91-11-41644458, +91-11-24617142","pamashol@gmail.com,bhatiasauditors@yahoo.co.in,",
