Name,Sector,City,Address,Phone,Email,Lat-Long
Haryana Power Generation Corporation Ltd,Companies(Private),Sarkhej,"7-C, Urja Bhawan, Sector 6, Panchkula 134009, HR",+91-172-5022402,",md@hpgcl.org.in,companysecy@hpgcl.org.in,",
Vista Pharmaceuticals Ltd,Companies(Private),Sarkhej,"7-1-212/A/70, Plot No 85, Shivbagh, Ameerpet, Hyderabad 500016, TS",,"admin.hyd@vistapharmaceuticals.com,,x3ebhavin@mepro.in,bhavin@mepro.in,admin.nkp@vistapharmaceuticals.com,info@ajantapharma.com,vistapharmankp@gmail.com,x22bhavin@mepro.in,",
Gujarat Microwax Pvt Ltd,Companies(Private),Sarkhej,"401/402, Sarthik Square, Near GNFC Tower, Sarkhej Gandhinagar Highway, Ahmedabad 380054, GJ",,",u003eap@gmpl.in,mj@gmpl.in,ap@gmpl.in,",
B-Tex Ointment Manufacturing Company,Companies(Private),Sarkhej,"C/17, Udyog Nagar, Navsari 396445, GJ",,",btexointment@hotmail.com,info@btex.in,patelajay1101@gmail.com,contact@btex.in,",
Sidel India Pvt Ltd,Companies(Private),Sarkhej,"4th Floor, Tower A, Building No 9, DLF Cybercity, DLF Phase 3, Gurgaon 122002, HR",+91-124-4844173,"Phoolchand.MISHRA@sidel.com,,x3ePhoolchand.MISHRA@sidel.com,seco.india@secotools.com,",
Ramdev International Ltd,Companies(Private),Sarkhej,"G. T Road, Near Villa Daha, Karnal 132001, HR",+91-184-2220674,",sales@ramdevstore.com,audit@ramdev.co.in,audit@ramdevfood.com,",
Spick Global,Companies(Private),Sarkhej,"F-17, Okhla Industrial Area, Phase 1, New Delhi 110020, DL","+91-11-41612229, +91-11-66606932",,
Melrose Group Of Companies,Companies(Private),Sarkhej,"Vasco Citi Centre, 4th Floor, Swatantra Path, Vasco Da Gama, Goa 403802, GA",-2515128,",atozfoodtrader@gmail.com,a1greens.india@gmail.com,exportsak@gmail.com,",
Mechanical Packing Industries Pvt Ltd,Companies(Private),Sarkhej,"15, Parsi Panchayat Road, Andheri East, Mumbai 400069, MH",-40887931,",kjpharmatech@yahoo.com,pinakincs@yahoo.com,spitmaanindia@yahoo.com,cjpl@spitmaan.com,info@kjpharmatech.com,mpisales@spitmaan.com,",
MAN Logistics India Pvt Ltd,Companies(Private),Sarkhej,"204, Dhanthak Plaza, 2nd Floor, Makwana Road, Marol, Andheri East, Mumbai 400059, MH",-61011042,",accounts.mum@manlogistics.in,",
ATB Cargo Pvt Ltd,Companies(Private),Sarkhej,"M-138, Connaught Circus, New Delhi 110001, DL","+91-11-23415392, +91-11-44357700",",bhagyanagaraju15@gmail.com,archana@anandandanand.com,sn@atbindia.com,secretarial@cadilapharma.co.in,email@anandandanand.com,sn@asecargo.in,",
Jaydeep Cotton Fibers Pvt Ltd (Jaydeep),Companies(Private),Sarkhej,"C-805, The Imperial Heights, Opposite Big Bazar, 150 Feet Ring Road, Rajkot 360005, GJ",-2580215,",taxation@jaydeepcotton.com,srprasad@giasmd01.vsnl.net,",
Phthalo Colours & Chemicals India Ltd (Nanavati),Companies(Private),Sarkhej,"18, Nanavati Mahalaya, Homi Modi Street, Fort, Mumbai 400001, MH","+91-22-22044422, +91-22-22043657","accounts@sumilon.com,dipayan.paul@nextgenplasma.com,plasmakol2005@gmail.com,plasma.commercials@gmail.com,plasma.commercials@gmail.com,dipayan.paul@nextgenplasma.com,x3eaccounts@sumilon.com,",
Kamal Moulds,Companies(Private),Sarkhej,"25/28, Tejendra Estate, Opposite Torrent Power, Odhav Road, Odhav, Ahmedabad 382415, GJ",-22892623,"neha.saraf@kanoriachem.com,last@kanoriachem.com,last@kanoriachem.com,neha.saraf@kanoriachem.com,x3eneha.saraf@kanoriachem.com,",
Fine Flow Plastic Industries,Companies(Private),Sarkhej,"301, Almar Arcade, Above Punjab National Bank, Marve Road, Orlem, Malad West, Mumbai 400009, MH",-28650901,,
