Name,Sector,City,Address,Phone,Email,Lat-Long
ISPL Systems Pvt Ltd,Companies(Private),Secunderabad,"464, Phase 4, Peenya Industrial Estate, Bangalore 560058, KA",+91-80-28366809,"ispl@isplsystems.com,,vfireprotection@gmail.com,info@inteltekindia.com,pradeepk@microland.co.in,",
Glowtronics Pvt Ltd,Companies(Private),Secunderabad,"1-D, Hootagalli, Industrial Area, Mysore 570018, KA",+91-821-2402461,",dinesh@glowtronics.com,last@glowtronics.com,glowtronics1986@gmail.com,",
Fraser Techno Circuits Ltd,Companies(Private),Secunderabad,"2, Shreeniwas House, H. Somani Marg, Mumbai 400001, MH",+91-22-22072455,",jane@frasertechno.com,accounts.support@frasertechno.com,",
Fine-Line Circuits Ltd,Companies(Private),Secunderabad,"145, Sdf-5, Seepz-Sez, Andheri 400096, MH",+91-22-28290244,",fineline@fineline.co.in,fineline@vsnl.com,",
Electrical Overhead Corporation,Companies(Private),Secunderabad,"1885, Pada Pole, Gandhi Road, Ahmedabad 380001, GJ",+91-79-22139725,",mail@furnitureworlwww.furnitureworldindia,",
Balluff India,Companies(Private),Secunderabad,"210-B, Arjun Center, Govandi Station Road, Govindi East, Mumbai 400088, MH",+91-22-25565966,",Roman.Rosswag@balluff.in,x3eRoman.Rosswag@balluff.in,sales.in@balluff.in,",
Avian Technologies Pvt Ltd,Companies(Private),Secunderabad,"13, 41, C, 1, Dwarika Sadan, Middle Circle, Connaught Place, New Delhi, 110001, DL",+91-11-43539199,",sales@aviantechnologies.com,mukesh_khl@yahoo.co.in,",
Texport Industries Pvt Ltd,Companies(Private),Secunderabad,"506, 5th Floor, Hubtown Solaris, Andheri, Mumbai 400069, MH",+91-22-30882000,",dinesh.pai@texport.com,jane@texportgarments.com,doshi@texport.com,mail@texport.com,",
K. R. Textile Mills,Companies(Private),Secunderabad,"Nyamatpura, Burhanpur 450331, MP",+91-7325-254697,"kashi@visaka.in,,einward.ris@karvy.com,",
Sutlej Textiles & Industries Ltd (KK Birla),Companies(Private),Secunderabad,"1, 4th Floor, D Wing, Solaris Building, Saki Vihar Road, Powai, Mumbai 400072, MH","+91-22-28573706, +91-22-28577582",,
Vijayalakshmi Silks & Sarees,Companies(Private),Secunderabad,"20j/61, Blumoom Complex, Near Plaza Theatre, MG Road, Bangalore 560001, KA","+91-80-25587395, +91-80-25587900",,
T C Terrytex Ltd,Companies(Private),Secunderabad,"Near Lalru, Dera Bassi, SAS Nagar, Rajpura 140501, PB","+91-1762-506606, +91-1762-506607","cs@tctl.in,,x3ecs@tctl.in,admin@tctl.in,secunderabad@cethar.com,jane.doe@tctl.in,admin@www.tctl.in,",
Suryalata Spinning Mills Ltd,Companies(Private),Secunderabad,"105, 1st Floor, Surya Towers, Sardar Patel Road, Secunderabad 500003, AP","+91-40-27774200, +91-40-27819909",",mail@suryalata.com,cs@suryalata.com,Cs@suryalata.com,suryalata@yahoo.co.in,",
Suryalakshmi Cotton Mills Ltd,Companies(Private),Secunderabad,"105, 6th Floor, Surya Towers, Sardar Patel Road, Secunderabad 500003, AP","+91-40-27819856, +91-40-27819857",",cs@suryalakshmi.com,u003ecs@suryalakshmi.com,slcmitd@survalakshmi.com,",
Ramaraju Surgical Cotton Mills Ltd (Ramco Group),Companies(Private),Secunderabad,"PAC Ramasamy, Raja Salai, Rajapalayam 626117, TN",+91-4563-235904,"x3erscm@ramcotex.com,,acmambikacottonmills@gmail.com,rscm@ramcotex.com,rsem@ramcotex.com,rscm@bsnl.in,x3eacmambikacottonmills@gmail.com,",
Gnanambikai Mills Ltd,Companies(Private),Secunderabad,"551, 3rd Floor, Alankar Building, DB Road, RS Puram, Coimbatore 641002, TN","+91-422-2541502, +91-422-4350404",",gnmills1935@gmail.com,",
Aesa Air Engineering Pvt Ltd,Companies(Private),Secunderabad,"357, 2nd Floor, FIE Industrial Estate, Patparganj, New Delhi 110092, DL",+91-11-43004800,",sunil.mohan@aesa-ae.com,",
Shaligram Laminates Pvt Ltd,Companies(Private),Secunderabad,"B-22, Circle B Complex, Above Pakvan Restaurant, Boadakdev, Ahmedabad 380059, GJ","+91-2764-232390, +91-9558009558",",shaligramlam@gmail.com,",
Queen Wood Pvt Ltd,Companies(Private),Secunderabad,"614, Vishal Tower, District Centre, Janakpuri, New Delhi 110058, DL",+91-9716451111,",bantiaenquiry@gmail.com,",
Godrej Interio (Godrej & Boyce Mfg. Co. Ltd) (Godrej),Companies(Private),Secunderabad,"Firojshah Nagar, Vikhroli East, Mumbai 400079, MH","+91-22-67965656, +91-22-67965959",,
Sonali Energees Pvt Ltd,Companies(Private),Secunderabad,"208-C, Belgium Chambers Ring Road, Surat 395003, GJ",+91-261-2601208,",HRD@sonalisolar.com,ipsonalienergees@gmail.com,omkar@ormaloo.com,suratsonali@gmail.com,Sonali@enkingint.org,",
Premium Transmission Ltd,Companies(Private),Secunderabad,"Premium House, Chinchwad, Pune 411019, MH",+91-20-66314100,",info@premium-transmission.com,x3enisha.sakaria@premium-transmission.com,nisha.sakaria@premium-transmission.com,last@premium-transmission.com,",
GP Energy Systems Pvt Ltd,Companies(Private),Secunderabad,"84-BE, Salt Lake City, Kolkata 700064, WB",+91-33-23210809,",pbaoct@yahoo.com,last@gpenergy.net,j_d@gpenergy.net,",
Gautam Solar Pvt Ltd,Companies(Private),Secunderabad,"35-F, Okhla Industrial Area Phase -1, New Delhi 110020, DL",+91-11-41638505,",x3egautamsolar@gmail.com,gautamsolar@gmail.com,starfieldrenewables@gmail.com,",
Ankur Scientific Energy Technologies Pvt Ltd,Companies(Private),Secunderabad,"Near Navratna School, Sama, Vadodara 390008, GJ",+91-265-2793098,"finance@ankurscientific.com,,last@ankurscientific.com,info@ankurscientific.com,",
Sai Distributors,Companies(Private),Secunderabad,"G-4/209, Masjid Moth South Extension No 2, Plaza 2, Near AIIMS, New Delhi 110049, DL",+91-11-41013055,",saipharmadpl@yahoo.in,sai@saiservice.com,x3esaipharma@gmail.com,x3esai@saiservice.com,saipharma@gmail.com,",
Oxford Bookstore (Apeejay),Companies(Private),Secunderabad,"Apeejay House, 15 Park Street, Kolkata 700016, WB","+91-33-44035455, +91-33-32624685",",pgupta@apeejaygroup.com,",
Channi Carpets,Companies(Private),Secunderabad,"Opposite Ramgarh, Mount Road, Jaipur 302002, RJ",+91-141-2672231,",canirajkarn@gmail.com,kuljitkochar@yahoo.com,help@channicarpets.com,channicarpets@gmail.com,",
Bikanervala Foods Pvt Ltd (Bikano),Companies(Private),Secunderabad,"A-28, Lawrence Road, Industrial Area, New Delhi 110035, DL",+91-11-47006700,,
Vitas Pharma Research Pvt Ltd,Companies(Private),Secunderabad,"Technology Business, Incubator University Of Hyderabad, C R Rao Road, Gachibowli, Hyderabad 500046, TS",,",kishore@gvskpharma.com,x3ekishore@gvskpharma.com,radha@vitaspharma.com,",
Team Health Shoppe,Companies(Private),Secunderabad,"GST Road, Chennai 600048, TN",,",jainchopra.company@gmail.com,jainchopra.company@yahoo.com,",
Span Healthcare Pvt Ltd,Companies(Private),Secunderabad,"17, Columbus Business Chambers, 7th Temple Street, 15th Cross, Malleswaram, Bengaluru 560003, KA",,",ravikumar@spanhealth.com,x3ebhanuhealth@gmail.com,CUSTOMERCARE@SPANHEALTH.COM,jane@spanhealth.com,bhanuhealth@gmail.com,",
Shubham Automation Pvt Ltd,Companies(Private),Secunderabad,"201/202, Dev Aditya Arcade, Block B, Near Bagban Party Plot, Thaltej, Ahmedabad 380054, GJ",,",acc.factory@shubhamautomation.co.in,hr@shubhamautomation.co.in,doejane@shubhamautomation.co.in,shubhamservofeeder@gmail.com,",
Sarvotham Remedies Ltd,Companies(Private),Secunderabad,"Umajay Complex, 2nd Floor, Rasoolpura, Hyderabad 500003, TS",,",exports@sarvothamremedies.com,mohan_krishna@sarvothamcare.com,phanikumar@sarvothamcare.com,business_dev@sarvothamcare.com,l.d.reddy@gmail.com,u003ephanikumar@sarvothamcare.com,",
ICON Central Laboratories,Companies(Private),Secunderabad,"11, Prestige Bluechip Software Park, Hosur Main Road, Bengaluru 560029, KA",,",last@iconplc.com,info@aimil.com,gvsaicharan@gmail.com,sunilpc_2000@rediffmail.com,",
