Name,Sector,City,Address,Phone,Email,Lat-Long
HPL Electric & Power Pvt Ltd,Companies(Private),Shimla,"1, 21, 2, Asaf Ali Road, New Delhi 110002, DL",+91-11-23234411,,
Handicrafts Development Corporation of Kerala Ltd,Companies(Private),Shimla,"171, Puthenchanthai, Thiruvananthapuram 695001, KL","+91-471-2331559, +91-471-2330625",",hdckerala@gmail.com,",
SK Industrial Corporation,Companies(Private),Shimla,"17, 3, Ezra Street, Kolkata 700001, WB",+91-33-22350820,",rk@arsk.in,corp@poddarheritage.com,rera.wtcsuite@gmail.com,rajani@nilelimited.com,kabra.sk@gmail.com,",
Hinduja National Power Corporation Ltd,Companies(Private),Shimla,"171, Hinduja House, Dr. Annie Besant Road, Worli 400018, MH",+91-22-24960707,",x3eDeepak.Pandya@adani.com,Deepak.Pandya@adani.com,mm.sibbal@jalindia.co.in,sunil.hnp@hindujagroup.com,prasenjit.hnp@hindujagroup.com,",
Harsha Abakus Solar Pvt Ltd,Companies(Private),Shimla,"Sarkhej-Bavla Road, Changodar, Sanand 382213, GJ",+91-2717-618200,",John.Smith@harsha-abakus.com,umeshkumar.singh@harsha-abakus.com,sales@harsha-abakus.com,info@harsha-abakus.com,",
Ministry of Food Processing Industries,Companies(Private),Shimla,"Panchsheel Bhawan, Next To Siri Fort Auditorium, August Kranti Marg, New Delhi 110049, DL","+91-11-26492475, +91-11-26493889",",lk-cdl@nic.in,jpmeena@nic.in,industries-meg@gov.in,Email-lk-cdl@nic.in,meg@gov.in,",
HT Foods Pvt Ltd,Companies(Private),Shimla,"17/SDF, Cochin Special Economic Zone, Kakkanad, Kochi 682037, KL","+91-484-4058500, +91-484-4058501",",csannamathew@gmail.com,prashant.joshi@mdlz.com,jane@htfoods.com,info@htfoods.com,",
Gopal Snacks Pvt Ltd,Companies(Private),Shimla,"Plot No 2322/2324, Near Pelican, Gidc Lodhika, Gate No 2, F Road, Metoda, Kotdasangani 360003, GJ","+91-2827-287370, +91-2827-287377",",nxxxxx-@gopalnamkeen.com,info@gopalsnacks.com,x3einfo@gopalsnacks.com,","31.0411349,77.2347337"
Sama Jewellery Pvt Ltd,Companies(Private),Shimla,"313, Vasan Udyog Bhavan, Off Senapati Bapat Marg, Lower Parel, Mumbai 400013, MH","+91-22-66603301, +91-22-66603302","sama1@vsnl.com,mukundenterprisescolgate@gmail.com,,samajewellery@gmail.com,",
Integral PR Services Pvt Ltd,Companies(Private),Shimla,"A-11, 1st & 3rd Floor, Lajpat Nagar II, New Delhi 110024, DL",-46080920,",ir@gtllimited.com,umesh@integral-india.in,",
The Haryana State Cooperative Apex Bank Ltd,Companies(Private),Shimla,"SCO 78-80, Bank Square, Sector 17B, Chandigarh 160017, CH","+91-172-2714520, +91-172-2702370","pre@karapex.com,mis@karnatakaapex.com,",
