Name,Sector,City,Address,Phone,Email,Lat-Long
CodeRize Technologies,Companies(Private),Shivaji Nagar,"A-223/471, Balaji Prasad, Bajirao Road, Shaniwarpeth, Pune 411030, MH",+91-9890232569,",viewlinkproperties@gmail.com,",
Infiniti Infosystems,Companies(Private),Shivaji Nagar,"B-11, Bhale Estate, Rear Building, 1st Floor, Old Mumbai Pune Road, Wakdewadi, Pune 411003, MH","+91-20-48552455, +91-20-48553955",",roc.chennai@mca.gov.in,",
Source Code Technology,Companies(Private),Shivaji Nagar,"Near Gurudwara Temple, Akurdi Railway Station, Akurdi, Pune 411035, MH","+91-8149933361, +91-9637921886",",E.spgindia@spglobal.com,sbpatil@aryanpumps.com,",
Gharnmakaan.com,Companies(Private),Shivaji Nagar,"C-6, Princess Park, Mall Road, Ahinsa Khand 2, Indirapuram, Ghaziabad 201014, UP",+91-7065900285,",ihdailydata@gmail.com,gharnmakaan@gmail.com,",
Alfatech Systems Pvt Ltd,Companies(Private),Shivaji Nagar,"201-T/1/60, Moraya industrial Estate, MIDC, Bhosari, Pune 411026, MH",+91-9423061792,",finsol.marketing@gmail.com,bhatgsnehal@gmail.com,",
The Victoria Mills Ltd,Companies(Private),Shivaji Nagar,"Victoria House, Pandurang Budhkar Marg, Lower Parel, Mumbai 400013, MH","+91-22-24971192, +91-22-24971193","rera@waveestate.in,rakesh.shejwal@aartigroup.cominfo,vicmill2013@gmail.com,,",
CIE Ltd,Companies(Private),Shivaji Nagar,"365, Sultanpur, New Delhi 110030, DL",+91-11-49559100,",hemant.gavande@gmail.com,shrinivas.hari@zcltd.com,ncgiri@mazdacolours.com,info@elcalabs.com,csdineshbirla@gmail.com,madya@greenlightcorp.net,",
Profine India Window Technology Pvt Ltd,Companies(Private),Shivaji Nagar,"501/26, Kailash Building, 5th Floor, K. G. Marg, New Delhi 110001, DL",+91-11-42368600,",aarti.gupta@profine-group.com,jocelyn.vigreux@tomtom.com,debi.sarangi682@gmail.com,",
Mulji Mehta Pharma,Companies(Private),Shivaji Nagar,"B-334, Antophill Complex, Vidyalankar College Road, Wadala East, Mumbai 400037, MH",,",rakesh.shejwal@aartigroup.cominfo,accounts@iaplgroup.com,",
Amarawati Tea Co Ltd,Companies(Private),Shivaji Nagar,"6th Floor, Aspiration Accent, Kolkata 700026, WB",+91-33-40622225,",PURVEZ@GODREJ.COM,bkk@godrej.com,halmari@amarawatitea.com,","22.5138658,88.3360244"
