Name,Sector,City,Address,Phone,Email,Lat-Long
Kitchen Xpress Overseas Ltd,Companies(Private),Sivakasi,"Plot No 29-P, Santej Vadsar Road, Santej, Kalol 382721, GJ",+91-2764-268371,",das1521954@gmail.com,dj@kxol.in,info@kxol.in,rakesh@kxol.in,jane@kxol.in,mkt@kxol.in,",
Aravind Laboratories (Eyetex),Companies(Private),Sivakasi,"3/17, Valluvar Salai, Ramapuram, Chennai 600089, TN","+91-44-43358542, +91-9385050010",",doe_jane@eyetex.com,patientcare@aravind.org,xxxx@eyetex.com,roc.chennai@mca.gov.in,x3earavind.laboratories@gmail.com,aravind.laboratories@gmail.com,","9.4421566,77.7756851"
The Page,Companies(Private),Sivakasi,"95, Bhogal Road, Jangpura, New Delhi 110014, DL",+91-11-24377434,",rishica02@gmail.com,vickyasok@yahoo.co.in,","9.4588654,77.7401022"
Srinivasa Cartons & Containers Pvt Ltd,Companies(Private),Sivakasi,"10-B, 305, TTK Road, Chennai 600018, TN",+91-44-24501733,,"9.4455432,77.7591785"
Seyon Industries,Companies(Private),Sivakasi,"New Auto Nagar, Vijayawada 520007, AP",+91-9879604758,",roc.chennai@mca.gov.in,srivcetvnr@gmail.com,","10.9668123,78.0518877"
Low Price Publications,Companies(Private),Sivakasi,"6-A, 2nd Floor, Nimri Commercial Center, Phase-4, Ashok Vihar, New Delhi 110052, DL",+91-11-27302453,",roc.chennai@mca.gov.in,","9.4563309,77.7956284"
Cosboard Industries Ltd,Companies(Private),Sivakasi,"New Industrial Estate, Phase-2, Jagatpur, Cuttack 754021, OR",+91-671-2491966,,"9.4541724,77.7102197"
Chep India Pvt Ltd,Companies(Private),Sivakasi,"Aver Plaza, 3rd Floor, Opposite Citi Mall, New Link Road, Andheri West, Mumbai 400053, MH",-67839331,",rajendrakumar.kottakonda@chep.com,manoj.rathi@chep.com,x3emanoj.rathi@chep.com,",
Balaji Packagings,Companies(Private),Sivakasi,"7-3-130/6/A, Gagan Pahad, Kattedan, Hyderabad 500077, TS",-9959313240,",roc.chennai@mca.gov.in,japack@dataone.in,nagendran19@yahoo.co.in,",
Lathia Polymer Industries,Companies(Private),Sivakasi,"69/3, Near Stovec Industries, GIDC Lambha, Ahmedabad 382405, GJ","+91-79-25711323, +91-79-25716410","anupshaw@lgchem.com,lgpiinfo@lgchem.com,anupshaw@lgchem.com,lgpiinfo@lgchem.com,anupshaw@lgchem.com,x3eanupshaw@lgchem.com,",
