Name,Sector,City,Address,Phone,Email,Lat-Long
Gulmarg Beauty,Companies(Private),Srinagar,"B-2019, 2995, Sunder Nagar, Ludhiana 141007, PB",+91-161-4625014,",info@srinagarpackage.com,Support@the-gulmarg.com,",
Baba Enterprises,Companies(Private),Srinagar,"A-49, DDA Flats, Main Road, Kalkaji, New Delhi 110019, DL",+91-11-26021025,",JohnSmith@babainc.us,babareshi0786@gmail.com,",
Mehul Trading Company,Companies(Private),Srinagar,"Opposite Bank Of Maharashtra, Saree Bazaar, Burhanpur, 450331, MP",+91-7325-253460,"cadioxpharma@gmail.com,Business.mehultraders@gmail.com,mehultraders2007@gmail.com,,",
Jamshedpur Utilities and Services Company Ltd,Companies(Private),Srinagar,"Sakchi Boulevard Road, Northern Town Bistupur, Jamshedpur 831001, JH",+91-657-6646000,",jiju.thomas@tatasteel.com,",
Geno Pharmaceuticals Ltd,Companies(Private),Srinagar,"Pharmaceutical Complex, Thivim Industrial Estate, Karaswada, Mapusa, Goa 403526, GA",,",info@example.com,info@genopharma.com,",
Hyderabad Incubator Pvt Ltd,Companies(Private),Srinagar,"40, Nagarjuna Enclave Road, Beside RTC Body Unity, Bollaram Road, Miyapur, Hyderabad 500049, TS","+91-9849156540, +91-40-23045896",",info@aic-prestigeinspirefoundation.in,gandla.krishnaiah@intertek.com,enquiry@agrinest.in,vanki.audisankara@gmail.com,aleap93@gmail.com,",
Agro Gums,Companies(Private),Srinagar,"636, G. I. D. C. Estate, Phase IV, Vatva, Ahmedabad 382445, GJ",+91-79-25830659,",info@agrogums.com,commoditiesagro@gmail.com,social.blg1234@gmail.com,agrocosyndicate@gmail.com,","34.0186833,74.8187873"
Raj & Company,Companies(Private),Srinagar,"15-16, 1st Floor, Galaxy Commercial Centre, Jawahar Road, Rajkot 360001, GJ","+91-281-2224484, +91-281-2238318",,
Penta India Cement & Minerals Pvt Ltd,Companies(Private),Srinagar,"56/109, Monarch Plaza, Sector 11, CBD Belapur, Navi Mumbai 400614, MH",-67955608,,
KJS Concrete Pvt Ltd,Companies(Private),Srinagar,"Plot No 9, Unit No 5, Copia Corporate Suites, Jasola, New Delhi 110025, DL","+91-11-46587000, +91-7838265577",",binjay@kjsconcrete.com,kjsgroup92@gmail.com,",
Barak Valley Cements Ltd,Companies(Private),Srinagar,"281, Deepali, Pitampura, New Delhi 110088, DL","+91-11-27033828, +91-11-27033829",",cs@barakcement.com,x3einvestor@indiacements.co.in,x3egscl.kolkata@gmail.com,delhi@barakcement.com,gscl.kolkata@gmail.com,investor@indiacements.co.in,",
GL Tech Marketing,Companies(Private),Srinagar,"1548, Near Bypass Road, Gali No1, Kheripul, Faridabad 121002, HR",-6465898,",jainchopra.company@gmail.com,jainchopra.company@yahoo.com,",
Datamatics Financial Services Ltd,Companies(Private),Srinagar,"16-A, 17, MIDC Part-B, Crosslane Marol, Andheri, Mumbai 400093, MH",,"kross@rapidcare.ai,kross@rapidcare.ai,",
Rainbow Paints,Companies(Private),Srinagar,"Plot No 81/82, Govindraoji, Marathe Industrial Estate, Opposite Siddhivinayak Cancer, Hospital Miraj, Sangli 416410, MH","+91-233-2211221, +91-233-2211270",,
Totus Consulting Services Pvt Ltd,Companies(Private),Srinagar,"43, Bazullah Road, T. Nagar, Chennai 600017, TN","+91-44-28150690, +91-44-28150691","jacintha@transcendix.in,",
Aarvi Encon Pvt Ltd,Companies(Private),Srinagar,"155, Shah & Nahar Industrial Estate, Dhanraj Mill Compound, Sitaram Jadhav Marg, Lower Parel, Mumbai 400013, MH",+91-22-66626890,"acplhyd@abir.in,bnagabhushan@yahoo.com,x3ekccd.roc@gmail.com,vivek@icraindia.com,info.aipl@abir.in,",
J&K Development Finance Corporation Ltd,Companies(Private),Srinagar,"1st Floor, 630, B/A, 24-A, 2nd ?Extension, Gandhi Nagar, Jammu 180004, JK","+91-191-2479695, +91-191-2431498, +91-7298560049",,
EMA Partners India Pvt Ltd,Companies(Private),Srinagar,"1201, B-Wing, ?G Block?, Bandra ?Kurla Complex, Bandra East, Mumbai 400051, MH",+91-22-26752200,"m.niwate@ema-partners.com,",
