Name,Sector,City,Address,Phone,Email,Lat-Long
J K Jain Buildtech India,Companies(Private),Surat,"H. No. 24, Nabin Chandra Boro Path, Katabari, PO/PS Garchuk, Guwahati 781035,AS","+91-9312841756, +91-9311841756",",skjain@jkjainbuildtech.com,vkdesignersinnn@gmail.com,",
Iquor Solutions,Companies(Private),Surat,"A-140, Sec-63, Noida , UP",,",info@iquorsolutions.net,d_jane@iquorsolutions.net,",
Thanksweb,Companies(Private),Surat,"A-1008/11, Ganesh Glory, Near BSNL Zonal Office, Jagatpur Road, Off. SG Highway, Ahmedabad 382470, GJ",+91-8141990085,,
Imemflo,Companies(Private),Surat,"A-305, Shivalik Yash, 132 Feet Ring Road, Shastri Nagar, Naranpura, Ahmedabad 380013, GJ","+91-9909969624, +91-7436003847","samir@waterpositive.in,,",
Goldmedal Electricals Pvt Ltd,Companies(Private),Surat,"22, 23, Shubh Building, Sagar Manthan Industrial Complex Bhoidapada, Sativali Road, Vasai, Thane, Mumbai 401208, MH",+91-22-42023000,",kolkata@goldmedalindia.com,info@goldmedalindia.com,care@gmelektra.com,rajasthan@goldmedalindia.com,",
Adlec Power Pvt Ltd,Companies(Private),Surat,"Rohad bypass, Near IUP Jindal Factory, Decora Station Road, Bahadurgarh 124501, HR",+91-1276-278385,",x3esarthak.palta@adlecpower.com,sarthak.palta@adlecpower.com,manish.saxena@adlecpower.com,ranjeet.kaur@indoasian.com,x3evatco96@gmail.com,vatco96@gmail.com,",
Yashasvi Yarns Ltd,Companies(Private),Surat,"A/46, Nand-Jyot Industrial Estate, Safed Pool, Andheri Kurla Road, Sakinaka, Mumbai 400072, MH","+91-22-28518945, +91-22-32575584","rahul.g@stexports.com,,sanjeev.t@stexports.com,anandbsoman@yahoo.co.in,info@yashasviyarns.com,",
Vertex Spinning Ltd,Companies(Private),Surat,"1011, Embassy Centre, Nariman Point, Mumbai 400021, MH",+91-22-22823368,"sales@vertexspinning.com,,vertexspinninglimited@gmail.com,vertexfpl@drdcs.net,",
Tulip Elastics Pvt Ltd,Companies(Private),Surat,"102, Pankaj Chambers, H Block Market, Sarita Vihar, New Delhi 110044, DL","+91-11-41054125, +91-11-41054126","ashishmittal@tulipelastics.com,x3einfo@tulipcreationsindia.com,info@tulipcreationsindia.com,,",
The Tamilnadu Handicrafts Development Corporation Ltd,Companies(Private),Surat,"759, Anna Salai, Chennai 600002, TN","+91-44-28521271, +91-44-28521798",",adhkohima@yahoo.co.in,info@tendersontime.com,tamilnaduhandicrafts@yahoo.co.in,tnhdc@tn.gov.in,",
Shree Prakash Textiles Gujarat Pvt Ltd,Companies(Private),Surat,"Laxmivijay Hosiery Mill Compound, Naroda Road, Ahmedabad 380025, GJ","+91-79-22201822, +91-79-22203338","prakash_textiles@yahoo.com,u003eprakash_textiles@yahoo.com,,",
Saraf Carpet & Textiles,Companies(Private),Surat,"Outside Zorawar Gate, Khawas Ji Ka Bagh, Amer Road, Jaipur 302002, RJ","+91-141-2671418, +91-141-5132405",,
Saibaba Exports,Companies(Private),Surat,"14/173, Akkalkot Road, Gandhi Nagar, Solapur 413006, MH",+91-217-2390077,",exports.bts@gmail.com,kapsarora2004@yahoo.co.in,info@mastersindia.co,",
Pradeep Fibers Pvt Ltd,Companies(Private),Surat,"100, Manuprabha Gurusahani Nagar, Cidco, Aurangabad 431003, MH","+91-240-2453285, +91-240-2453287",",pradeepfibers.abad@gmail.com,",
Pan Overseas,Companies(Private),Surat,"4/25, Huda, Panipat 132103, HR",+91-180-2660182,",madhu@damodargroup.com,dinesh@westernaluminium.com,rakumar@vinmar.com,glacialintl.in@gmail.com,equiry@overseasadvisers.com,utiitsl.gsd@utiitsl.com,",
