Name,Sector,City,Address,Phone,Email,Lat-Long
Enigma Fitness - Surat,Gym,Surat,,,",sales@enigmafitness.in,info@royalplay.in,",
VLCC - Ghod Dod Road - Surat,Gym,Surat,"2/4, Union Point, Near Kakadia Complex, Ghod Dod Road, Surat 395007, GJ","+91-261-2223290, +91-261-3248231, +91-261-3248233",",ghoddhod.surat@goldsgymindia.com,",
Talwalkars Gym - Piplod - Surat,Gym,Surat,"2/3/34, Ganga House, Piplod, Surat 3943701, GJ","+91-261-2228770, +91-261-2228771",,
Talwalkars - Adajan - Surat,Gym,Surat,"4, Mangal Deep Building, Opposite Hari Om Petrol Pump, L P Sawani Road, Adajan, Surat 395009, GJ",+91-261-2734269,,
Surat City Gymkhana - Piplod - Surat,Gym,Surat,"68/1, Near SVR College, Dumas Road, Piplod, Surat 395007, GJ","+91-261-2720205, +91-261-2727004",",pratik.bhandari5734@gmail.com,info@suratcitygymkhana.com,suratcitygymkhana@gmail.com,",
Sunsai Yoga - Bardoli - Surat,Gym,Surat,"Skyline, Narayan chember, St Road, Bardoli, Surat 394601, GJ",+91-9825065621,",contactus@kataria.co.in,",
Stay Fit - Adajan Road - Surat,Gym,Surat,"Silver Spring Complex, Adajan Road, Surat 395009, GJ","+91-261-3210300, +91-9898229154",,
Stallon - Ghoddod Road - Surat,Gym,Surat,"Arihant Mall, Opposite Picnic Mall, Ghoddod Road, Surat 395007, GJ","+91-261-3192526, +91-7600004976, +91-9374404976",",info@stallongym.in,ghoddhod.surat@goldsgymindia.com,",
Sparsh Therapy Centre - Ghod Dod Road - Surat,Gym,Surat,"Suryakiran Complex, Near Tanishq Showroom, Ghod Dod Road, Surat 395007, GJ","+91-8141310594, +91-9724892786",,
S V Health Club - Adajan Road - Surat,Gym,Surat,"Adajan Road, Surat 395009, GJ",+91-9377196539,",info@svhealthclub.com,",
Prajapita Brahma Kumaris Ishwarya Vishva Vidhyalaya - Sachin - Surat,Gym,Surat,"13/14, Radha Krishan Service Society, Opposite Ld School, Sachin Station Road, Sachin, Surat 394230, GJ",+91-261-2391516,",utsavc896@gmail.com,Kravish123@gmail.com,sachin.srt@bkivv.org,",
Prajapita Brahma Kumaris Ishwarya Vishva Vidhyalaya - Station Road - Surat,Gym,Surat,"Ganti Faliya, Mangrol, Station Road, Surat 394410, GJ",+91-2629-220272,"ID-PRAMUKHSTORES@GMAIL.COM,,sajeeshkrishnanm@gmail.com,",
Parsana Health Centre - Varachha Road - Surat,Gym,Surat,"Santa Baug Complex, Hirabhai Park, Opposite Laxmi Hotel, Varachha Road, Surat 395006, GJ",+91-9377005040,",dilipparsana@gmail.com,hamzamerchant5126@gmail.com,",
National Gym - Piplod - Surat,Gym,Surat,"1, Krishnadham Shopping Centre, Piplod Road, Surat 395007, GJ","+91-261-6548884, +91-9825562465","Nmfitness323@gmail.com,pratik.bhandari5734@gmail.com,,",
Massage Relaxation Therapy - Ghod Dod Road - Surat,Gym,Surat,"Near Parle Point, Ghod Dod Road, Surat 395007, GJ",+91-9979287234,,
Lady Care Health & Fitness Centre - Bhatar Road - Surat,Gym,Surat,"307/M, Kanchan Ganga Shopping Complex, Bhatar Road, Surat 395007, GJ","+91-261-3053712, +91-9374708244",,
K P Fitness Gym - Adajan Road - Surat,Gym,Surat,"Abhishek Avenue, Opposite Lp Savani School, Adajan Road, Surat 395009, GJ",+91-9825815990,,
Jay Kays Gym - Udhanagaon - Surat,Gym,Surat,"Dhru Motors Upper Floor, Udhanagaon, Surat 394210, GJ","+91-261-2275684, +91-9228123400",,
Gujarat State Yoga Association - Surat - Surat,Gym,Surat,"302, Vitrag Darshan Apartment, Haladiya Street, Sagrampura, Surat 395002, GJ",+91-261-2349408,,
Gold's Gym - Vesu - Surat,Gym,Surat,"8, Western Business park, Opposite S.D.Jain School, Vesu Char Rasta, Vesu, Surat 395007, GJ","+91-261-6058888, +91-261-6058889","WeCare@GoldsGym.in,,wecare@goldsgym.in,ghoddhod.surat@goldsgymindia.com,",
Fitness World Gym - Ghoddod Road - Surat,Gym,Surat,"1, Opposite St Xavier's School, Ghoddod Road, Surat 395007, GJ",+91-261-2660241,"manish.singh@fitness-world.in,,info@gymnationsurat.com,ghoddhod.surat@goldsgymindia.com,",
Fitness Paradise - Wadifalia - Surat,Gym,Surat,"9/569, Kotsafil, Oppoiste Wadifalia Bus Stop, Main Road, Surat 395003, GJ",+91-261-6546533,,
Fitness Health Club - Ring Road - Surat,Gym,Surat,"Near Police Chowki, Khodiya Shoping Center, Baroda Prestage, Ring Road, Surat 395002, GJ",+91-9825561202,,
Club One Gym - Adajan - Surat,Gym,Surat,"Hotel Golden Star, Arzee's Circle, In Hotel Golden Star, Adajan, Surat 395009, GJ",+91-261-2780406,,
C B Patel Yoga Classes - Sunder - Surat,Gym,Surat,"2, Sunder, Surat 395009, GJ",+91-9898065675,,
Body Fitness - Katargram - Surat,Gym,Surat,"13/A, Rang Darshan Society, Opposite Dhanmora Char Rasta, Katargram, Surat 395004, GJ",+91-9879244610,",Fitness7gym@gmail.com,",
ABS Aerobics Fitness Studio - Ghod Dod Road - Surat,Gym,Surat,"1/2, Surya Kiran Apartment, Near St Xavier's School, Ghod Dod Road, Surat 395007, GJ",+91-9825607759,,
Pooja Fitness Centre - Surat,Gym,Surat,"2/A, Saraswati Smruti Apartment, Near New Commissioner Bungalow, Ambika Niketan Road, Surat 395009, GJ",+91-9824055867,",sshrutinandwani@gmail.com,",
