Name,Sector,City,Address,Phone,Email,Lat-Long
Kerone Ltd,Companies(Private),Thiruvananthapuram,"10-B, Marudhar Industrial Estate, Near Old Syndicate Bank, Patha Goddev Road, Bhayandar, Mumbai 401105, MH",+91-22-28195820,",abc@gmail.com,cs@jrassociates.group,cmd@supplycomail.com,",
Haren Textiles Pvt Ltd,Companies(Private),Thiruvananthapuram,"Western Express Highway, Before Toll Naka, Dahisar East, Mumbai 400068, MH","+91-22-28964390, +91-22-28961894",",vhktex@yahoo.co.in,htldahisar@gmail.com,x3evhktex@yahoo.co.in,sunil.joshi@ballyfabs.com,",
Phocos India Solar Pvt Ltd,Companies(Private),Thiruvananthapuram,"86, 8, 9, 10, 2, 3, East Cost Road, Krishna Nagar, Puducherry 605104, TN",+91-413-2912182,",info-india@phocos.com,hesham.badry@phocos.com,Info.na@phocos.com,",
Kinara Power Systems & Projects Pvt Ltd,Companies(Private),Thiruvananthapuram,"4, 4-A, 1, Service Road, Muneshwara Layout, Outer Ring Road, Laggere, Bangalore 560058, KA",+91-80-28391200,,
Kerala State Power and Infrastructure Finance Corporation Ltd,Companies(Private),Thiruvananthapuram,"KPFC Bhavanam, Vellayambalam, Thiruvananthapuram 695010, KL",+91-471-2735533,",kspifc@asianetindia.com,kpfcl@md4.vsnl.net,",
H-Energy India Group,Companies(Private),Thiruvananthapuram,"12, Knowledge Park, Hiranandani Business Park, Powai, Mumbai 400076, MH",+91-22-25715100,",ASHISH.GUPTA@DICENTRAL.COM,vishald41234@gmail.com,aminuddin.ansari@dieboldnixdorf.com,",
AMSC India Pvt Ltd,Companies(Private),Thiruvananthapuram,"210, Paharpur Business Centre, Nehru Place Greens, New Delhi 110019, DL",+91-11-41617069,",aman@clslegal.in,kinfra@vsnl.com,",
Vasudha Pharma Chem Ltd,Companies(Private),Thiruvananthapuram,"78/A, Vengalrao Nagar, Hyderabad 500038, TS",,"legal@vasudhapharma.com,cs@vasudhapharma.com,,x3ecs@vasudhapharma.com,",
Nutraplus India Ltd,Companies(Private),Thiruvananthapuram,"A-201/202, Planet Industrial Estate, Subhash Road, Vile Parle East, Mumbai 400057, MH",,",x22Nutraplus@gmail.com,x3eNutraplus@gmail.com,Nutraplus@gmail.com,ingrevia.support@jubl.com,nutraplus@gmail.com,",
Novacare Drug Specialities Pvt Ltd,Companies(Private),Thiruvananthapuram,"B-119, Vardhaman Complex, LBS Marg, Vikhroli West, Mumbai 400083, MH",,",kannan@novacaregroup.in,",
