Name,Sector,City,Address,Phone,Email,Lat-Long
Asian Public School,School,Thiruvananthapuram, Kovalam Beach; Kovalam Beach; 695527,,"info@asb.ac.in,admission@aps-school.in,director@asb.ac.in,asiangroupofschool@gmail.com,info@aps-school.in,apstrivandrum@awesindia.edu.in,asianpublicschool2011@gmail.com,",8.3979024; 76.9850206
Govt Hs Vazhamuttom,School,Thiruvananthapuram," Pachallor; Thiruvananthapuram,Pachallor; 695027",,"info@entranceindia.com,",8.413719138889; 76.970855666667
Crescent Islamic English Medium School,School,Thiruvananthapuram,Venganoor; Thiruvananthapuram; 695521,,"info@studyapt.com,",8.3872799; 76.9886228
St. Francis School,School,Thiruvananthapuram," Venganoor; Thiruvananthapuram,Venganoor; 695523",,"stjoseph2007@rediffmail.com,sfsvzm@rediffmail.com,info@stfrancisinternationalschool.com,stfrancisschoolvnb@gmail.com,sfis2009@hotmail.com,",8.3975556; 76.9960722
St Francis Sales Central School,School,Thiruvananthapuram," Venganoor; Thiruvananthapuram,Venganoor; 695523",0471 248 3447,"stjoseph2007@rediffmail.com,sfsvzm@rediffmail.com,",8.3975556; 76.9960722
ST. Francis Sales School,School,Thiruvananthapuram," Vizhinajam; Thiruvananthapuram,Vizhinajam; 695521",0471 248 3447,"stjoseph2007@rediffmail.com,sfsvzm@rediffmail.com,salesnivas@rediffmail.com,",8.3974802; 76.9960773
St Francis Sales L P School,School,Thiruvananthapuram," Vizhinajam; Thiruvananthapuram,Vizhinajam; 695521",0471 248 3447,"sfsvzm@rediffmail.com,salesnivas@rediffmail.com,",8.3974803; 76.9961108
Metrocity School,School,Thiruvananthapuram,"Vazhamuttam High School Vazhamuttom; Thiruvananthapuram,Vazhamuttom; 695027",,"mail@mgmcet.ac.in,gmchsstvm@gmail.com,info@entranceindia.com,travancorenationalschool@gmail.com,",8.4154301; 76.9700633
Holy Spirit School,School,Thiruvananthapuram,"Poonkulam Vellayani; Thiruvananthapuram,Vellayani; 695522",085939 61548,"archanatabraham@gmail.com,lijijoshwa1@gmail.com,holyspiritschool7@gmail.com,hssp1@hotmail.com,",8.4227018; 76.9730077
Vps Boys Higher Secondary School,School,Thiruvananthapuram," Venganoor; Thiruvananthapuram,Venganoor; 695523",,"gbhsskaramana@gmail.com,hss.stgorettis@gmail.com,XXXX@XXXXXX.XXX,vpsbhss@gmail.com,",8.3963269; 77.0031916
Hss For Girls,School,Thiruvananthapuram," Venganoor; Thiruvananthapuram,Venganoor; 695523",0471 248 0956,"stmichaelshskdm@gmail.com,cmghss@rediffmail.com,gmhssforgirlspattom@gmail.com,cgacdhse@gmail.com,stghss@gmail.com,gghssatt@gmail.com,",8.3949471; 77.0032231
Mother Theresa Cbse School Msc Management,School,Thiruvananthapuram," Venganoor; Thiruvananthapuram,Venganoor; 695523",,"mtmcentralschool@gmail.com,mtmschool@yahoo.com,",8.3960337; 77.0035943
SIMS Sagreen Montessori School,School,Thiruvananthapuram," Vellayani; Thiruvananthapuram,Vellayani; 695522",,"simspkm@gmail.com,simsglobal@gmail.com,",8.425180388889; 76.971488916667
St Marys Lp School,School,Thiruvananthapuram,"Near Pluslook Saloon Vizhinajam; Thiruvananthapuram,Vizhinajam; 695521",,"pattomstmarys@gmail.com,",8.379700611111; 76.997207638889
