Name,Sector,City,Address,Phone,Email,Lat-Long
Shree Vari Groups,College,Thrissur,"Near Ganapathy Bus Stop Ganapathy; Coimbatore,Ganapathy; 641006",8460494957.0,"mail@srivyasanss.ac.in,govtcollegetcr@yahoo.co.in,shreevarieducationalgroups@gmail.com,admissions@ncerc.ac,scamgovtcollege@gmail.com,",11.0352868889; 76.9780807222
Geethanjali Group Of Institutions,College,Thrissur,Vyapara Bavan South Bazar Road; Parakkandy Road South Bazar Road; 670002,8460557218.0,"prashanthtpo@gcet.edu.in,kishorecr@gcet.edu.in,civilhod@gist.edu,ecehod@gist.edu.in,csehod@gist.edu.in,eeehod@gist.edu.in,principal@gectcr.ac.in,mechod@gist.edu.in,",11.87655; 75.3626
Microtec Educational Services,College,Thrissur, Thrissur East; East Fort Junction Thrissur East; 680005,9054338838.0,"u003einfo@microtec.in,info@microtec.in,",10.522499; 76.225466
Iiahsr Paramedical College,College,Thrissur,Opp Raymond Thrissur Central; Kuruppam Road Thrissur Central; 680001,8732942894.0,"wims33@gmail.com,nchs@nirmalacollege.edu.in,info@iiahsr.com,info@co-operativecollegethrissur.org,",10.521111111111; 76.212222222222
Mercy Institute Of Technology,College,Thrissur, Guruvayur; Punnathoor Road Guruvayur; 680101,,"info@mercycollege.co.in,mercycollegepkd@yahoo.com,Mercycon@gmail.com,mercy.pursuits@gmail.com,principal@mercycollege.edu.in,",10.60416096; 76.04425397
G-Tec Kechery,College,Thrissur,Oposite Mambaul Hudha Markaz Kecheri; Near Dubai Road Kecheri; 680501,9724610022.0,"principal@vidyaacademy.ac.in,mail@keralavarma.ac.in,12@gmail.com,om@gteceducation.com,kozhencherry.pta@gteceducation.com,tcrround.tcr@gteceducation.com,",10.628577222222; 76.120941138889
Kairali Vidya Peedam,College,Thrissur,Near North Bus Stand Thrissur City; West Palace Road Thrissur City; 680020,8460511338.0,"pradhukkrishna@gmail.com,",10.5308789; 76.2145162
Techshore Inspections Services,College,Thrissur, Poothole; Pottayil Lane Poothole; 680004,,"dataworld1999@gmail.com,tcilittvm06@gmail.com,techshoreinspections@gmail.com,techshore.kottayam@gmail.com,info@techshore.in,",10.522252; 76.2064661
Institute Of Engineering,College,Thrissur,Near Mathrubhumi Thrissur Railway Station; Thrissur Railway Station; 680021,9725258632.0,"x3e@gectcr.ac.in,principal@gectcr.ac.in,info@gectcr.ac.in,admissions@ncerc.ac,",10.518561111111; 76.212158333333
RVM and Associates,College,Thrissur,Nearby Christ College Irinjalakuda; Christ College Road Irinjalakuda; 680121,8460385667.0,"rvm.ahmedabad@gmail.com,mail@srivyasanss.ac.in,srmthrissur@gmail.com,",10.3539829; 76.2155807
