Name,Sector,City,Address,Phone,Email,Lat-Long
Hynetic Electronics Pvt Ltd,Companies(Private),Thrissur,"78, 1, 3rd Cross, Gavipuram Extension, Bangalore 560019, KA",+91-80-41203991,",info@hynetic.com,cslegal@inlead.co,accounts@hynetic.com,x3ecslegal@inlead.co,x22accounts@hynetic.com,x3eaccounts@hynetic.com,x22cslegal@inlead.co,",
Hykon Power Electronics Pvt Ltd (Hykon),Companies(Private),Thrissur,"Hykon Power, Electronic Nh Bypass, Thalore, Thrissur 680306, KL",+91-487,"online@hykonindia.com,,accounts@gmail.com,hykon.accounts@gmail.com,",
Kalyani Polymers Pvt Ltd,Companies(Private),Thrissur,"46/1, Off Kanakapura Road, Doddakalasandra, Bangalore 560062, KA","+91-80-40991198, +91-80-26661303",",info@kalyanipolymers.com,sunil.n@kalyanipolymers.com,",
Lawrence & Mayo India Pvt Ltd,Companies(Private),Thrissur,"274, Dr. D. N. Road, Fort, Mumbai 400001, MH","+91-22-22077440, +91-22-22078801",,
Saf Fermion Ltd,Companies(Private),Thrissur,"62, Millennium City Information Technology Park, 8th Floor, Tower 2, Block DN, Sector 5, Salt Lake, Kolkata 700091, WB",,",rathin.roy@saf.in,x3erathin.roy@saf.in,",
Asian Herbex Ltd,Companies(Private),Thrissur,"5, 3-4-490/A, Prembagh, Barkatpura, Hyderabad 500027, TS",,"ashianherbex@ashianherbex.biz,,asianherbex@asianherbex.biz,",
The Confectioners,Companies(Private),Thrissur,"A-4/133, Janta Flat, Paschim Vihar, New Delhi 110001, DL","+91-11-45046434, +91-11-45046435",",modicakes@gmail.com,",
Manjushree Plantations Ltd,Companies(Private),Thrissur,"10, Camac St, Industrial House, Kolkata 700017, WB","+91-33-22835661, +91-33-22818325",",companysecretary@groupmanjushree.com,",
Elixir Exotic Foods & Allied Products Pvt Ltd,Companies(Private),Thrissur,"IDA, Angamaly South, EKM District, Ernakulam 683573, KL",+91-484-24544492+91-484-455539,,"10.1793554,76.3639861"
Elite Foods Pvt Ltd,Companies(Private),Thrissur,"IX/256, SIDCO Industrial Estate, Peringandoor,, Thrissur 680581, KL",,"x3ecustomercare@eliteindia.com,,elitefoods@eliteindia.com,customercare@eliteindia.com,cakes@eliteindia.com,roc@eliteindia.com,","10.6168984,76.1965855"
Greenbooks Learning Solutions,Companies(Private),Thrissur,"99-4, High Places Sneha Sadan, Nungambakam High Road, Chennai 600034, TN",+91-44-43560077,",accounts@greenbooksindia.com,thrissur@greenbooksindia.com,","10.5251527,76.1830781"
Kama Schachter Jewellery Pvt Ltd,Companies(Private),Thrissur,"601/604, Multistoried Building, Seepz, Sez, Andheri East, Mumbai 400096, MH",-43440931,",vivek.tamse@kamaschachter.com,John.Smith@kamaschachter.com,",
Amar Nath Achal Kumar,Companies(Private),Thrissur,"Near City Police Station, Sadar Bazar, Barnala 148101, PB",-236573,"orgchajal@gmail.com,,gwaplants@gmail.com,pradyumna.satpathy@jmfl.com,",
Akriti Jewelcraftz Pvt Ltd,Companies(Private),Thrissur,"431, EPIP, HSIIDC, Kundli Industrial Area, Sector 53, Kundli, Sonipat 131029, HR","+91-9899444942, +91- 9654450091",",Moryaravi@maheshsilks.com,accounts@jewelcraftz.com,",
Val Organics Pvt Ltd,Companies(Private),Thrissur,"95, Chadha Building, Wadala West, Mumbai 400031, MH","+91-22-24106465, +91-22-24126460","last@vallabhgroup.com,ranaharjinder@vardhman.com,last@vallabhgroup.com,ranaharjinder@vardhman.com,",
Prince Containers Pvt Ltd,Companies(Private),Thrissur,"21, 2nd Floor, Kalpataru Points, Kamani Marg, Sion East, Mumbai 400022, MH","+91-22-66100303, +91-22-66100202","kkdlegal@gmail.com,kkdlegal@gmail.com,info-cn@pulcrachem.com,kkdlegal@gmail.com,kkdlegal@gmail.com,info-cn@pulcrachem.com,kkdlegal@gmail.com,x3ekkdlegal@gmail.com,",
Jonson Rubber Industries Ltd,Companies(Private),Thrissur,"54, Village Dhaturi, Sonepat, Haryana 110005, DL","+91-11-23510553, +91-11-66402336","last@jyotiplastic.com,last@jyotiplastic.com,",
Auto Steel and Rubber Industries Pvt Ltd,Companies(Private),Thrissur,"C-2-1, Technicians Block, Pune 411026, MH","+91-20-27127701, +91-20-27127702","dhiraj_kanal@baxter.com,dskar.chatterjee@gmail.com,dhiraj.bhattacharjee@biocon.co,dhiraj_kanal@baxter.com,",
Envisol,Companies(Private),Thrissur,"16-E, 108, Keerthi Rendezvous, Crossswamypalya PAI Layout, Bangalore 560016, KA",+91-9900461444,"SSMI@mssspl-india.com,hr-SSMI@mssspl-india.com,",
