Name,Sector,City,Address,Phone,Email,Lat-Long
D360T Connects,Companies(Private),Udaipur,"11, Shashikanth Plaza, 3rd Floor, Shilpa Birla Compound Road, Kurnool 518002, AP","+91-7799483463, +91-9505099323",,
Kunhar Peripherals Pvt Ltd,Companies(Private),Udaipur,"9-B, 10, Royal Industrial Estate, Naigaon Cross Road, Wadala, Mumbai 400015, MH",+91-22-43346401,",inquiry@artis.in,kamlesh.yadav@cummins.com,info@kunhar.com,",
Chromalox Advanced Thermal Technologies,Companies(Private),Udaipur,"1, 62-C, C, Community Center, New Delhi 110058, DL",+91-11-25623134,",sathisha@kalkitech.inMr.Francis,prasanth@kalkitech.com,",
Tip Top Impex,Companies(Private),Udaipur,"102-103, Monalisa Apartment, Ksaturba Road, Malad West, Mumbai 400061, MH","+91-22-28890505, +91-22-65702426",,
Rubric Apparels Pvt Ltd,Companies(Private),Udaipur,"G-17, 2nd Floor, Sector 3, Noida 201301, UP",+91-120-4543133,",kaykohli@gmail.com,",
Jain International Designs Pvt Ltd,Companies(Private),Udaipur,"A-1, Sector 63, Gautam Budh Nagar, Noida 201301, UP",+91-120-4087700,",inderkt@gmail.com,vipin@jidesigns.com,anshul@jidesigns.com,",
Vinod Fabrics Pvt Ltd,Companies(Private),Udaipur,"114-M, New Cloth Market, Near Raipur Gate, Sherkotda, Ahmedabad 380002, GJ",+91-79-22169561,",mb@srsl.in,vinodfabrics@hotmail.com,n@hotmail.com,Vinodfabrics@hotmail.Com,",
Shree Ram Overseas,Companies(Private),Udaipur,"F-192-193, EPIP Garment Zone, Industrial Area, Sitapura, Jaipur 302022, RJ","+91-141-2770476, +91-141-2770477",",saurabh.exims@gmail.com,",
Asian Fabricx Pvt Ltd,Companies(Private),Udaipur,"746/1&2, 751/1&2, Manmangalam, Semmadai, Karur 639006, TN","+91-9943099915, +91-4324-221576",",ashok@asianfab.com,x3eaccountsmanager@asianfab.com,accountsmanager@asianfab.com,",
Pelicans Automotive & Promotional Products Pvt Ltd,Companies(Private),Udaipur,"567/3, Gonde, Igatpuri, Nashik 422403, MH","+91-2553-225462, +91-2553-225464",,
