Name,Sector,City,Address,Phone,Email,Lat-Long
UFlex Ltd,Companies(Private),Un,"A-108, Sector 4, Noida 201301, UP","+91-120-4012345, +91-120-3982121",",kapil.kumar1@uflexltd.com,John.Smith@uflexltd.com,enquiry@uflexltd.com,secretarial@uflexltd.com,",
Otdp,Companies(Private),Un,"3c, Jamal Fazal Chambers, 26, Greams Road, Chennai,Tamil Nadu",+91-4442176630,",unitednationsdiplomatic92@Gmail.com,",
LinkPlux,Companies(Private),Un,"No 16/25, Ravi St, Seethapathi 2nd Cross Street, Velachery, next to Buhari Hotel, Chennai 600042,TN",+91-8925065691,,
Gruby,Companies(Private),Un,"Chandigarh 140413, CH",+91-9993076900,,
i-Next Web Technologies,Companies(Private),Un,"SCO-58-59, Ist Floor, Sector 34-A, Chandigarh 160022, CH",+91-172-4014455,",swati.garg@inextsolutions.com,rnihalani@hotmail.com,",
Heights IT Solutions,Companies(Private),Un,"GA, Atlas Apartment, Road No 10, Banjara Hills, Hyderabad 500034, TS",+91-8897729440,",ravikumarramadoss@pixmonks.com,x3eredhawx10@hotmail.com,ashishsinha361@gmail.com,sandeep_kumar.p@hotmail.com,redhawx10@hotmail.com,x3eravikumarramadoss@pixmonks.com,accounts@idmindia.com,enquiry@manpowergroup.com,x3eaccounts@idmindia.com,",
Bhukya Software Technologies,Companies(Private),Un,"HIG-249, Sri Sai Nilayam, 3rd Floor, Road No 2, KPHB Colony, Kukatpally, Hyderabad 500072, TS",+91-8885255199,",bhavsingh@gmail.com,jeereddy@hotmail.com,info@bhukyasofttech.com,",
TealVue,Companies(Private),Un,"51/117, Nelson Towers, 1st Floor, 4th Wing, Nelson Manickam Road, Aminjikarai, Chennai 600089, TN",+91-7695996947,",info@tealvue.com,",
Wix,Companies(Private),Un,,,",yourname@mybusiness.org,",
Evolute Solutions Pvt Ltd,Companies(Private),Un,"125, Madhuram Industrial Estate, Satvali Road, Vasai, Bassein 401208, MH",+91-250-3023500,",jane@evolute.in,info@evolute.in,statutory@evolute.in,x3estatutory@evolute.in,",
