Name,Sector,City,Address,Phone,Email,Lat-Long
Xtrim Digitech,Companies(Private),Vadodara,"Office No – 205, 2nd Floor TBC Tower, Near Tulsi Tower, Geeta Bhawan To Palasia Road, Indore, Madhya Pradesh, India 452001",9074606808,",xtrimdigitech@gmail.com,rainbowdigilink@gmail.com,rdl@rainbowdigilink.com,hr@xtrimdigitech.com,",
Malu Electrodes Pvt Ltd,Companies(Private),Vadodara,"111, Ramkrishna Appartment, Chaproo Nagar Square, Nagpur 440008, MH",+91-712-2730399,",info@maluelectrodes.com,",
Kakatiya Energy Systems Ltd,Companies(Private),Vadodara,"2, D, Industrial Areamoulali, Hyderabad 500040, TS",+91-40-23262540,",mail@natureswitch.com,",
Integral Systems & Components Pvt Ltd,Companies(Private),Vadodara,"388-D, 1, 1, 1st Stage, Near Peenya Police Station, Peenya Industrial Estate, Bangalore 560010, KA",+91-80-28391709,",sales@integralsys.in,inty.systems@gmail.com,",
Indo Exports,Companies(Private),Vadodara,"120-D, Pocket-B, Mayur Vihar-2, New Delhi 110009, DL",+91-11-22788004,",shares@indoaminesltd.com,deepakumalaxmi@gmail.com,rakesh.shejwal@aartigroup.cominfo,x3eshares@indoaminesltd.com,seplmumbai15@gmail.com,",
Hi - Tech Cable Industries,Companies(Private),Vadodara,"239 A-A, 6-D, V. K. I. Area, Jaipur 302013, RJ",+91-141-2330348,",tchavan@igus.net,",
Green Pearl Electronics Pvt Ltd,Companies(Private),Vadodara,"211, 1, 2, Kattangulathur, Potheri Village, Chennai 603203, TN",+91-44-27402859,"support@greenpearlelectronics.com,,info@greenelectricals.com,gp24gnc@gmail.com,",
Elpro International Ltd,Companies(Private),Vadodara,"17Th Floor Nirmal, Nariman Point, Mumbai, MH 400021.",+91-22-40299000,"helpdesk.evoting@cdslindia.com,,mkt@elpro.co,cs@elpro.co.in,x3ecs@elpro.co.in,",
Electrocom Technology India Ltd,Companies(Private),Vadodara,"12-C, Electronics Zone, Sector-25, G.I.D.C, Gandhinagar 382044, GJ",+91-79-23288084,"info@electrocom.in,,",
Electro Arts India,Companies(Private),Vadodara,"11-K, Midc Area, Ambad, Nashik 422010, MH",+91-253-6697701,",careers.industrial@in.schneider,rajeevsharma@libertyshoes.com,recruit@linde-le.com,munish@libertyshoes.com,baroda@arelectropower.com,careers.industrial@in.schneider-electric.com,bhopal@arelectropower.com,",
Dovy Electricals,Companies(Private),Vadodara,"120-A, 1, Group Industrial Area, Wazirpur, New Delhi 110052, DL",+91-11-45647979,",secretarial@iifl.com,",
Dodia Electricals,Companies(Private),Vadodara,"9, 11, G, Picket X Road, G.T. Building, Lohar Chawl 400002, MH",+91-22-22064807,"headed@ecil.com.in,,laxmivijcon@gmail.com,sales@dodiaelectricals.com,",
Didwania Sales Corporation,Companies(Private),Vadodara,"20-G, Sahara Market, Near Reliance Petrol Pump, Vapi 396195, GJ",+91-260-2428444,",Sales@Didwania.com,sales@energitec.co.in,cng@didwania.com,sales@nesoi.co.in,",
Cogebi Insulation India Pvt Ltd,Companies(Private),Vadodara,"5170, 113-B, 2, Infantry Road, Bangalore 560001, KA",+91-80-40913554,",wong@cogebiasia.com,sales@cogebi.com,komala@cogebi.com,",
Bharat Bijlee Ltd,Companies(Private),Vadodara,"6th Floor, Appasaheb Marathe Marg, Prabhadevi, Mumbai 400025, MH",+91-22-24306237,",info@bharatbijlee.com,",
ASACO Pvt Ltd,Companies(Private),Vadodara,"1, 92, 93, Swapnalok Complex, S.D.Road, Hyderabad 500003, TS",+91-40-27814844,"ashutosh.pgjco@gmail.com,,surendermakhija@gmail.com,accounts@asaco.in,x3eaccounts@asaco.in,sales@asaco.in,",
Akshar Brass Industries,Companies(Private),Vadodara,"1, Gokuldham Society Street, Tele Exchange Road, Mehul Nagar, Jamnagar 361006, GJ",+91-288-2562348,"info@aksharbrass.com,,akshar.products@gmail.com,bhargavsanghani2274@gmail.com,",
Aha 3D Innovations Pvt Ltd,Companies(Private),Vadodara,"166, Janakpuri II Imly Phatak, Jaipur 302015, RJ",+91-141-08003944400,",aakash.ece@gmail.com,",
Adinath Controls Pvt Ltd,Companies(Private),Vadodara,"816, 5, Kothari Industrial Estate, Santej-Rakanpur Road, Santej, Kalol, Kalol 382721, GJ",+91-2764-286573,",devang@devyami.com,",
AAVEG Technology Pvt Ltd,Companies(Private),Vadodara,"9-A, Electronic Complex, Industrial Area, Pardeshipura, Indore 452010, MP",+91-731-2579786,",foodandbeveragematrix@gmail.com,x3einfo@aavegtech.com,shakti@aavegtech.com,connect@aaveg.com,info@aavegtech.com,",
Peass Industrial Engineers Pvt Ltd,Companies(Private),Vadodara,"41, 2nd Floor, Merchant Chambers, New Marine Lines, Mumbai 400020, MH",+91-22-61210900,"navsari@peass.com,last@peass.com,reshmi@reshmiindustries.com,,",
Modern Terry Towels Ltd (Modern),Companies(Private),Vadodara,"16, Kadi Road, Sanand 382110, GJ","+91-2717-222464, +91-2717-222373",",doej@modernterrytowels.com,gauravgoyal@moderninsulators.com,",
Kusumgar Corporates Pvt Ltd,Companies(Private),Vadodara,"RO-101, Manjushree, VM Road, Vile Parle West, Mumbai 400056, MH","+91-22-61125100, +91-22-26184341",",info@kusumgar.com,career@kusumgar.com,",
Lifestyle Chair Gallery India Pvt Ltd,Companies(Private),Vadodara,"248, Sector 6, IMT Manesar, Gurgaon 122050, HR",+91-9711739840,",anu_perfect@sify.com,gbala@roots.co.in,",
Amardeep Designs India Pvt Ltd,Companies(Private),Vadodara,"A-103/5, Sanjay Building, Mittal Estate, Andheri Kurla Road, Marol Naka, Andheri East, Mumbai 400059, MH","+91-22-42917777, +91-22-40057864",",collaborate@amardeepdesign.com,dilip@amardeepchair.com,anand.banka@talatiandtalati.com,order@amardeepdesign.com,",
SIVA Bulk,Companies(Private),Vadodara,"204, Peninsula Corporate Park, Senapati Bapat Marg, Lower Parel 400013, MH",+91-22-49152700,",baroda@talatiandtalati.com,",
Shilpa Steel & Power Ltd,Companies(Private),Vadodara,"1-4, Wanjara Layout, Pilinadi, Kampti Road, Nagpur 440026, MH",+91-712-2640060,",shilpa_ngp@shilparl.com,",
SE Power Ltd,Companies(Private),Vadodara,"7-M, 1-M, Greater Kailash Part-2, New Delhi 110048, DL",+91-11-43518888,",Mohit1.Agarwal@se.com,info@sepower.in,cs@sepower.in,u003ecs@sepower.in,vadodara@linkintime.co.in,Investor.relation@schneider-electric.com,Sales@suil.in,",
Scope T&M Pvt Ltd,Companies(Private),Vadodara,"EPIP, S E-59, 60, 61 GIDC, Vadodara, Savli 391775, GJ",+91-22-43444244,,
Madhya Pradesh Paschim Kshetra Vidyut Vitaran Company Ltd,Companies(Private),Vadodara,"Shakti Bhawan, Jabalpur 482008, MP",+91-761-2661111,",MPEastDiscom@mpez.co.in,cmdwz.indore@gmail.com,x3eMPEastDiscom@mpez.co.in,",
Lalitpur Power Generation Company Ltd,Companies(Private),Vadodara,"Bajaj Bhawan, B-10, Jamnalal Bajaj Marg, Sector 3, Noida 201301, UP",+91-120-4045100,"mca.lpgcl@bajajenergy.com,,cs@lpgcl.com,",
L&T-Sargent & Lundy Ltd,Companies(Private),Vadodara,"L&T Knowledge City, Near Ajwa Waghodia Crossing, National Highway 8, Vadodara 390002, GJ",+91-265-2456001,,
Gulbarga Electricity Supply Company Ltd,Companies(Private),Vadodara,"Opposite Pariwar Hotel, Main Gulbarga Road, Gulbarga 585102, KA",+91-8472-256581,",ps2fa@gescom.in,fa@gescom.in,csgescom@gmail.com,dt@gescom.in,md@gescom.in,mdgesco@gmail.com,",
Gujarat Urja Vikas Nigam Ltd,Companies(Private),Vadodara,"Sardar Patel, Vidyut Bhavan, Race Course, Vadodara 390007, GJ",+91-265-2310585,"x3ecs.guvnl@gebmail.com,,u003ecs.guvnl@gebmail.com,cs.guvnl@gebmail.com,",
Gujarat Transformers Pvt Ltd,Companies(Private),Vadodara,"Maneja, Vadodara 390013, GJ",+91-265-2642422,",jandgtransformer@gmail.com,gujarat@esennar.com,nagpur@esennar.com,u003egujarattransformers@hotmail.com,sales@gpd-transformers.com,sales@tmc-india.com,gujarattransformers@hotmail.com,x3ejandgtransformer@gmail.com,",
Gujarat State Electricity Corporation Ltd,Companies(Private),Vadodara,"Vidyut Bhawan, Race Course, Vadodara 390007, GJ",+91-265-2310582,",sere2.gsecl@gebmail.com,eepnp.gsecl@gebmail.com,cs.gsecl@gebmail.com,gsecl@gebmail.com,u003ecs.gsecl@gebmail.com,",
Gujarat Plug - In Devices Pvt Ltd,Companies(Private),Vadodara,"989, 3, GIDC, Makarpura, Vadodara 390010, GJ",+91-265-2396148,",marketing@gpd-transformers.com,info@reogpd.com,accounts@gpd-transformers.com,info@gpd-transformers.com,sales@gpd-transformers.com,",
Gujarat Industries Power Company Ltd,Companies(Private),Vadodara,"Petrochemicals, Vadodara 391346, GJ",+91-265-2232768,",investors@gipcl.com,vadodara@linkintime.co.in,",
Electronet Systems,Companies(Private),Vadodara,"1154, Sri Pada Layout, BDA Double Road, Banashankari 6th Stage, Bangalore 560098, KA",+91-80-9535025205,",ho@electronet.co.in,ca.asco@yahoo.in,",
Aster Pvt Ltd,Companies(Private),Vadodara,"141, 1, I.D.A, Cherlapally, Phase ?2, Hyderabad 500062, TS",+91-40-29805127,",x3ecs@aster.in,clifford.pinto@roquette.com,asternissan@gmail.com,x3eclifford.pinto@roquette.com,cs@aster.in,first@aster.in,",
Annapurna Export,Companies(Private),Vadodara,"Ajir Bagan More, Matir Bag, Kachan Nagar, Burdwan 713102, WB",+91-342-09330942802,",x3eketur81@gmail.com,seshadri.s@buchi.com,x3eseshadri.s@buchi.com,ketur81@gmail.com,x3eaccounts@sumilon.com,atozfoodtrader@gmail.com,ajay@atiradesign.com,annpurnamng@gmail.com,sampath2311@gmail.com,accounts@sumilon.com,x3eajay@atiradesign.com,",
Alectrona Papers and Energy Ltd,Companies(Private),Vadodara,"24, 32, South Mada Street, Mylapore, Chennai 600004, TN",+91-44-24934440,",diksat1999@gmail.com,",
"New Era Overseas, New Delhi",Companies(Private),Vadodara,"Plot No 4, F-105, 1st Floor, Alliance Tower, Savita Vihar Local Shopping Complex, New Yammuna Sport Complex, New Delhi 110092, DL","+91-11-43061308, +91-8447574131",",exports@fairexports.net,info@uniquefragrances.com,",
Bubber Handicrafts,Companies(Private),Vadodara,"6 & 7, Pratap Market, Link Road, Bapu Bazar, Jaipur 302003, RJ",+91-141-2571756,,
Vasudeva Vilasam Arya Vaidya Sala and Ayurveda Nursing Home,Companies(Private),Vadodara,"Vasudeva Vilasam Road, Fort, Thiruvananthapuram 695023, KL",,"md@vasudeva.com,,info@vasudeva.com,",
Unidrug Innovative Pharma Technologies Ltd,Companies(Private),Vadodara,"115, 581/5, Bansi Trade Centre, M G Road, Indore 452015, MP",,",bharat_jain@unidrugindia.com,info@unidrugindia.com,",
Shrenik Pharma Ltd,Companies(Private),Vadodara,"103, Deluxe Court, Rao Bahadur, Near Bandra Station, V B Road, Bandra West, Mumbai 400050, MH",,",lkv@splrc.com,dagonpharma@rediffmail.com,info@montagelabs.com,",
Shiv Sakthi Cellulose Pvt Ltd,Companies(Private),Vadodara,"2/108, Gurun Nagar Colony, Chittoor 517001, AP",,",shivsakthi_cells2002@yahoo.co.in,vaanicarboxy@rediffmail.com,shivsakthicells2002@yahoo.co.in,",
Shamshree Lifesciences Ltd,Companies(Private),Vadodara,"1136/37, Sector 22-B, Chandigarh 160022, CH",,",shamshree@gmail.com,prasad@adithyapharma.com,x3eshamshree@gmail.com,acronpharmaaceuticals@yahoo.com,salespcd@shamshree.com,",
Shakti Bio Science Ltd,Companies(Private),Vadodara,"103, Bhakti Apartment, Near Moksh Plaza, Jambali Gali, Borivali West, Mumbai 400092, MH",,",x3eanup@shaktibioscience.com,anup@shaktibioscience.com,",
Reliance Life Sciences Pvt Ltd,Companies(Private),Vadodara,"R-282, TTC Industrial Area, Thane Belapur Road, MIDC, Rabale, Navi Mumbai 400701, MH",,"RLS.CompanySecretary@Relbio.com,,customer@relmedlab.com,x3eRLS.CompanySecretary@Relbio.com,",
Poly Medicure Ltd,Companies(Private),Vadodara,"105, HSIDC Industrial Area, Sector 59, Faridabad 121059, HR",,",x3ecs@polymedicure.com,n@obelis.net,info@polymedicure.com,polymed.eu@polymedicure.com,cs@polymedicure.com,mdoffice.delhi@polymedicure.com,",
Panacea Biotec Ltd,Companies(Private),Vadodara,"B-1, A-27, Mohan Co-operative Industrial Estate, Mathura Road, New Delhi 110044, DL",,",x3ecompanysec@panaceabiotec.com,companysec@panaceabiotec.com,corporate@panaceabiotec.com,last@panaceabiotec.com,",
Novotech Clinical Research India Pvt Ltd,Companies(Private),Vadodara,"304-A & 304-B, Embassy Square, 148th Infantry Road, Bengaluru 560001, KA",,"rajan.pandey@novotech-cro.com,,Cosec@novotech-cro.com,",
Nestor Pharmaceuticals Ltd,Companies(Private),Vadodara,"S-22/6, DLF Phase 3, Gurgaon 122002, HR",,",info@anod.in,shatammohan@gmail.com,x3esanjeev@nestorpharmaceuticals.com,sanjeev@nestorpharmaceuticals.com,",
MSD India (Fulford India Ltd),Companies(Private),Vadodara,"C-59, Platina, 8th Floor, G-Block, Bandra Kurla Complex, Bandra East, Mumbai 400051, MH",,",dpoc_india@merck.com,x3emicompliance@merck.com,micompliance@merck.com,contactmsdindia@merck.com,business@accutestindia.com,",
Karmic Lifesciences LLP,Companies(Private),Vadodara,"02, Plot No K-10, Reliable Plaza, Thane Belapur Road, Airoli, Navi Mumbai 400708, MH",,",vijay@cliantha.in,",
Hindustan Opticals,Companies(Private),Vadodara,"22, Lytton Road, Dehradun 248001, UK",,",corporatehse@mail.hpcl.co.in,bhiwani@hindustangum.com,",
Everest Organics Ltd,Companies(Private),Vadodara,"127/128, Kavuri Hills, Madhapur, Hyderabad 500033, TS",,"x3eheenal.shah@amoliindia.com,,info@vccilindia.com,eolcs0405@gmail.com,heenal.shah@amoliindia.com,jane@everestorganicsltd.com,investor@technocraftgroup.com,",
Divis Laboratories Ltd,Companies(Private),Vadodara,"1-72/23-P/303, Divi Towers, Cyber Hills, Gachibowli, Hyderabad 500032, TS",,",x3email@divislaboratories.com,mail@divislaboratories.com,mail@divislabs.com,cs@divislabs.com,",
Chaitanya Biologicals Pvt Ltd (Chaitanya Group),Companies(Private),Vadodara,"15/2, Malkapur Bypass, National Highway No 6, Malkapur 443101, MH",,",mktccm@gmail.com,manan@ozonebio.com,",
Caplin Point Laboratories Ltd,Companies(Private),Vadodara,"3, Narbavi, Lakshmanan Street, T Nagar, Chennai 600017, TN",,"info@caplinpoint.net,,investor@caplinpoint.net,x3einfo@caplinpoint.net,",
Brooks Laboratories Ltd,Companies(Private),Vadodara,"502/2, Kanakia Atrium, Next To Hotel Courtyard Marriott, Andheri Kurla Road, Andheri East, Mumbai 400093, MH",,"investors@brookslabs.net,,",
Biostrass Therapeuties Inc,Companies(Private),Vadodara,"211, Silver Coin, Shrenik Park Crossing, Productivity Road, Akota, Vadodara 391310, GJ",,"biostrass@indiatimes.com,,n@indiatimes.com,",
ASG BIOCHEM Pvt Ltd,Companies(Private),Vadodara,"607/3, Rohit House, Tolstoy Marg, New Delhi 110001, DL",,",x3easgbiochempl@gmail.com,x22asgbiochempl@gmail.com,asgbiochempl@gmail.com,co@asgbiochem.com,",
Algen Healthcare Ltd,Companies(Private),Vadodara,"487/65, Near National Market, Chaudhary Prem Sukh Marg, Peeragarhi Village, Paschim Vihar, New Delhi 110087, DL",,",bhatiaalgen@yahoo.com,",
Alexion Pharmaceuticals,Companies(Private),Vadodara,"301, Kensington SEZ, A Wing, South Avenue, Hiranandani Gardens, Powai, Mumbai 400076, MH",,"jane.doe@alexion.com,,x3ejane.doe@alexion.com,",
Alembic Pharmaceuticals Ltd,Companies(Private),Vadodara,"Alembic Road, Vadodara 390003, GJ",,",John.Smith@alembic.co.in,JSmith@alembicpharmaceuticals.com,alembic@alembic.co.in,apl.investors@alembic.co.in,vadodara@linkintime.co.in,infoal@alembic.co.in,x3eJohn.Smith@alembic.co.in,last@alembic.co.in,",
Akorn India Pvt Ltd,Companies(Private),Vadodara,"9-B, DLF Cyber City, 4th Floor, Gurgaon 122002, HR",,",GlobalPV@akorn.com,",
Tiku Ram Gum & Chemicals Pvt Ltd,Companies(Private),Vadodara,"Dhani Ramjas, Bhiwani, Siwani 127046, HR",+91-9991091007,,
Sundex Process Engineers Pvt Ltd,Companies(Private),Vadodara,"201 - 202, Omex Chambers, Rajarshi Shahu Maharaj Marg, Andheri East, Mumbai 400069, MH","+91-22-26846793, +91-22-26820336",",info@sundexindia.com,x3einfo@sundexindia.com,x3ev3engineers01@gmail.com,",
S N J Trade Link Pvt Ltd,Companies(Private),Vadodara,"8-A, Queens Road, Amritsar 143001, PB",+91-183-2221678,",info@snjtradelink.com,rbajaj@snjtradelink.com,abajaj@snjtradelink.com,contectas@sntradelink.com,",
Oceanic Edibles International Ltd (Oceanaa Group),Companies(Private),Vadodara,"6, 1st floor, Wellington Estate 53, Ethiraj Salai, Egmore, Chennai 600008, TN",+91-44-30241900,",shine@oceaniagroup.in,email@assocom-india.com,u003eoceanic@oceanicedible.com,oceanic@oceanicedible.com,",
Kumar Metal Industries Pvt Ltd (KMIPL),Companies(Private),Vadodara,"101, Kakad Bhavan, Opposite Gaiety Galaxy Cinema, 30th Road, Bandra West, Mumbai 400050, MH",+91-22-26441667,",info@kumarmetal.com,",
JTC Tea Industries Pvt Ltd,Companies(Private),Vadodara,"84, Phase 4, HSIIDC Industrial Estate, Kundli, Sector 56, Sonepat 131028, HR",+91-130-2374184,"x3eaccounts@sumilon.com,accounts@sumilon.com,contact@jtctea.com,,",
