Name,Sector,City,Address,Phone,Email,Lat-Long
Workout World - Old Padra Road - Vadodra,Gym,Vadodra,"1st Floor, Sankalp Building, Near Banker'S Heart Institute, Old Padra Road, Vadodara 390015, GJ","+91-265-2357087, +91-8511764422",",info@workoutworld.co.in,",
Wellocity - Race Course Road - Vadodra,Gym,Vadodra,"Cine Mall, 3rd Floor, Near Natubhai Circle, Race Course Road, Vadodara 390007, GJ",+91-265-3269595,,
Vajramusti Gymnasium - Fatehgunj - Vadodra,Gym,Vadodra,"Warasia Road, Fatepura, Vadodara 390006, GJ",+91-265-2569186,,
Urban Fitness Club - Manjalpur - Vadodra,Gym,Vadodra,"Shlok Complex, Next To Saraswati Complex, Manjalpur, Vadodara 390011, GJ","+91-265-2660093, +91-9898822709",",urbanfitness61@gmail.com,",
Union Gymkhana - Fatehgunj Circle - Vadodra,Gym,Vadodra,"264/5, Near Bank Of Baroda, Fatehgunj Circle, Vadodara 390005, GJ",+91-265-2791168,",g.johri28@gmail.com,",
Sterling Health Mall - Old Padra Road - Vadodra,Gym,Vadodra,"Near Zaverchand Park, Old Padra Road, Vadodara 390020, GJ","+91-265-2327696, +91-265-2321160",",info@sterlinghealthmall.com,",
Setus Aerobic Studio - Nizampura - Vadodra,Gym,Vadodra,"Above Modi Clinic, Nizampura, Vadodara 390002, GJ",+91-9879090587,",newerabaroda@gmail.com,",
Maximum Fitness - Karelibaug - Vadodra,Gym,Vadodra,"Profit Center, Near Amit Nagar Circle, Vip Road, Karelibaug, Vadodara 390022, GJ","+91-265-6444539, +91-265-6530111, +91-9227778855",,
Fitness Zone And Sport Mall - Kothi - Vadodra,Gym,Vadodra,"Anandpura, Opposite Government Press, Kothi Char Rasta, Kothi, Vadodara 390001, GJ","+91-265-2415741, +91-9227799555, +91-9227105577",,
Exerciser Institute Of Health And Fitness - Race Course Road - Vadodra,Gym,Vadodra,"Opposite Inox Cinema, Race Course Road, Vadodara 390007, GJ",+91-9925044344,,
Body Language - Alkapuri - Vadodra,Gym,Vadodra,"23, Gokul, Behind National Plaza, Vishwas Colony, Alkapuri, Vadodara 390007, GJ","+91-265-3246568, +91-265-6627763, +91-9426454448, +91-9825533880",,
