Name,Sector,City,Address,Phone,Email,Lat-Long
AA Fitness Club - Valsad,Gym,Valsad,,,",swati251019@gmail.com,preshineinfo@gmail.com,","20.6037286,72.9066637"
S Fitness Gym - Valsad,Gym,Valsad,,,"bodyfitnesszone@gmail.com,,divyanshpatel854@gmail.com,","20.6035654,72.9022042"
Gym Academy 1880 - Valsad,Gym,Valsad,"GVVQ+FVC, Unnamed Road, Magod Dungri, Gujarat 396020",,",sandeep.deshmukh@upl-ltd.com,","20.5436772,72.8870515"
Everyday Fitness - Valsad,Gym,Valsad,,,",Info@aeroyog.com,","20.6450221,72.8914959"
Power House Gym - Valsad,Gym,Valsad,"JW8H+47V, Nani Khatriwad, Valsad, Gujarat 396001",,",patelpurval81@gmail.com,info@powerhousegym.com,","20.6153529,72.925608"
Workout Zone - Valsad,Gym,Valsad,,,"bodyfitnesszone@gmail.com,,ipfrpfadi@gmail.com,snk47rtm@gmail.com,","20.6328224,72.8901431"
Rambo Fitness Zone - Valsad,Gym,Valsad,,,",RAMBOFITNESS2010@GMAIL.COM,","20.6363334,72.8913354"
Sarva Yoga International - Valsad,Gym,Valsad,"Sadhna Kendra, Shanti Niketan, Tithal, Valsad, Tithal, Gujarat 396006",,",sayhello@sarva.com,sarvakalyanamnyas@gmail.com,","20.596439,72.8583456"
Shiv Shakti Nutrition Centre - Valsad,Gym,Valsad,"Sai Siddhi Arcade, Panchvati Society, Pardi Sandhpor, Valsad, Gujarat 396001",,",hitechlab@ugvcl.com,orangehealthpharma@gmail.com,","20.6125074,72.9352921"
Skylink Fitness - Valsad,Gym,Valsad,"Dayasagar Apt, 3/4, Dixit St, opp. Bank of India, Mota Taiwad, Valsad, Gujarat 396001",098980 21816,,"20.6161746,72.9262022"
Om Sai Nutrition Center - Valsad,Gym,Valsad,"103,Krishna Complex, Mahatma Gandhi Rd, near Trushna Syrup Mix, Valsad, Gujarat 396001",096627 96428,",vivek@sdtravels.in,","20.6149982,72.9258999"
Trance Yogfitness Studio - Valsad,Gym,Valsad,"Trance YogFitness studio. Tarang Appt ,2nd floor near Halar char rasta opp Head Post Ofice.",074055 11365,,"20.6080201,72.9234541"
Dhani Nutrition - Valsad,Gym,Valsad,"R no.1004, Sardar hights, new gujrat housing board, G wing paar building, Tithal Rd, opposite paali hill, Valsad, Gujarat 396001",084509 42018,",prafulmange1985@gmail.com,csraunakbansal@gmail.com,","20.6029687,72.9082979"
