Name,Sector,City,Address,Phone,Email,Lat-Long
Globetek,Companies(Private),Vapi,"739, 13th Cross, 7th Block, Jayanagar, Bangalore 560070, KA",+91-80-26771770,",sales@globetek.in,",
Frigoglass India Pvt Ltd,Companies(Private),Vapi,"26-A, Sector 3, Imt Manesar, Gurgaon 122050, HR",+91-124-4320800,",last@frigoglass.com,pjain@frigoglass.com,doe.jane@frigoglass.com,chennai-patent@nic.in,info@frigoglass.com,",
Digi Drives Pvt Ltd,Companies(Private),Vapi,"147, 148, Sector 58, Faridabad 121004, HR",+91-129-4295200,",ashishmilmile.suiv@gmail.com,navneet@digidrives.in,suiv.pvt.ltd@gmail.com,acclimatesystem@gmail.com,accounts@digidrives.in,",
Ashlok Safe Earthing Electrode Ltd,Companies(Private),Vapi,"58, SIDCO Industrial Estate, North Phase, Ambattur, Chennai 600098, TN",+91-44-42175962,",krishnamurthy@ashlok.in,",
Vaibhav International,Companies(Private),Vapi,"4, Kesav Path, Opposite Vyas Park, Galta Road, Jaipur 302017, RJ","+91-141-2660322, +91-141-2660323","suresh@vaibhavfitting.com,,",
Fibre and Fabrics International Pvt Ltd,Companies(Private),Vapi,"21-E1, Phase 2, Industrial Area, Peenya, Bangalore 560058, KA","+91-80-42865000, +91-80-41273166","finance@moenus.in,,ffi@fibresnfabrics.com,",
Mercury Manufacturing Company Ltd,Companies(Private),Vapi,"D-3, Phase 2, MEPZ Special Economic Zone, Chennai 600045, TN","+91-44-22628002, +91-44-22628593",",keshav_singh@welspun.com,amd@arvind.in,badiger_shrikant@yahoo.co.in,bkk@godrej.com,",
Jaycee Punching Solutions Pvt Ltd,Companies(Private),Vapi,"8, 801, 13, 6, Ssr Corporate Park, Mathura Road, Faridabad 121102, HR",+91-129-4250800,",bxxxxxxxr@jayceepower.com,",
Merit Healthcare Pvt Ltd,Companies(Private),Vapi,"509/1, Western Edge, Borivali East, Mumbai 400066, MH",,",tarunkharbanda2008@rediffmail.com,x3edharamvir.malik@akums.net,x3etarunkharbanda2008@rediffmail.com,merit@meritorganics.com,agamgem@gmail.com,dharamvir.malik@akums.net,",
Inlife Pharma Pvt Ltd,Companies(Private),Vapi,"110-A, Liberty Plaza, Himayatnagar, Hyderabad 500029, TS",,",acc.inlife@outlook.com,customercare@inlifehealthcare.com,",
GVK Biosciences Pvt Ltd,Companies(Private),Vapi,"28-A, Nacharam, Hyderabad 500076, TS",,",last@gvkbio.com,",
Ace Feeds Pvt Ltd,Companies(Private),Vapi,"214, Gera Park View, Near World Trade Centre, Karadi, Pune 411014, MH","+91-9890111458, +91-9325404245",",accounts@acefeeds.net,u003eaccounts@acefeeds.net,","18.554781,73.9430658"
Shree Bhawani Paper Mills Ltd,Companies(Private),Vapi,"33, Dayanand Marg, Allahabad 211002, UP",+91-532-2548404,"dikshit@papiertech.com,,info@shbhawani.com,x3erajeev@bestpaper.co.in,babitajain@shbhawani.com,rajeev@bestpaper.co.in,dikshit@aimsindia.org,","20.3583749,72.9240515"
Renu Prints Pvt Ltd,Companies(Private),Vapi,"7-F, 7, MIDC, Chikalthana, Aurangabad 431210, MH",+91-240-2482318,",hrishidesh@gmail.com,d-jane@renuprints.com,","20.3804245,72.7490852"
Friends Publications India,Companies(Private),Vapi,"101-102, 4787, 23, Ansari Road, Darya Ganj, New Delhi 110002, DL",+91-11-23246222,",dhanraj.dagar@zyduswellness.co,rakesh.shejwal@aartigroup.cominfo,csannamathew@gmail.com,legal.india@rb.com,aadyaoffice.nidhi@gmail.com,","20.3804245,72.7490852"
DC Books,Companies(Private),Vapi,"D C Kizhakemuri Edam, Good Shepherd Street, Kottayam 686001, KL",+91-481-2563114,",customercare@dcbooks.com,accounts@dcbooks.com,","20.3724694,72.8359963"
ASAPP Media Pvt Ltd,Companies(Private),Vapi,"303-A, Navabharat Estates, Zakaria Bunder Road, Sewri West, Mumbai 400015, MH",+91-22-24193000,",x3eSubscriber@ASAPPinfoGLOBAL.com,Subscriber@ASAPPinfoGLOBAL.com,dipti@asappinfoglobal.com,admin@asappmedia.com,finance2@asappinfoglobal.com,anand@blitzmultimedia.co,","18.9916229,72.8387992"
Venus Gas Products & Services (Mysore) Pvt Ltd,Companies(Private),Vapi,"F 67/15A, Gurukar Devanna Street, Fort Mohalla, Mysore 570004, KA","+91-821-4252391, +91-82-2446027",,"20.3638191,72.9047101"
Hydrocarbon Project Engineers Ltd,Companies(Private),Vapi,"349, 3rd Main Road, Nehru Nagar, Kottivakkam, Chennai 600096, TN",+91-44-42666677,"mail@hrcp.in,,varunaengineering2@gmail.com,","22.3077375,73.2448135"
Poysha Packaging Pvt Ltd,Companies(Private),Vapi,"N-29 & 30, National Steel Compound, Patel Marg, Meerut Road, Ghaziabad 201003, UP","+91-120-2701377, +91-120-4158005",",sanjay@finance.poyshapackaging.com,last@poyshapackaging.com,abhas.kumar@poyshapackaging.com,",
Emirates SkyCargo,Companies(Private),Vapi,"12, CPC Building, 1st Floor, Air Cargo Complex, Nedumbassery, Ernakulam 683585, KL",-2611607,",pr@emirates.com,",
Asian Packing Machinery,Companies(Private),Vapi,"1131, Sector 19, Faridabad 121002, HR","+91-129-2297796, +91-129-4046773",",info@asianpackingmachinery.com,asianpacking4@gmail.com,",
UAL Industries Ltd,Companies(Private),Vapi,"16, Konark-Mani Uday, Mayfair Road, Kolkata 700019, WB","+91-33-40115100, +91-33-22838801",",last@ualind.com,ual_up@ualind.com,",
Vasai Cable Pvt Ltd,Companies(Private),Vapi,"133, Golden Park Commercial Complex, Near Parvati Cinema, Sai Nagar, Vasai West, Thane 401202, MH","+91-250-2335096, +91-250-2335945",",vasaicable@yahoo.com,x3evasaicable@yahoo.com,d-j@vasaicable.com,",
Vertex Engineers,Companies(Private),Vapi,"Plot No G-814/ B, GIDC, Metoda, Dist-Rajkot, Kotdasangani 360021, GJ",-8866959857,"ajay.joshi@vijayneha.com,",
Triveni Polymers Pvt Ltd,Companies(Private),Vapi,"GT Road, Piao Maniyari, Kundli, Kundli 131028, HR","+91-130-2219073, +91-130-2219070",,
Toyo Metallurgicals Ltd,Companies(Private),Vapi,"19, Annapurna Industrial Estate, Tilak Road, Ghatkopar East, Mumbai 400077, MH",-21027035,,
Tipco Industries Ltd,Companies(Private),Vapi,"Tipco Plaza, Rani Sati Marg, Malad East, Mumbai 400097, MH",-42761931,"compliance@transfurt.com,compliance@transfurt.com,info@transfurt.com,j-d@transfurt.com,info@transfurt.com,j-d@transfurt.com,x3ecompliance@transfurt.com,",
Sunny Paint & Tar Products,Companies(Private),Vapi,"72/A, Sector C, Sanwer Road, Indore 452001, MP",-4067823,"Cs@supercropsafe.com,u003eCs@supercropsafe.com,super_crop_safe@yahoo.com,cs@supercropsafe.com,u003eCs@supercropsafe.com,super_crop_safe@yahoo.com,cs@supercropsafe.com,",
Sonal Adhesives Ltd,Companies(Private),Vapi,"2-N, Laxmi Industrial Estate, New Link Road, Andheri West, Mumbai 400053, MH",-61316062,"info@speb7.com,info@speb7.com,",
Shri Plasto Packers Pvt Ltd,Companies(Private),Vapi,"10, Old No 20, 1st Floor, CP Ramaswamy Road, Alwarpet, Chennai 600018, TN",-42140604,"support@tofler.in,chirag@csbhatt.co.in,chirag@csbhatt.co,supl.headoffice@gmail.com,support@tofler.in,chirag@csbhatt.co.in,chirag@csbhatt.co,",
Shiv Shakti Polymers Pvt Ltd,Companies(Private),Vapi,"G-54 & UL-8, Amber Tower, SC Road, Jaipur 302001, RJ",-2363757,"suraj@sgconsultants.in,admin@shraddhaassociates.com,sales@shraddhaassociates.com,suraj@sgconsultants.in,sales@shraddhaassociates.com,",
Saru Aikoh Chemicals Ltd,Companies(Private),Vapi,"A-2, Industrial Estate, Partapur, Meerut 250103, UP",-2440666,"mehernosh_kainaz@hotmail.com,u003emehernosh_kainaz@hotmail.com,mehernosh_kainaz@hotmail.com,u003emehernosh_kainaz@hotmail.com,enquiry@sauradip.com,mehernosh_kainaz@hotmail.com,",
Neocare Naturals Ltd,Companies(Private),Vapi,"Plot No 167, Road No 13A, Jubilee Hills, Hyderabad 500033, TS",-23542751,"fluoro@hotmail.com,info@nexgenfluoro.com,info@nexgenfluoro.com,n.fluoro@hotmail.com,rkmalhotra424@gmail.com,",
Multiplex Group of Companies,Companies(Private),Vapi,"180, 1st Main Road, Mahalakshmi Layout, Bengaluru 560086, KA","+91-80-23497464, +91-80-23494406",,
Mittal Technopack Pvt Ltd,Companies(Private),Vapi,"14, 2nd Floor, Gujarat Mnsion, Bentick Street, Kolkata 700001, WB",-9831072871,"s.b.manglunia@mohinorganics.com,m.kanoi@mohiniorganics.com,s.b.manglunia@mohinorganics.com,anil.kanoi@mohiniorganics.com,r.k.manglunia@mohiniorganics.com,sunil.kanoi@mohiniorganics.com,info@mohiniorganics.com,s.b.manglunia@mohinorganics.com,info@mohiniorganics.com,info@mohiniorganics.com,info@mohiniorganics.com,x3em.kanoi@mohiniorganics.com,x3es.b.manglunia@mohinorganics.com,x3eanil.kanoi@mohiniorganics.com,x3er.k.manglunia@mohiniorganics.com,x3esunil.kanoi@mohiniorganics.com,",
Micro Particle Engineers Pvt Ltd,Companies(Private),Vapi,"35/36, 2nd Floor, Secretrait Colony, Kilpauk, Chennai 600010, TN","+91-44-43548949, +91-44-26427972","info@ministerrainwear.com,djm966@gmail.com,",
Leister Technologies India Pvt Ltd,Companies(Private),Vapi,"4/27B, Kambar Street, Alandur, Chennai 600016, TN","+91-44-45583436, +91-9003096811","info@lobachemie.com,info@lobachemie.com,info@lobachemie.com,jane@lobachemie.com,info@lobachemie.com,info@lobachemie.com,jane@lobachemie.com,info@lobachemie.com,x3einfo@lobachemie.com,",
Jay Minerals,Companies(Private),Vapi,"Plot No 1003/1004, Phase 4, GIDC Estate, Gayatri, Mandir Road, Naroda, Ahmedabad 382330, GJ",-22813282,"bhaskar_berad2006@yahoo.co.in,u003ebhaskar_berad2006@yahoo.co.in,info@jbpharma.com,bhaskar_berad2006@yahoo.co.in,sanghvipharma@hotmail.com,u003ebhaskar_berad2006@yahoo.co.in,info@jbpharma.com,bhaskar_berad2006@yahoo.co.in,shailesh@jbspharmachem.co.in,x3esanghvipharma@hotmail.com,",
Huntin Organics Pvt Ltd,Companies(Private),Vapi,"14/5, Mahindra Sterling Compound, Main Mathura Road, Faridabad 121003, HR",-3193230,"vivekkadam@ilabio.com,",
HLA Chemicals Pvt Ltd,Companies(Private),Vapi,"71/A, Krishna House, ST Bus Stand Road, Ganeshpeth, Nagpur 440018, MH","+91-712-2723789, +91-712-2601225","finance@subray.com,dilip@sanjaychemindia.com,sales@limechem.com,sales@limechem.com,dubai@sanjaychemindia.com,gujar@kwalitychemical.com,info@jbpharma.com,chennai@chemicalweekly.com,sanilg_81@yahoo.com,sales@limechem.com,sales@limechem.com,dubai@sanjaychemindia.com,sanjaychemicalsdmcc@gmail.com,gujar@kwalitychemical.com,info@jbpharma.com,chennai@chemicalweekly.com,mumbai@finarchemicals.com,sales@finarchemicals.com,sanilg_81@yahoo.com,x3efinance@subray.com,x3edilip@sanjaychemindia.com,",
Harman Finochem Ltd,Companies(Private),Vapi,"107-A, 159-A, Vinay Bhavya Complex, CST Road, Kalina, Santacruz East, Mumbai 400098, MH",-67330031,"dinesh.rana@henkel.com,x3edinesh.rana@henkel.com,",
Grindwell Norton Ltd (Saint-Gobain),Companies(Private),Vapi,"5th Level, Leela Business Park, Andheri-Kurla Road, Andheri East, Mumbai 400059, MH",-40212052,"info@gujaratguardian.in,pxxxxxxxxxxi@gujaratguardianglass.com,salesindia@guardian.com,pxxxxxxxxxxi@gujaratguardianglass.com,x3einfo@gujaratguardian.in,",
Die Plast Pvt Ltd,Companies(Private),Vapi,"Plot No 11, Survey No 66, Hissa No 1/ 1, Naikpada, Behind Meenaxi Industrial Estate, Vasai East, 401210, MH","+91-250-6055524, +91-250-6055512","support@dolphinemt.com,dolphin.floats@gmail.com,dolphin.floats@gmail.com,support@dolphinemt.com,nfloats@gmail.com,",
Daniel & Sons Pvt Ltd,Companies(Private),Vapi,"1/3, Vaibhav Indutrial Estate, Mahakali Caves Road, Andheri East, Mumbai 400093, MH","+91-22-26874623, +91-22-26872964","sales@decotouchpaints.com,lpdc_ca@yahoo.in,accounts@decotouchpaints.com,sales@decotouchpaints.com,lpdc_ca@yahoo.in,",
BBR Microdite Waterproofing Co,Companies(Private),Vapi,"256, Rozbie Gardens, Kalyan 421503, MH",+91-251-2682650,,
Balmer Lawrie & Co. Ltd (Balmer Lawrie),Companies(Private),Vapi,"21, Netaji Subhas Road, Kolkata 700001, WB","+91-33-22225218, +91-33-22225403",,
The New Search Group,Companies(Private),Vapi,"619, Main Jyoti Park, Near Sheetla Vidya Peeth School, New Jyoti Park, 122050, HR",+91-9811044190,"rksharma@bhardwajservices.com,jaya.gwalani@thinkpeople.in,info@thinkpeople.in,x3erksharma@bhardwajservices.com,roc.chennai@mca.gov.in,",
Shapers Management Services Pvt Ltd,Companies(Private),Vapi,"1038, Sector-18-C, Chandigarh 160018, CH","+91-172-4628881, +91-172-4356520","shrijicon@gmail.com,u003eshrijicon@gmail.com,",
Alpha Plus Technologies Pvt Ltd,Companies(Private),Vapi,"1301, 2, Aston Sunder Van, Andheri West, Mumbai 400053, MH",+91-22-61448787,"info@ambicoindia.com,",
Maanaveeya Development & Finance Pvt Ltd (Oiko Credit),Companies(Private),Vapi,"8-2-293/82/2/208/A and 208/A/1, MLAs Colony, Road 12, Banjara Hills, Hyderabad 500034, TS",+91-40-23554729,,
