Name,Sector,City,Address,Phone,Email,Lat-Long
The Handicrafts and Handlooms Exports Corporation of India Ltd (HHEC),Companies(Private),Varanasi,"A-2, Noida Complex, Sector 2, Udyog Marg, Noida 201301, UP","+91-120-2539155, +91-120-2539156","kgopalhhec@gmail.com,,cepc@vsnl.com,cmd@hhedworld.in,",
Mangalam Ventures Ltd,Companies(Private),Varanasi,"32, Sector 6, Faridabad 121006, HR","+91-129-4251100, +91-129-4066601",",mail@mangalamventures.com,ajay.kumar@mangalamventures.com,SECRETARY@GILLANDERSARBUTHNOT.COM,COMPANY.SECRETARY@GILLANDERSARBUTHNOT.COM,",
Legend International Pvt Ltd,Companies(Private),Varanasi,"384/2, 1st Floor, 2 Khasra, 100 Ftee Road, Ghitorni, New Delhi 110030, DL",+91-11-26502703,",legenddecor@gmail.com,",
Krishna Textile Stores,Companies(Private),Varanasi,"46, 122, 3rd Floor, Mahavir Mansion, Kika Street, Gulalwadi, Mumbai 400004, MH",+91-22-22428562,",n@yahoo.com,jaikrishnatex@yahoo.com,",
Binny Mills Ltd,Companies(Private),Varanasi,"New No 4, Old No 10, Sapthagiri Bhavan, Karpagamabal Nagar, Mylapore, Chennai 600004, TN","+91-44-24991518, +91-9600078319","anand.seshadri@247-inc.com,,binnymills@bmlindia.com,investor@cameoindia.com,",
Apple Sarees Pvt Ltd,Companies(Private),Varanasi,"2, Apple House, Behind Kohinoor Market, Ring Road, Malini Wadi, Surat 395002, GJ",+91-261-3133033,",info@applesarees.com,sales@applesarees.com,",
AMPM Fashions Pvt Ltd,Companies(Private),Varanasi,"B-134, Sector 10, Noida 201301, UP","+91-120-4214756, +91-120-3089151","sandeep@ampm.in,,",
Vibgyor Styles Pvt Ltd,Companies(Private),Varanasi,"G-5, Sector 6, Noida 201301, UP","+91-120-4263235, +91-120-2422895",",chandiprasad1963@gmail.com,vibgyorstyle@sify.com,legal@inmacs.com,info@vibgyorstyles.com,",
Silktex Ltd,Companies(Private),Varanasi,"34, 2nd Floor, KR Colony, Domlur Layout, Bangalore 560071, KA",+91-80-41123090,",karan@artisanindiaexports.com,",
Mandhana Industries Ltd,Companies(Private),Varanasi,"205 To 214, Peninsula Center, Off DR Ambedkar Road, Parel East, Mumbai 400012, MH",+91-22-30409191,",cs@mandhana.com,",
Prateek Apparels Pvt Ltd,Companies(Private),Varanasi,"13, 7th Mile, Krishna Reddy Industrial Area, Kudlu Gate, Hosur Road, Bangalore 560068, KA","+91-80-42815300, +91-80-42815302",",d.jane@prateeklifestyle.com,cs@prateekapparels.com,rhegde@prateekapparels.com,exports.moraceae@gmail.com,accounts.moraceae@gmail.com,khan@prateekapparels.com,x3ecs@prateekapparels.com,",
Vasu Healthcare Pvt Ltd,Companies(Private),Varanasi,"967/4, GIDC, Makarpura, Vadodara 390010, GJ",,",varnidigital@gmail.com,info@vasuresearch.com,info@vasuhealthcare.com,",
Suyog Life Sciences Pvt Ltd,Companies(Private),Varanasi,"145/B, GIDC Estate, Ankleshwar 393002, GJ",,",yambemaditya@gmail.com,x3esuyogdyechemie@gmail.com,info@suyoginc.com,suvikhitek@gmail.com,suyogdyechemie@gmail.com,marketing@suvikhitek.com,",
Jwala Technoengineering Pvt Ltd,Companies(Private),Varanasi,"195/2, Khetan Kutir, Jawahar Nagar, Near Mangal Co-Operative Bank, Goregaon West, Mumbai 400062, MH",+91-22-65703038,",x3ejwalaengineering@gmail.com,jwalaengineering@gmail.com,",
Garg Industries,Companies(Private),Varanasi,"567-C, DSIIDC, Narela Industrial Area, New Delhi 110040, DL",+91-8042754667,",iiavaranasi@gmail.com,sigmacapvns@gmail.com,varun@bmghinges.com,info@garg-hinges.com,gargind.noida@gmail.com,","25.3256856,82.9825779"
Jagriti Agro,Companies(Private),Varanasi,"A-287, New Sabzi Mandi, Azadpur, New Delhi 110033, DL",-27671464,",SALILKUMARITC@GMAIL.COM,rakesh.shejwal@aartigroup.cominfo,amiragroind@gmail.com,nipvns@gmail.com,",
Nispana Innovative Platforms Pvt Ltd,Companies(Private),Varanasi,"270, Ivanik, 2nd Floor, 14th Cross, 2nd Stage, Indiranagar, Bangalore 560038, KA",-49330989,",anuradha.naren@nispana.com,",
Jnana Prabodhini,Companies(Private),Varanasi,"510, Sadashiv Peth, Pune 411030, MH",-24207075,"esamskriti@suryaconsulting.net,,prashala@jnanaprabodhini.org,",
Axis Ad-Print-Media India Pvt Ltd,Companies(Private),Varanasi,"631/632, Solitaire Corporate Park, Building No 6, 3rd Floor, Chakala, Andheri East, Mumbai 400093, MH","+91-22-43218866, +91-22-43218877",",info@axismyindia.org,sales@axismyindia.org,",
Vinergy International Pvt Ltd,Companies(Private),Varanasi,"Unit No 501-A, 5th Floor, Tower A, Peninsula Business Park, Senpati Bapat Marg, Lower Paral, Mumbai 400013, MH","+91-22-66537221, +91-22-66537222",,
PSM HR Solutions.,Companies(Private),Varanasi,"Ardee City, Gurgaon 122003, HR",+91-124-4006096,,
Kataria Jewellery Insurance Consultancy,Companies(Private),Varanasi,"39, Tad Wadi, Sonapur Street, Near Hotel Anandashram, Chira Bazar, Mumbai 400002, MH","+91-22-22080833, +91-22-22080834","jane@katariainsurance.com,",
Caspian Impact Investment Adviser Pvt Ltd,Companies(Private),Varanasi,"3rd Floor, 8-2-596/5/B/1, Road 10, Banjara Hills, Hyderabad 500034, TS","+91-40-66460505, +91-40-66297100","info@caspian.in,compliance@caspian.in,",
