Name,Sector,City,Address,Phone,Email,Lat-Long
Appsquadz,Companies(Private),Vasa,,,",deepti@acc.ltd,",
5Mindz Technolabs,Companies(Private),Vasa,5Mindz Technolabs,+91-9067779777,,
Tech Hunger Software,Companies(Private),Vasa,"CCGX-2-GM, Road No 1, Hyderabad 500001, TS",,",roc.chennai@mca.gov.in,",
Lucem Group,Companies(Private),Vasa,"2, K-426, 133, Opposite Metro Pillar, M G Road, Ghitorni, New Delhi 110030, DL",+91-11-65633396,,
Katsun Automation Pvt Ltd,Companies(Private),Vasa,"100-A, Lgf Defence Colony, New Delhi 110024, DL",+91-11-41676665,,
INTECH Lamp Machinery Pvt Ltd,Companies(Private),Vasa,"160-B, 3, Industrial Town, Rajajinagar, Bangalore 560044, KA",+91-80-23357443,",roc.chennai@mca.gov.in,rsprabhuandco@gmail.com,",
Haryana General Industries,Companies(Private),Vasa,"66-A, 4, G.T. Karnal Road, Industrial Area, Azadpur, New Delhi 110033, DL",+91-11-27131473,",mail@faith.org,suneesh.buxy@gov.in,harin@dynaind.com,jane-d@matadorlights.com,",
Fortuna Impex Pte Ltd,Companies(Private),Vasa,"8, 12-D, Ho Chi Minh Sarani, Harrington Mansion, Kolkata 700071, WB",+91-33-22822270,",accounts@fortunaindia.com,shivakumar@icraindia.com,doe-jane@fortunaindia.com,fipl@fortunaindia.com,roc.chennai@mca.gov.in,",
EXa Thermometrics India Pvt Ltd,Companies(Private),Vasa,"181, B.T.M Layout, Lake Shore Road, Bengaluru, 560076, KA",+91-80-40698200,",jacob@exasense.in,",
Electrohms Pvt Ltd,Companies(Private),Vasa,"No. 67/6-1, Ullas Theatre Road, Industrial Suburb Yeswanthpur, Bangalore 560022, KA",+91-80-43492200,",sales@electrohms.com,gkrishnan@electrohms.com,",
DiagnoSYS Electronics India Pvt Ltd,Companies(Private),Vasa,"118, 1, Gayathri Lake Front, Outer Ring Road, Bangalore 560024, KA",+91-80-43475222,",roc.chennai@mca.gov.in,Emailinfo@diagnosys.com,",
