Name,Sector,City,Address,Phone,Email,Lat-Long
Emes Textiles Pvt Ltd,Companies(Private),Vijayawada,"15, Krishnam Palayam Road, Erode 638003, TN","+91-424-2211823, +91-9842759900",",emestext@gmail.com,evoting@nsdl.co,pratyusha.p@intense.in,evoting@nsdl.co.in,",
M. K. Industries,Companies(Private),Vijayawada,"Plot No 15, Survey No 221, Village Lakhabaval, Naghedi Industrial Estate, Khodiyar Colony, Jamnagar 361006, GJ",+91-288-2672056,",x3enationalglass2001@gmail.com,colour_mk@yahoo.com,cabharat.maram@gmail.com,info@mki.in,nationalglass2001@gmail.com,mknaidu1963@gmail.com,",
QFL Healthcare Pvt Ltd,Companies(Private),Vijayawada,"G-55, Shakarpur, New Delhi 110092, DL",,",canirajkarn@gmail.com,dircfslkol@gmail.com,bendichealthcare@gmail.com,",
International Flavours & Fragrances India Ltd,Companies(Private),Vijayawada,"2nd Floor, 77?A, Global Vantage, Sector 18, Gurgaon 122001, HR",+91-124-4408300,,
RLC Pvt Ltd,Companies(Private),Vijayawada,"337, 1st Floor, Choudhary Satbir Complex, MG Road, Sultanpur, New Delhi 110030, DL",+91-11-66489100,",specialofficerapsche@gmail.com,vccn.pvt.ltd@gmail.com,","16.5215114,80.4659463"
Ankit Gems Pvt Ltd,Companies(Private),Vijayawada,"DW-6251, Bharat Diamond Bourse, Bandra Kurla Complex, Bandra East, Mumbai 400051, MH",-43548731,",hk@ankitgems.com,tax@ankitgems.com,x3einfo@ankitgems.com,info@ankitgems.com,suratdept@ankitgems.com,marketing@ankitgems.com,",
Wood & Panel,Companies(Private),Vijayawada,"S-303/11/1, Ideal Plaza, Sarat Bose Road, Kolkata 700020, WB",-30583292,,
Krishak Jagat,Companies(Private),Vijayawada,"14/37, Indira Press Complex, M P Nagar, Zone I, Bhopal 460011, MP","+91-755-3013605, +91-755-2768452",",jotwani.shivgangaindustries@gmail.com,info@krishakjagat.org,",
Indus Valley Chemical Company,Companies(Private),Vijayawada,"A-101, Bhawani Towers, Opposite IIT, Powai, Mumbai 400076, MH",-9821518473,"rcshekar@hotmail.com,rcshekar@hotmail.com,balar2000@gmail.com,",
Viswanathans HR Consultancy and Manpower Recruitment Services,Companies(Private),Vijayawada,"1-A, 5, 2nd Floor, SS Colony, Ponmeni Periyavar Street, SV Nagar, Madurai 625016, TN",+91-452-4522689,,
Sriyah Insurance Brokers Pvt Ltd,Companies(Private),Vijayawada,"7, Baby Residency Complex, Anna Salai, Vellore 632001, PB",+91-416-4500274,"compliance@blsinternational.net,u003ecompliance@blsinternational.net,wecare@starfinindia.co.in,",
IKM Investor Pvt Ltd,Companies(Private),Vijayawada,"149-152, 1st Floor, Edmonton Mall, The Bristol Hotel, MG Road, Phase 1, Gurgaon 122002, HR","+91-124-3014811, +91-124-3014812, +91-124-3011996","rahulmalik@ikminvestor.com,ikmdmat@yahoo.com,pramodjain@ikminvestor.com,igr@ikminvestor.com,",
