Name,Sector,City,Address,Phone,Email,Lat-Long
Country Club Fitness FTX - Vijayawada,Gym,Vijayawada,,,",ca.lawrance@gmail.com,rmcindia@countryclubmail.com,chintan.daxxxxx@gmail.com,",
VLCC - Benz Circle - Vijayawada,Gym,Vijayawada,"KP Towers, Above Khazana Jewellers, MG Road, Benz Circle, Vijayawada 520010, AP","+91-866-2493615, +91-866-2493616",",vijaywada@vlccwellness.com,",
Vertex Health & Fitness - Eluru Road - Vijayawada,Gym,Vijayawada,"DRR Complex, Opposite BSNL Office, Chuttugunta, Eluru Road, Vijayawada 520003, AP","+91-7799932555, +91-866-6613377, +91-866-6612277",,
Talwalkars Gym - Benz Circle - Vijayawada,Gym,Vijayawada,"2nd Floor, Matha Towers, Near Benz Circle, Vijayawada 520008, AP",+91-866-2497812,,
Sri Vamsis Power Gym - Labbipet - Vijayawada,Gym,Vijayawada,"39, 8, 30, Padaiah Street, Labbipet, Vijayawada 520010, AP","+91-9949942546, +91-9848448143, +91-866-2486339",",labbipet.vijayawada@goldsgym.in,",
SP Gym & Yoga Center - Kanuru - Vijayawada,Gym,Vijayawada,"6, 17, Kamaiah Thopu, Kanuru Road, Vijayawada 520001, AP",+91-9849331517,,
Slim Gym - Siddhartha Nagar - Vijayawada,Gym,Vijayawada,"Tikkle Road, Siddhartha Nagar, Vijayawada 520010, AP",+91-9849982506,,
Rotary Club - Gandhi Nagar - Vijayawada,Gym,Vijayawada,"Near Canara Bank, Andhra Gymkhana Road, Gandhi Nagar, Vijayawada 520010, AP",+91-866-2577045,",ca.lawrance@gmail.com,info@rotaryvjaeast.org,niravshah1969@yahoo.com,",
Himayala Yoga Center - Benz Circle - Vijayawada,Gym,Vijayawada,"Convent Street, Benz Circle, Vijayawada 520001, AP",+91-9441119909,",info@yogagoaindia.com,",
Colours Slimming & Beauty - Eluru Road - Vijayawada,Gym,Vijayawada,"Beside Yalamanchali Complex, Eluru Road, Benz Circle, Vijayawada 520003, AP","+91-9246543333, +91-9052143333",,
Ayursukha Yogalaya - MG Road - Vijayawada,Gym,Vijayawada,"40, 1, 34, Near Hotel Fortune Murali Park, MG Road, Sri Vani Nilayam, Vijayawada 520010, AP","+91-866-6454163, +91-866-2494636","tj@78.html,ca.lawrance@gmail.com,labbipet.vijayawada@goldsgym.in,,",
Feather Touch - Vijayawada,Gym,Vijayawada,"Annapurna Apartments, Opposite Loyola Auditorium, P&T Colony, Vijayawada 520008, AP",+91-866-2541113,",slv.bvrm@gmail.com,labbipet.vijayawada@goldsgym.in,info@feathertouchs.com,",
Devi Beauty Parlour - Vijayawada,Gym,Vijayawada,,,",Bodycourt@Gmail.Com,",
Cindrella Beauty Clinic - Vijayawada,Gym,Vijayawada,"Paidiah Street, Labbipet, Vijayawada 520010, AP",+91-866-2475756,,
