Name,Sector,City,Address,Phone,Email,Lat-Long
Abhijeet Plastics India Pvt Ltd,Companies(Private),Visakhapatnam,"38-C, Government Industrial Estate, Ganesh Nagar, Charkop, Kandivali West, Mumbai 400067, MH",+91-22-28609886,",Srinivas.Maddipatla@ncr.com,info@himalayanshipping.com,contact@abhijeetplastics.co.in,jyoti@abhijeetplastics.co.in,",
Easy Photovoltech Pvt Ltd,Companies(Private),Visakhapatnam,"406, Vikasdeep Building, Lakshmi Nagar, New Delhi 110092, DL",+91-11-47350456,",satyabratap@exide.co.in,accounts@easyphotovoltech.com,satyabratap@caldyneautomatics.com,",
Technopharm Pvt Ltd,Companies(Private),Visakhapatnam,"E-16, Panki Industrial Area, Site 1, Kanpur 208022, UP",,",technopharmindia@gmail.com,",
Rakshit Drugs Pvt Ltd,Companies(Private),Visakhapatnam,"Rakshit House, Sanjeeva Reddy Nagar, Hyderabad 500038, TS",,"x3esrinivas@rakshitdrugspvtltd.com,,srinivas@rakshitdrugspvtltd.com,",
Eisen Pharmaceutical Co Pvt Ltd,Companies(Private),Visakhapatnam,"34/7, Opposite IDBI Bank, Gulwani Maharaj Road, Erandwana, Pune 411004, MH",,",info@pharmexcil.com,account@eisenpharma.com,info@eisenpharma.com,hr@eisenpharma.com,",
Active Healthcare,Companies(Private),Visakhapatnam,"Acid Mill Compound, Ranmukteshwar Road, Pratap Nagar, Vadodara 390004, GJ",,"aslgkumar@gmail.com,,x22capsoftgm@gmail.com,x3etarunkharbanda2008@rediffmail.com,x3ecapsoftgm@gmail.com,x22ervahealthcare@gmail.com,x3eyatinpokle@rediffmail.com,x3eervahealthcare@gmail.com,tkkprasad@gmail.com,",
Srikrishna Milks Pvt Ltd,Companies(Private),Visakhapatnam,"38, 2nd Floor, Eureka Junction, T. B. Road, Hubli 580029, KA",+91-836-2356995,",amarmanojk@rediffmail.com,compliance@srikrishnamilk.com,",
Sangha Farms (The Sangha Group),Companies(Private),Visakhapatnam,"Quadian Wali, Jamsher Khas, Jalandhar 144020, PB","+91-181-2799901, +91-181-3257097",,
Neni Memi Foods Pvt Ltd,Companies(Private),Visakhapatnam,"G. Surgiwear Limited Compound, Near Hathoda Crossing, Shahjahanpur 242001, UP",+91-5842-308077,",nenimemi@yahoo.co.in,",
Moksh Agarbatti Company,Companies(Private),Visakhapatnam,"39, J. C. Industrial Estate, Yelachenahalli, Kanakapura Road, Bangalore 560062, KA",+91-80-26660668,",customercare@mokshagarbatti.in,",
Kamani Oil Industries Pvt Ltd,Companies(Private),Visakhapatnam,"Chandivali Estate, Saki Vihar Road, Mumbai 400072, MH",+91-22-39970100,",santosh@prasunhomes.com,x3eh.patel@beico.in,",
Coca Cola India Pvt Ltd,Companies(Private),Visakhapatnam,"16th Floor, 1 Horizon Center, Golf Course Road, DLF Phase 5, Sector 43, Gurgaon 122106, HR",+91-124-4785000,",hccb-india@coca-cola.in,indiahelpline@coca-cola.com,x3ehccb-india@coca-cola.in,asktheboard@coca-cola.com,x3easktheboard@coca-cola.com,","17.7389662,82.8794121"
IED Communications Ltd,Companies(Private),Visakhapatnam,"64, Empire Building, D N Road, Fort, Mumbai 400001, MH",+91-22-22079567,,"17.7375706,82.6030452"
Technology Informatics Design Endeavour (Tide),Companies(Private),Visakhapatnam,"19, 9th Cross, 6th Main Malleswaram, Bangalore 560003, KA","+91-80-23462032, +91-80-23315656",",ksumathykrishnan@gmail.com,slmodem@gmail.com,","13.0141999,77.5635611"
Zen Shipping & Ports India Pvt Ltd,Companies(Private),Visakhapatnam,"002/215, Atrium, B-wing, Andheri Kurla Road, Andheri East, Mumbai 400059, MH",-61545890,,
Vora Packaging Pvt Ltd,Companies(Private),Visakhapatnam,"467/A, Vora Bhuvan, King?s Circle, Mumbai 400019, MH","+91-22-24012330, +91-22-24012440",",pankaj@vorapack.com,chaitaly@ekfpl.com,",
Sree Ambal Marketing Company,Companies(Private),Visakhapatnam,"Selman Chambers, A L Jacob Road, Kochi 682035, KL","+91-484-2382211, +91-484-4030212",",pims.pune@gmail.co,",
Hassia Packaging Pvt Ltd,Companies(Private),Visakhapatnam,"768/3, Sanaswadi, Shirur 412207, MH",-304846,",sunil_adhiya@vsnl.net,sicily.lukose@hassiaindia.in,",
Sakar Glazed Tiles Pvt Ltd,Companies(Private),Visakhapatnam,"401, 4th Floor, Shefali Centre, Paldi, Ahmedabad 380006, GJ",-26575834,",export@sakarmarbo.com,info@sakarmarbo.com,",
Cameo Corporate Services Ltd,Companies(Private),Visakhapatnam,"1, Subramanian Building, Club House Road, Chennai 600002, TN","+91-44-28460390, +91-44-28460391","manoj@clairvolex.com,",
Snowcem Paints Pvt Ltd,Companies(Private),Visakhapatnam,"7th Floor, Pranik Chambers, Sakinaka Junction, Andher East, Mumbai 400072, MH","+91-22-28471029, +91-22-28471028","kailaasam@valliappa.com,sonasynthetics@gmail.com,info@sonachromes.com,kailaasam@valliappa.com,",
Protech Engineering,Companies(Private),Visakhapatnam,"123-B, Mittal Tower, Nariman Point, Mumbai 400021, MH",-22825170,"techservices-india@qiagen.com,techservices-india@qiagen.com,info@qualikems.com,career@qualikems.com,info@qualikems.com,",
Alvin Caramel Colours India Pvt Ltd,Companies(Private),Visakhapatnam,"W-9, MIDC Area, Ahemadnagar 414111, MH","+91-241-2777914, +91-9822846705","dalbirsingh@alokindustries.com,enquiry@crestresins.com,dalbirsingh@alokindustries.com,rm@amchemproducts.com,enquiry@crestresins.com,",
IFO Forensic Standards and Research Pvt Ltd,Companies(Private),Visakhapatnam,"88-D, Sarai Jullena, Opposite Escorts Heart Institute, Nfc, New Delhi 110025, DL",+91-11-26320016,"neha@impelventures.co,care@impeloverseas.com,u003ecare@impeloverseas.com,",
Stellar Capital Services Ltd,Companies(Private),Visakhapatnam,"A1 & A2, Road 43, Mangolpuri Industrial Area, Community Center, Pitampura, Phase 2, New Delhi 110034, DL","+91-11-42804171, +91-9582801012","summitsec@gmail.com,x3eparekhkr@kecrpg.com,investors@summitsecurities.net,parekhkr@kecrpg.com,",
Gaja Capital Partners,Companies(Private),Visakhapatnam,"1, India Bulls Centre, 1402, Tower 2B, Senapati Bapat Marg, Lower Parel, Mumbai 400013, MH","+91-22-24212280, +91-22-24903047","last@gajacapital.com,",
