Name,Sector,City,Address,Phone,Email,Lat-Long
Country Club Fitness - Varun Beach - Visakhapatnam,Gym,Visakhapatnam,,,",chintan.daxxxxx@gmail.com,",
Wellness Zone - Visakhapatnam,Gym,Visakhapatnam,"Visakhapatnam 530009, AP","+91-9701698835, +91-9493857058",",info.visakhapatnam@radisson.com,john.mamidi69@gmail.com,wellness-zone-visakhapatnam-t8iec@ffo.html,",
VLCC Heath Care - Siripuram - Visakhapatnam,Gym,Visakhapatnam,"10-19-1, CBM Compond, Sampath Vinayaka Temple Road, Siripuram, Visakhapatnam 530003, AP","+91-891-2588178, +91-9030890113",",x3eregd.office@vlccwellness.com,regd.office@vlccwellness.com,vishakapatnam@vlccwellness.com,contact@vlccwellness.com,",
VLCC Heath Care - Visakhapatnam,Gym,Visakhapatnam,,,",vishakapatnam.gwk@vlccwellness.com,vishakapatnam@vlccwellness.com,",
Vayuputra Health Club - Asilmetta - Visakhapatnam,Gym,Visakhapatnam,"9-1-233, Dar Reddy Plaza, Asilmetta, Visakhapatnam 530003, AP","+91-891-2595561, +91-9246623715",,
Ravi Teja Cardio Gym - Gajuwaka - Visakhapatnam,Gym,Visakhapatnam,"Apparao Complex, Gajuwaka, Visakhapatnam 530026, AP",+91-9959785836,,
Power Zym - Sujatha Nagar - Visakhapatnam,Gym,Visakhapatnam,"DSN Raju Complex, BRTS Road, Sujatha Nagar, Visakhapatnam 530051, AP",+91-9030855632,,
Healthy Home Gym - Seethammadhara - Visakhapatnam,Gym,Visakhapatnam,"Seethammadhara, Visakhapatnam 530013, AP",+91-9849898970,,
Fitness Zone Zym - Santhipuram - Visakhapatnam,Gym,Visakhapatnam,"50-92-35/6, Shankramatam Road, Santhipuram, Visakhapatnam 530016, AP","+91-9985999644, +91-9885639860",,
Beauty Square - Daba Gardens - Visakhapatnam,Gym,Visakhapatnam,"30-9-19, 1st Floor, Sarada Street, Daba Gardens, Visakhapatnam 530020, AP","+91-891-2767667, +91-9440334767",,
Apollo Life Studio - Siripuram - Visakhapatnam,Gym,Visakhapatnam,"3-7/1, 4, Block 43, Siripuram, Visakhapatnam 530003, AP","+91-891-2553000, +91-891-2553001","alsinfo@apollolife.com,,apollo-life-studio-visakhapatnam-xuf3t3f@b.html,",
