,Name,Sector,City,Address,Phone,Email,Lat-Long
1,IIT Bombay - Indian Institute of Technology,College,Mumbai,,,,
2,"Institute of Chemical Technology, Mumbai",College,Mumbai,,,,
3,UNIPUNE - Savitribai Phule Pune University (SPPU),College,Pune,,,,
4,Jayawantrao Sawant College of Pharmacy and Research,College,4.6,,,,
5,"Prin. L. N. Welingkar Institute of Management Development and Research, Mumbai",College,Mumbai,,,,
6,"College of Engineering, Pune",College,Pune,,,,
7,MIT-WPU,College,Matunga East,,,,
8,"NMIMS, Mumbai",College,Mumbai,,,,
9,FLAME University,College,,,,,
10,JSPM University,College,4.5,,,,
11,University of Mumbai [MU],College,Mumbai,,,,
12,"Symbiosis Institute of Business Management, Symbiosis International, Pune",College,Pune,,,,
13,"NMIMS School of Business Management, Mumbai",College,Mumbai,,,,
14,JSPM’s Bhivarabai Sawant Institute of Technology and Research,College,Govt,,,,
15,"IIMT Studies- International Institute of Management and Technical Studies, Pune",College,Pune,,,,
16,Indian Institute of Management Mumbai,College,Mumbai,,,,
17,"S.P. Jain Institute of Management and Research, Mumbai",College,Mumbai,,,,
18,"Dr. D.Y. Patil Vidyapeeth, Pune",College,Pune,,,,
19,"IIMT Studies- International Institute of Management and Technical Studies, Thane",College,– / –,,,,
20,JSPM’s Bhivrabai Sawant Polytechnic,College,Matunga West,,,,
21,"TISS - Tata Institute of Social Sciences, Mumbai",College,Mumbai,,,,
22,K J Somaiya Institute of Management,College,  (1420),,,,
23,Veermata Jijabai Technological Institute - VJTI Mumbai,College,Mumbai,,,,
24,"IIMT Studies- International Institute of Management and Technical Studies, Mumbai",College,Mumbai,,,,
25,"INIFD Vashi - International Institute of Fashion Design, Vashi",College,Bangalore  (2099),,,,
26,"Prin. L. N. Welingkar Institute of Management Development and Research, Mumbai",College,Mumbai,,,,
27,"Pune Institute of Computer Technology, Society for Computer Technology and Research",College,Pune,,,,
28,"Symbiosis Institute of Technology, Symbiosis International, Pune",College,Pune,,,,
29,"Wingsss Aviation and Hospitality, Pune",College,Pune,,,,
30,JSPM - TSSM's Padmabhooshan Vasantdada Patil Institute of Technology,College,  (1113),,,,
31,K J Somaiya Institute of  Technology,College,Kolkata  (852),,,,
32,National Institute of Bank Management,College,  (852),,,,
33,Army Institute of Technology,College,Chennai  (843),,,,
34,MIT-WPU,College,  (843),,,,
35,"UEI Global, Pune",College,Pune,,,,
36,Sardar Patel Institute of Technology,College,Andheri West,,,,
37,"Dr. D.Y. Patil Institute of Engineering Management and Research, Akurdi",College,Pvt,,,,
38,IIIT Pune - Indian Institute of Information Technology,College,Pune,,,,
39,"Kirloskar Institute of Management, Pune",College,Pune,,,,
40,MIT-WPU,College, +4 ,,,,
41,Vivekanand Education Society’s Institute of Technology,College,Akurdi,,,,
42,Dr. D. Y. Patil Institute Of Technology,College,Akurdi,,,,
43,Pune Institute of Business Management,College,Pune,,,,
44,IIEBM - Indus Business School,College,,,,,
45,"IIMT Studies- International Institute of Management and Technical Studies, Thane",College,4.0,,,,
46,Vishwakarma Institute of Technology,College,Kondhwa,,,,
47,"Symbiosis Law School, Symbiosis International, Pune",College,Pune,,,,
48,C.U. Shah College of Pharmacy,College,PPP,,,,
49,"IIMT Studies- International Institute of Management and Technical Studies, Mumbai",College,Mumbai,,,,
50,JSPM - TSSM's Bhivarabai Sawant College of Engineering and Research,College,4.0,,,,
51,Sinhgad College of Engineering,College, +3 ,,,,
52,"MIT Academy of Engineering, MAEER",College,Talegaon Dabhade,,,,
53,"D.Y. Patil College of Engineering, Akurdi",College,"KIM is ranked ""A++"" consistently by Business India.",,,,
54,Oasis College of Science and Management,College,Kothrud,,,,
55,"Western Business School, Pune",College,Pune,,,,
56,"Cummins College of Engineering for Women, Pune",College,Pune,,,,
57,National Insurance Academy- NIA,College,Delhi/NCR  (3185),,,,
58,"Institute of Management and Entrepreneurship Development, Bharati Vidyapeeth",College,  (3185),,,,
59,"INIFD Vashi - International Institute of Fashion Design, Vashi",College,Bangalore  (2099),,,,
60,"MIT Institute of Design, MIT-ADT University",College,  (2099),,,,
61,"Don Bosco Institute of Technology, Mumbai",College,Mumbai,,,,
62,VIT - Vidyalankar Institute of Technology,College,  (1784),,,,
63,PVG's College of Engineering and Technology and G.K. Pate (Wani) Institute of Management,College,Hyderabad  (1113),,,,
64,Jayawant Institute of Management Studies,College,  (1113),,,,
65,Raffles Design International,College,Kolkata  (852),,,,
66,St. Francis Institute of Technology,College,  (852),,,,
67,"Rajiv Gandhi Institute of Technology, Mumbai",College,Mumbai,,,,
68,SIES Graduate School of Technology,College,  (843),,,,
69,JSPM’s Narhe Technical Campus,College,Maharashtra  (8647),,,,
70,"UEI Global, Pune",College,Pune,,,,
71,G H Raisoni College of Engineering and Management,College,Wagholi,,,,
72,Jayawantrao Sawant College of Engineering,College,Pvt,,,,
73,Sardar Patel College of Engineering,College,,,,,
74,Oasis College of Science and Management,College,3.7,,,,
75,JSPM - TSSM's Bhivarabai Sawant College of Engineering and Research,College, +2 ,,,,
76,Progressive Education Society's Modern College of Engineering,College,Hadapsar,,,,
77,Pillai College of Engineering,College,Hadapsar,,,,
78,JSPM’s Narhe Technical Campus,College,Pvt,,,,
79,Jayawantrao Sawant College of Engineering,College,,,,,
80,JSPM's Jayawantrao Sawant College of Commerce and Science,College,4.3,,,,
81,Vidyavardhini's College of Engineering and Technology,College, +9 ,,,,
82,"Rizvi College of Engineering, Mumbai",College,Mumbai,,,,
83,"Bharati Vidyapeeth College of Engineering, Lavale",College,Andheri West,,,,
84,JSPM’s Bhivarabai Sawant Institute of Technology and Research,College,Govt,,,,
85,JSPM’s Narhe Technical Campus,College,,,,,
86,Ajeenkya DY Patil School of Engineering,College,4.1,,,,
87,Modern Education Society's College of Engineering,College, +3 ,,,,
88,M.H. Saboo Siddik College of Engineering,College,Bibwewadi,,,,
89,"Ecole Intuit Lab, Mumbai",College,Mumbai,,,,
90,Indian Institute for Aeronautical Engineering and Information Technology,College,Narhe,,,,
91,Pimpri Chinchwad College of Engineering,College,Pune  (1420),,,,
92,Marathwada Mitra Mandal's College of Engineering,College,  (1420),,,,
93,Lokmanya Tilak College of Engineering,College,Delhi/NCR  (3185),,,,
94,Vivekanand Business School (VBS),College,  (3185),,,,
95,"Balaji Institute of Technology and Management, Sri Balaji University",College,Bangalore  (2099),,,,
96,"Indira College of Engineering and Management, Indira Group of Institutes",College,  (2099),,,,
97,JSPM - TSSM's Bhivarabai Sawant College of Engineering and Research,College,Mumbai (All)  (1784),,,,
98,K J Somaiya College of Engineering,College,  (1784),,,,
99,National Institute of Bank Management,College,Hyderabad  (1113),,,,
100,Lexicon Institute of Hotel Management,College,  (1113),,,,
101,JSPM’s Bhivarabai Sawant Institute of Technology and Research,College,Kolkata  (852),,,,
102,Dhole Patil College of Engineering,College,  (852),,,,
103,"G H Raisoni Institute of Engineering and Technology, Pune",College,Pune,,,,
104,Lexicon Institute of Media and Animation,College,  (843),,,,
105,"INIFD Vashi - International Institute of Fashion Design, Vashi",College,Maharashtra  (8647),,,,
106,Bharati Vidyapeeth's College of Engineering for Women,College,Dhankawadi,,,,
107,K.C.College of Engineering and Management Studies and Research,College,Pvt,,,,
108,SAE - Sinhgad Academy of Engineering,College,,,,,
109,"Indira Institute of Aircraft Engineering, Pune",College,Pune,,,,
110,Sasmira's Institute of Management Studies and Research,College, +3 ,,,,
111,Padmabhushan Vasantdada Patil Pratishthan College of Engineering,College,thane,,,,
112,SITS - Sinhgad Institute of Technology and Science,College,thane,,,,
113,"Shailesh J. Mehta School of Management, IIT Bombay",College,Mumbai,,,,
114,"Times and Trends Academy, Deccan",College,,,,,
115,Institute of Taxation and Accounting Professionals (ITAP),College,3.2,,,,
116,"Rajarshi Shahu College of Engineering, Pune",College,Pune,,,,
117,Dr. D.Y. Patil Institute Of Technology,College,3.0,,,,
118,NBN Sinhgad School of Engineering,College,3.0,,,,
119,"Symbiosis Centre for Management & Human Resource Development, Symbiosis International, Pune",College,Pune,,,,
120,"Faculty of Liberal Arts, MIT WPU",College,Kondhwa Budruk,,,,
121,Zeal College of Engineering and Research,College,Pvt,,,,
122,Dr. D.Y. Patil School Of Engineering,College,,,,,
123,Thadomal Shahani Engineering College,College,3.7,,,,
124,Jayawantrao Sawant College of Education,College, +3 ,,,,
125,Sewa Community College,College,Pune,,,,
126,Pune District Education Association's College of Engineering,College,Pune,,,,
127,RMD Sinhgad School of  Engineering,College,Pune  (1420),,,,
128,SIMSREE - Sydenham Institute of Management Studies Research and Entrepreneurship Education,College,  (1420),,,,
129,"Amity University, Mumbai",College,Mumbai,,,,
130,NIBE: The International Business college,College,  (3185),,,,
131,"Symbiosis Institute of International Business, Symbiosis International, Pune",College,Pune,,,,
132,Marathwada Mitramandal's Institute of Technology,College,  (2099),,,,
133,P.K. Technical Campus,College,Mumbai (All)  (1784),,,,
134,"Balaji College of Arts, Commerce and Science",College,  (1784),,,,
135,JSPM’s Imperial Adyapak Vidyalay,College,Hyderabad  (1113),,,,
136,Dwarkadas J. Sanghvi College of Engineering,College,  (1113),,,,
137,Jamnalal Bajaj Institute of Management Studies,College,Kolkata  (852),,,,
138,"College of Engineering, Shivnagar Vidya Prasarak Mandal's",College,  (852),,,,
139,Lexicon Institute of Hotel Management,College,Chennai  (843),,,,
140,JSPM - TSSM's Bhivarabai Sawant College of Engineering and Research,College,  (843),,,,
141,Thakur College of Engineering and Technology,College,Kandivali East,,,,
142,"College of Engineering, Bharati Vidyapeeth",College,Pvt,,,,
143,KJ College of Engineering & Management Research,College,,,,,
144,NIBE: The International Business college,College,4.2,,,,
145,Rajarshi Shahu College of Pharmacy and Research,College, +5 ,,,,
146,Anantrao Pawar College of Engineering and Research,College,Pune Satara Road,,,,
147,S. B. Patil College of Engineering,College,Pune Satara Road,,,,
148,Prerana Pratishthan's Universal College of Engineering and Research,College,Pvt,,,,
149,Indian Institute for Aeronautical Engineering and Information Technology,College,,,,,
150,Rajarshi Shahu College of Education,College,3.8,,,,
151,Jaihind College of Engineering,College, +4 ,,,,
152,"ICFAI Business School, Mumbai",College,Mumbai,,,,
153,All India Shri Shivaji Memorial Society's College of Engineering,College,Kondhwa,,,,
154,"MIT SOM College, MIT WPU",College,Pvt,,,,
155,"INIFD Vashi - International Institute of Fashion Design, Vashi",College,,,,,
156,"Balaji Institute of Management and Human Resource Development, Sri Balaji University",College,4.2,,,,
157,Vaikunth Mehta National Institute of Cooperative Management,College, +3 ,,,,
158,Rajgad Dnyanpeeth's Shri Chhatrapati Shivajiraje College of Engineering,College,3.8,,,,
159,"ISB&M - International School of Business and Media, Pune",College,Pune,,,,
160,JSPM - TSSM's Padmabhooshan Vasantdada Patil Institute of Technology,College,Sadashiv Peth,,,,
161,"Balaji Institute of Technology and Management, Sri Balaji University",College,Tathawade,,,,
162,Vishwakarma Institute of Information Technology,College,Pune  (1420),,,,
163,"Usha Mittal Institute of Technology ,Mumbai",College,Mumbai,,,,
164,"Wingsss Aviation and Hospitality, Pune",College,Pune,,,,
165,Jayawantrao Sawant College of Pharmacy and Research,College,  (3185),,,,
166,Shree Ramchandran College of Engineering,College,Bangalore  (2099),,,,
