,Name,Sector,City,Address,Phone,Email,Lat-Long
2,Dexterity TechSys,Companies(Private),,"575/4 & 5, Shankar Chatra Apartment, 4th Floor, Opposite Kesari Wada, Shaniwarpeth, Pune 411030, MH","+91-7350000921, +91-20-24499444",,
3,AEO Design Consultants,Companies(Private),,"Unit # 415, Bestech Chambers, B Block, Sushant Lok – 1, Gurgaon 122002,HR",,,
4,MobiTising,Companies(Private),,,,,
5,BYD Hospitality Pvt Ltd,Companies(Private),,,,,
6,"Smart Value Products And Services, Kolkata",Companies(Private),,"76, Incenarator Road, Dum Dum, Kolkata 700028, WB",+91-9874381973,,
7,Bada Business,Companies(Private),,"15, Okhla Phase 3, Okhla, New Delhi 110020, DL",+91-9810544443,,
8,Vestige Marketing Pvt Ltd,Companies(Private),,"94-A, 3, 1st Floor, Okhla Industrial Area, Phase-2, New Delhi 110020, DL","+91-11-43101234, +91-11-41708687",,
9,Digit Insurance,Companies(Private),,"95, Atlantis, 4th B Cross Road, Industrial Layout, 5th Block, Koramangala, Bengaluru 560095, KA",+1-800-258-5956,,
10,Stedman Pharmaceuticals Pvt Ltd,Companies(Private),,"3-A, Adyar Bridge Road, Adyar, Chennai 600020, TN",,,
11,HCL Technologies Ltd,Companies(Private),,"Plot No: 3A Technology Hub Sector 126 SEZ, Noida, 201303, UP",,,
12,Agricultural Development Trust,Companies(Private),,"Post Box No 35, Shardanagar, Malegaon Colony, Baramati 413115, MH",+91-2112-254256,,
13,Square Yards,Companies(Private),,,,,
14,Blue Cross Of India,Companies(Private),,,,,
15,Nav Nirman Formwork Systems Pvt Ltd,Companies(Private),,"6, Road No 7, IDA Nacharam, Hyderabad 500076, TS",+91-40-27150119,,
16,Sri Nachammai Cotton Mills Ltd,Companies(Private),,"30, Sugavaneswara Road, Balaji Nagar, Salem 636004, TN","+91-427-2330847, +91-427-2331879",,
17,Ethinos Digital Marketing,Companies(Private),,,,,
18,Dream To Fame,Companies(Private),,"56/10, Pushpanjali Apartments, Sector 10, Dwarka, New Delhi 110078, DL",+91-9810701669,,
19,Lotus Herbals Ltd,Companies(Private),,"2, Forest Lane, Near Ghitorni Metro Station, Sultanpur, New Delhi 110030, DL",+91-11-26541600,,
20,Indore Colour Organics Ltd,Companies(Private),,"61, Chemical House, Jawahar Marg, Indore 452004, MP","+91-731-2467847, +91-731-2361171",,
21,Kolath & Co,Companies(Private),,"41, 3951-A, ORS Road, Kacheripady, Kochi 682018, KL","+91-484-2397447, +91-9846036863",,
22,Bagalkot Cement & Industries Ltd (BCIL-Kanoria Group),Companies(Private),,"1st Floor, Bagalkot Cement & Industries Limited, Bagalkot 578111, KA",+91-8354-220252,,
23,Technomine HR & Consulting,Companies(Private),,,,,
24,Bajaj Holographics India Pvt Ltd ( Bajaj ),Companies(Private),,"150, Sector-6, Manesar, Gurgaon 122050, HR",+91-124-4367148,,
25,Makson Machinery Pvt Ltd,Companies(Private),,"3, Kumbharpara, Surendranagar 363002, GJ",+91-2752-221940,,
26,WATConsult,Companies(Private),,"1076, Parijat House, 5th Floor, Manjrekar Lane, Off Dr. E Moses Road, Worli, Mumbai 400018, MH",+91-22-67099200,,
27,Upkar Prakashan & Pratiyogita Darpan,Companies(Private),,"2/11-A, Pratiyogita Darpan, Swadeshi Bima Nagar, Agra 282002, UP","+91-562-4053333, +91-562-2530966",,
28,Gayetri Group,Companies(Private),,"2, 6-E, NICCO House, Hare Street, Kolkata 700001, WB",+91-33-22489766,,
29,Lavino Kapur Cotton Pvt Ltd,Companies(Private),,"121/122, Mittal Chamber, Nariman Point, Mumbai 400021, MH","+91-22-66325141, +91-22-25143437",,
30,Net Gully,Companies(Private),,"386/1-A, Jodhpur Park, Kolkata 700068, WB",+91-9836397132,,
31,Sutraa Creations Pvt Ltd,Companies(Private),,"C-21, 2nd Floor, Sector 2, Noida 201301, UP","+91-120-4226258, +91-120-4222863",,
32,EM Shivamani Engineering Pvt Ltd,Companies(Private),,"47-C, Bommasandra Industrial Area, Bengaluru 560099, KA",+91-9845002205,,
33,Jay Industries,Companies(Private),,"48/1, Rocky Industrial Estate, I B Patel Road, Goregaon East, Mumbai 400063, MH",+91-22-26853246,,
34,Deloitte Touche Tohmatsu India Pvt Ltd,Companies(Private),,"India Bulls, Finance Centre, Tower 3, 27th? 32nd Floor, Senapati Bapat Marg, Elphinstone Road West, Mumbai 400013, MH","+91-22-61854000, +91-22-61854400",,
35,Tata Consultancy Services Ltd,Companies(Private),,"Banyan Park, Suren Rd, Gundavali, Andheri East, Mumbai, 400093, MH",+91-2267793838,,
36,Green Mobiles,Companies(Private),,"369, 13th Cross, 30th Main, 2nd Stage, Banashankari, Bangalore 560070, KA",+91-9900205511,,
37,NICE,Companies(Private),,,,,
38,Sreeleathers,Companies(Private),,,,,
39,"Kohinoor Handicrafts, Moradabad",Companies(Private),,"45, Thatera Street, Moradabad 244001, UP",+91-591-9719012,,
40,Persistent Systems Ltd,Companies(Private),,,,,
41,Rapid Care Transcriptions Pvt Ltd,Companies(Private),,"2, 21, 41, VLV Complex, Mount Road, Little Mount, Saidapet, Chennai 600015, TN",,,
46,Azico Pharmaceuticals Pvt Ltd,Companies(Private),,"425, Door No 7-1-621/328, Sanjeeva Reddy Nagar, Hyderabad 500038, TS",,,
47,Sabs Exports,Companies(Private),,"C-103, Sector 63, Noida 201301, UP",+91-120-4029999,,
48,Metro Electronics,Companies(Private),,"25, 109, Sector 24, Shrinagar Society, Gandhinagar 382024, GJ",+91-79-23288929,,
49,Bharat Gas,Companies(Private),,,,,
50,Alacriti Infosystems Pvt Ltd,Companies(Private),,"80, 84, 8, Melange Tower, Madhapur White Fields, Kondapur, Hyderabad 500032, TS",+91-40-42617000,,
51,Shadowfax Technologies Pvt Ltd,Companies(Private),,"M-47, Old DLF Colony, Sector 14, Gurgaon 122001, HR",+91-22-69403666,,
52,Chemline India Ltd,Companies(Private),,"F-1, Sarda Chamber 1, Central Market Prashant Vihar, Rohini, New Delhi 110085, DL",+91-11-27555999,,
53,Success Manpower Services,Companies(Private),,"13-F, Suchita Business Park, Near Station Road, Ghatkoper, Mumbai 400077, MH",+91-9768181111,,
54,Rak Ceramics India Pvt Ltd,Companies(Private),,"325, 1st & 3rd Floor, Dheeraj Heritage, SV Road, Santacruz West, Mumbai 400054, MH",+91-22-26605913,,
55,Swift Global Shipping & Logistics,Companies(Private),,"135/101, Madhav Apartment, Sector 50, New Nerul, Navi Mumbai 400706, MH","+91-22-27563312, +91-22-27563313",,
56,Gateway Techno Solutions,Companies(Private),,,,,
57,Hempel Paints India Pvt Ltd,Companies(Private),,"801, 8th Floor, Vikas Center, C Gidwani Road, Chembur, Mumbai 400074, MH","+91-8046028972, +91-22-61392555",,
58,Tyche Industries Ltd,Companies(Private),,"C21/A, Road No 9, Film Nagar, Jubilee Hills, Hyderabad 500033, TS","+91-40-23541688, +91-40-23540733",,
59,Collegedunia Web Pvt Ltd,Companies(Private),,"A1/17, 1st Floor, Prashant Vihar, Sector 14, New Delhi 110085, DL",+91-11-45588657,,
60,GST Corporation Ltd,Companies(Private),,"B-13, Okhla Phase 2, Okhla Industrial Area, New Delhi 110020, DL",+91-11-48323232,,
61,Urban Ladder,Companies(Private),,"77, 4th Floor, Town Centre, Building, Off HAL Airport Road, West Wing, Yemalur, Bangalore 560037, KA",+91-80-67400200,,
62,Bandhan Bank Ltd,Companies(Private),,"DN 32, Sector 5, Salt Lake City, Kolkata 700091, WB","1800-258-8181, +91-33-66090909, +91-33-66333333",,
63,LinkIntime India Pvt Ltd,Companies(Private),,"C-13, Pannalal Silk, Mills Compound, LBS Marg, Bhandup West, Mumbai 400078, MH","1800-220-878, +91-22-25963838, +91-22-25960320",,
64,Bhayani Plastic India Pvt Ltd,Companies(Private),,"P-33, EOU, The Vyasarpadi Co-Oporetion Industrial Estate, EH Road, Chennai 600039, TN","+91-44-25511228, +91-44-25520447",,
65,Pi Overseas,Companies(Private),,,,,
66,Hindustan Hardy Spicer Ltd,Companies(Private),,"12-C, MIDC, Ambad Industrial Area, Nashik 422010, MH",+91-253-2382018,,
67,Jabbar Travels,Companies(Private),,"19/3, TSP Road, Kalasipalyam, Bangalore 560002, KA",+91-80-26700156,,
68,Jindal Worldwide Ltd,Companies(Private),,"Jindal House, Opposite D Mart, IOC Petrol Pump Lane, Shivranjani, Ahmedabad 380015, GJ",+91-79-71001500,,
69,Associated Advertising Pvt Ltd,Companies(Private),,"550/A-1, 92, Film Nagar, Jubilee Hills, Hyderabad 500034, TS","+91-40-23557235, +91-40-23551095",,
70,Aarti Industries Ltd,Companies(Private),,"2nd Floor, Udyog Kshetra, Mulund Goregaon Link Road, Mulund West, Mumbai 400080, MH",+91-22-67976666,,
71,General Imsubs Pvt Ltd,Companies(Private),,"3711-A, GIDC, Phase 4, Vatva, Ahmedabad 382445, GJ",+91-79-40085985,,
72,Silver Touch Technologies Ltd,Companies(Private),,"Saffron Tower, 2nd Floor, Near Panchwati Circle, Panchwati, Ahmedabad 380015, GJ",+91-79-40022774,,
73,Redbus.in (Ibibo),Companies(Private),,"314/1, 3rd Main, 7th Cross, Domlur Layout, Bangalore 560071, KA","+91-80-30916625, +91-80-30038301",,
74,uFaber Edutech Pvt Ltd,Companies(Private),,,,,
75,Girija Welfare Association,Companies(Private),,,,,
76,RTC Restaurants India Ltd,Companies(Private),,"703 & 705, Chiranjiv Tower 43, Nehru Place, New Delhi 110019, DL","+91-11-26447971, +91-11-26447972",,
77,UFlex Ltd,Companies(Private),,"A-108, Sector 4, Noida 201301, UP","+91-120-4012345, +91-120-3982121",,
78,Royal Migration Solutions,Companies(Private),,"312, Clover Bay Tower, Business Bay, Dubai, UAE 42700 Dubai, United Arab Emirates",+971-4436-5260,,
79,Aditi Technologies Pvt Ltd,Companies(Private),,,,,
80,GST Suvidha Kendra,Companies(Private),,,,,
81,Godrej & Boyce Manufacturing. Co. Ltd.,Companies(Private),,,,,
82,Peoples Prop Solution,Companies(Private),,,,,
83,Holiday Stationstores,Companies(Private),,,,,
84,Elegant Associates,Companies(Private),,"3, Perumpilly Building, Opposite Marajas College, Ground Stop, Ernakulam 682011, KL","+91-484-2350484, +91-484-3040318",,
85,Somatico Pharmacal Pvt Ltd,Companies(Private),,"C-469, MIDC, TTC Industrial Area, Pawane, Navi Mumbai 400705, MH",,,
90,Virupaksha Organics,Companies(Private),,"B-4, IDA Industrial Area, Hyderabad 500037, TS",+91-40-23075816,,
91,Mysore Sales International Ltd (MSIL),Companies(Private),,"36, MSIL House, Cunningham Road, Bangalore 560052, KA",+91-80-22264021,,
92,Orange Foodstuff Equipment Pvt Ltd,Companies(Private),,"29, Kukreja Plaza, Below Hotel K-Star, Sector 11, CBD Belapur, Navi Mumbai 400614, MH",+91-22-41233660,,
93,Wipro Ltd,Companies(Private),,"Kaverappa Industrail Area, Stage 2, BTM Layout 2nd Stage, Bengaluru, 560076, KA",,,
94,Estuate Software Pvt Ltd,Companies(Private),,,,,
95,Shyam Advisory Ltd,Companies(Private),,"Shyam House, Near Ambika Park Society, Hanuman Madhi Chowk, Limda Chowk, Raiya Road, Rajkot 360007, GJ",+91-281-6455555,,
96,GlobalHunt India Pvt Ltd,Companies(Private),,"45-E, 6, Okhla, Phase 2, New Delhi 110020, DL",+91-11-46547700,,
97,XOR Solutions,Companies(Private),,,,,
98,Centre For Science And Environment,Companies(Private),,"41, Tughlakabad Institutional Area, New Delhi 110062, DL","+91-11-40616000, +91-11-29955124",,
99,Kendriya Vidyalaya Sangathan,Companies(Private),,,,,
100,Herbalife International India Pvt Ltd,Companies(Private),,"14, Vaswani Wishire, Commissariat Road, Bengaluru 560025, KA",,,
101,Vanshik Clothing Pvt Ltd,Companies(Private),,"E-11/12, SV Road, Khira Nagar, Santacruz West, Mumbai 400054, MH",+91-22-26614632,,
102,SMC Global Securities Ltd,Companies(Private),,"11/6B, Shanti Chamber, 1st Floor, Main Pusa Road, New Delhi 110005, DL",+91-11-30111000,,
103,Tradebulls,Companies(Private),,,,,
104,National Minorities Development & Finance Corporation ( NMDFC ),Companies(Private),,"Core 1, 1st Floor, Scope Minar, Laxmi Nagar, New Delhi 110092, DL","+91-11-22441444, +91-11-22441442",,
105,Ocean Gateways,Companies(Private),,,,,
106,Yash Engineering Industries,Companies(Private),,"Opposite Bharat Gas Godown, GIDC, Antalia, Bilimora 396325, GJ",+91-9374961774,,
107,Capital Float,Companies(Private),,"222/14, 3rd Floor, 5th Main, Bellary Road, Sadashivnagar, Bangalore 560080, KA",+91-80-67683920,,
108,Comsys Advertising And Internet Marketing Pvt Ltd,Companies(Private),,"2nd Floor, T D Road, Kochi 682011, KL",+91-9895933339,,
109,Dewsoft Overseas Pvt Ltd,Companies(Private),,,,,
110,KaaShiv InfoTech,Companies(Private),,"16/1, Round Building, Near To Chennai Public School, Radial Colony, Anna Nagar, Chennai 600101, TN",+91-7667668009,,
111,Abhinav Immigration,Companies(Private),,"307/6, Devika Tower, 3rd Floor, Nehru Place, New Delhi 110019, DL",+91-8595338595,,
112,Mindteck India Ltd,Companies(Private),,,,,
113,Sony Entertainment Television,Companies(Private),,,,,
114,Fujitsu India Ltd,Companies(Private),,,,,
115,Agilyst Consulting Pvt Ltd,Companies(Private),,"1-B, Rajiv Gandhi Chandigarh Technology Park, Kishangarh, 160101, CH","+91-172-4686666, +91-172-6633600",,
116,Ashapura Forwarders Pvt Ltd (Ashapura),Companies(Private),,"705, CTS No 337/1, Sai Samartha, Deonar Village Road, Govandi East, Mumbai 400088, MH","+91-22-42292151, +91-22-42292157",,
117,Paranjape Schemes,Companies(Private),,"PSC House, Dr.Ketkar Road, Off Prabhat Road, Pune-411 004",+91-9672559666,,
118,IBGrid,Companies(Private),,"63, Prakruti Bungalows, Sterling City,Bopal, Ahmedabad, Gujarat",,,
119,Goloka IT,Companies(Private),,,,,
120,Telesense Digital,Companies(Private),,,,,
121,Vedikar Software,Companies(Private),,"3rd Floor, J-4-A Gali No.6 , Laxmi Nagar - 110092, New Delhi","+91-9334158076, +91-9110099122",,
122,VIP Home,Companies(Private),,"HB – 9, Babu Lalchand Chajlani Rd, Nalanda Parisar, Indore, Madhya Pradesh",+91-9406681963,,
123,Google Ads,Companies(Private),,,,,
124,Rob Tech World,Companies(Private),,"402 4th Floor Trishla Little Peer Muchalla, Zirakpur, Punjab","+91-7876715398, +91-1792528234",,
125,Negocio Technologies,Companies(Private),,,,,
126,Excellence Technology,Companies(Private),,,,,
127,Ampersand Group,Companies(Private),,,,,
128,J K Jain Buildtech India,Companies(Private),,"H. No. 24, Nabin Chandra Boro Path, Katabari, PO/PS Garchuk, Guwahati 781035,AS","+91-9312841756, +91-9311841756",,
129,Alita Infotech,Companies(Private),,"330-335, The Galleria, Near Sanjeevkumar Auditorium, Opp. New RTO, Pal, Adajan, Surat - 395009, Gujarat",+91-9328232522,,
134,Envato Elements Pty Ltd,Companies(Private),,,,,
135,AbsMLM,Companies(Private),,"No. 5/3,1st Floor, 2nd Thiruvengadam Street, , Door No. 1/142, P.H.Road, Sivapootham, Vanagaram, Chennai 600095,TN",+91-9790033633,,
