Name,Sector,City,Address,Phone,Email,Lat-Long
ICONIC FITNESS KORAMANGALA 1st BLOCK - Largest fitness chain in Bangalore | Best Rated | Unisex Fitness Centers | Gx Studios,Gyms,Bangalore,"5+ years in business · 43, 5th A Main Rd, near Wipro Park",Open ⋅ Closes 12 am · 070262 76888,,
Royal Fitness Gym Bangalore,Gyms,Bangalore,"3+ years in business · #277, 9th main, Mahadeshwaranagara Main Rd",Open ⋅ Closes 10:30 pm · 097316 91413,,
Iconic Fitness BTM 1st stage Maruthi Nagar | Best Rated Gym In Bangalore | Unisex | Group classes |,Gyms,Bangalore,"5+ years in business · To More Super Market, No 4/19,1st Floor",Open ⋅ Closes 12 am · 070263 22322,,
Olympic Gym & Fitness Center,Gyms,Bangalore,"10+ years in business · AFTER GURU'SWEET'Z,SOMESHWARA'TEMPLE,U'LL FIND D GYM TOWARD'S UA LEFT_HAND'SIDE WITH D BIG'POSTER OF'D OLYMPIC'GYM ON'D BUILDIN. #11,GROUND'FLOOR, Someshwara Temple Rd",Open ⋅ Closes 10 pm · 098863 07472,,
Intensity Fitness Center,Gyms,Bangalore,"10+ years in business · 5, Thanappa Enclave, 1st & 2nd Floor, 1st Cross Road, Sirur Park Rd, opp. Mantri Mall",Open ⋅ Closes 9:30 pm · 080500 04558,,
FitGainer GYM & Fitness Centre,Gyms,Bangalore,"3+ years in business · Sub Registrar office, Seethappa layout, Opposite Families Super Market and above Apollo pharmacy RT Nagar Post, near Hebbal",Open ⋅ Closes 10:30 pm · 098866 83646,,
Golden Fizzik,Gyms,Bangalore,"10+ years in business · Rajeshwari Complex, # 163, 1st Floor, Above Karnataka Bank R.V.Road Minerva Circle Bangalore Karnataka 560004 IN, Girls High School Rd",Open ⋅ Closes 11 pm · 098455 91664,,
Fitness Club,Gyms,Bangalore,"7+ years in business · 3rd floor, No 6, 12th Cross Rd, behind TVS showroom, opp. to Behtar Super Market",Open ⋅ Closes 11 pm · 099867 86763,,
Fitness Edge,Gyms,Bangalore,"10+ years in business · S.G.Palya Main Road, Shop No : 1, 1st Floor, 1st Main Road, 8th Cross Rd",Open ⋅ Closes 10 pm · 094816 71454,,
XNA FITNESS (Xcuses not allowed),Gyms,Bangalore,"5+ years in business · 2nd Floor, Survey No. 10, Site No. 5, 6-7, Yelenahalli Main Rd",Open ⋅ Closes 10:30 pm · 093803 41373,,
Cult HSR - Best Gym in Bangalore,Gyms,Bangalore,"5+ years in business · 15th B Cross, 19th Main Rd, 15th B Cross Rd, opp. Mumbai Tiffin",Open ⋅ Closes 10 pm,,
"GymX, Fitness Redefined - Available at cult.fit - Gyms in Marathahalli, Bangalore",Gyms,Bangalore,"7+ years in business · Outer Ring Rd 90/2, Fourth Floor, Sri Balaji Suprabatha Complex",Open ⋅ Closes 10:30 pm · 063628 52078,,
Silver's Gym,Gyms,Bangalore,"7+ years in business · #34,Mahalakshmi Arcade, 3rd Floor, CBI Road post, next to Sichi Sagar hotel",Open ⋅ Closes 10:30 pm · 087222 23289,,
ICONIC FITNESS KORAMANGALA 4th BLOCK - Largest fitness chain in Bangalore | Best Rated | Unisex Fitness Centers | Gx Studio,Gyms,Bangalore,"3+ years in business · 142 ST BED layout 1st Main Road, 8th Cross Rd",Open ⋅ Closes 11 pm · 070262 76888,,
FitBox Gym,Gyms,Bangalore,"3+ years in business · 3rd H Main Rd, opposite Krisha Leela Grand hotel",Open ⋅ Closes 10:30 pm · 092076 64477,,
"Volt Fitness Club - Gym in 2nd Stage, Indiranagar, Bengaluru",Gyms,Bangalore,"7+ years in business · 2986, 12th Main Rd",Open ⋅ Closes 10:30 pm,,
TOP GYM,Gyms,Bangalore,"5+ years in business · 4, Seppings Rd",Open ⋅ Closes 12 am,,
LMNT Fitness Club,Gyms,Bangalore,"3+ years in business · Ward No. 82, 4th Floor, Sy.no. 69/2, Opp Decathlon Mahadevpura Village, Whitefield Main Rd",Open ⋅ Closes 11 pm · 098459 98451,,
Bodywise Gym | Old-School Gym | Jayanagar | Basavangudi | RV Road | Gyms in Bangalore,Gyms,Bangalore,"10+ years in business · 39/1, 1st Floor, Rashtriya Vidyalaya Rd, above Turkish Pasha Restaurant, opp. to THE BANGALORE HIGHER SECONDARY SCHOOL",Open ⋅ Closes 9:30 pm · 088673 78884,,
International Fitness Centre (IFC),Gyms,Bangalore,"10+ years in business · No. 20, 108B Bus Stand, 1st Main Road, 9th Main Rd",Open ⋅ Closes 10 pm · 089042 94027,,
"Cult Brigade Road - Gyms in Ashok Nagar, Bangalore",Gyms,Bangalore,"3+ years in business · 4th Floor, Cult, Eva Mall, 157, Brigade Rd",Open ⋅ Closes 10 pm,,
Athena Gym and Fitness,Gyms,Bangalore,"7+ years in business · 45, Millers Rd, opposite Photo Flash",Open ⋅ Closes 10 pm · 080 4123 5577,,
ICONIC FITNESS HSR SECTOR 2 - Largest fitness chain in Bangalore | Best Rated | Unisex Fitness Centers | Gx Studio |,Gyms,Bangalore,"3+ years in business · Apartment, 107, 24th Cross Rd, next to Purva Fairmont Road, above ALANKRITA",Open ⋅ Closes 12 am · 070263 22322,,
Fitness Empire,Gyms,Bangalore,"5+ years in business · 2nd & 3rd Floor, Sri Sapthagiri Complex, 90/3, Outer Ring Rd, opposite innovative multiplex, above Yo chow",Open ⋅ Closes 11:30 pm · 070194 74809,,
Body Vignyan Gym JP Nagar | Gym in JP Nagar | Best Gym In Bangalore | weight loss Center in jp nagar.,Gyms,Bangalore,"7+ years in business · 745/AB, 15TH Cross, 24th Main Rd, next to Nandhini Hotel, above MC Donalds",Open ⋅ Closes 10:30 pm · 095917 07008,,
"Cult SG Palya - Gyms in Suddagunte Palya, Bangalore",Gyms,Bangalore,"3+ years in business · 1st Floor, Above Nexa, KDP Building, Near Forum Mall, Suddagunte Palya",Open ⋅ Closes 10 pm · 1800 572 6303,,
Hammer Fitness,Gyms,Bangalore,"7+ years in business · 2nd Floor, 2341, 17th Cross Rd, opp. to Basaveshwara Gayathri Temple",Open ⋅ Closes 10 pm · 090087 72772,,
Rockwall Fitness,Gyms,Bangalore,"No.4, 2nd Floor, Krishna Nagar Industrial Area, Hosur Main Road, next to Royal Enfield showroom",Open ⋅ Closes 10:45 pm · 080 4991 5898,,
Powerfitness club Bangalore,Gyms,Bangalore,"3+ years in business · # 4 Hennur Bagalur Road, New Airport Rd, near DMart",Open ⋅ Closes 10 pm · 099169 92499,,
ARL FITNESS CENTER (GYM),Gyms,Bangalore,"5+ years in business · 25, 3RD FLOOR, Annipura Main Rd",Open 24 hours · 097411 31778,,
"Supergym - Available on cult.fit - Gyms in Thippasandra Main Road, Bangalore",Gyms,Bangalore,"New Thippasandra Main Rd, Murgan Temple Rd, above More Supermarket, opposite Sri Jagadamma",Open ⋅ Closes 11 pm · 080730 07464,,
ICONIC FITNESS KORAMANGALA 5th BLOCK - Largest fitness chain in Bangalore | Best Rated | Unisex Fitness Centers | Gx Studios,Gyms,Bangalore,"MM Mention, 67, 60 Feet Rd",Open ⋅ Closes 11 pm · 070262 76888,,
OneUp Fitness,Gyms,Bangalore,"15+ years in business · Building No, 2012, 100 Feet Rd",Open ⋅ Closes 10 pm · 099000 67511,,
The Den - Strength & Conditioning Gym,Gyms,Bangalore,3+ years in business · Annaswamy Mudaliar Rd,Open ⋅ Closes 8 pm · 095352 77784,,
"Elite Fitness Club - Available on cult.fit - Gyms in R.M.V, Bangalore",Gyms,Bangalore,"5+ years in business · 112, New BEL Rd",Open ⋅ Closes 10 pm · 098454 25811,,
Zest Fitness Studio,Gyms,Bangalore,"5+ years in business · No. 257, 1st & 2nd & 3rd, above RBL Bank",Open 24 hours · 074113 47411,,
Poundd Fitness,Gyms,Bangalore,"5+ years in business · Poundd Fitness, 3rd floor, #77 Prabha's Legacy, NAL Wind Tunnel Main Road, Murgeshpalya",Open ⋅ Closes 10 pm · 077957 90767,,
endorphin.fitness,Gyms,Bangalore,"3+ years in business · S N Complex, No 13 & 20, 3rd Floor 1st Main Road, 2nd Cross St",Open ⋅ Closes 10 pm · 096325 07665,,
Gym Town Fitness Club,Gyms,Bangalore,"5+ years in business · 5th floor, Komarla Towers, Circle, above Axis Bank",Open ⋅ Closes 10 pm · 096205 21444,,
Body Carvers Gym,Gyms,Bangalore,"20+ years in business · 12/11-8, Mouna Guru Swamy Mutt Road, behind St. Aloysius institution",Open ⋅ Closes 10:30 pm · 094488 65751,,
Super Muscle gym,Gyms,Bangalore,"dodda matta, 46, Main Rd, near jain temple",Open ⋅ Closes 10 pm · 097395 56723,,
Mutante Strength Gym,Gyms,Bangalore,"5+ years in business · 36/1 S.L.J Reach, 2nd floor, 9th Cross Rd",Open ⋅ Closes 10 pm · 097404 45167,,
BODY MORPH Gym,Gyms,Bangalore,"3+ years in business · 3rd Floor, Bangalore east, above Unilet Subhash Nagar, next to Tanishq Jewellery",Open ⋅ Closes 10 pm · 097422 36888,,
"Cult Chandra Layout - Gyms in Chandra Layout, Bangalore",Gyms,Bangalore,"5+ years in business · 2nd & 3rd floor, 89/A, 4th Main Rd, next to Brahmin's cafe",Open ⋅ Closes 10 pm,,
LIFTR - Strength & Conditioning Gym | Residency Road,Gyms,Bangalore,"Terrace Floor, Wework Galaxy, 43, Residency Rd",Open ⋅ Closes 8:30 pm · 079 4910 7788,,
Adithya Fitness #1,Gyms,Bangalore,"3+ years in business · Shop No. 5, 6, 7th Cross Rd, opposite Police Station",Open ⋅ Closes 9:30 pm,,
Fit And Active Gym,Gyms,Bangalore,"Site No 300, 2nd Floor AECS Layout 60 ft Road, A Block above Reliance Trends Women AECS Layout",Open ⋅ Closes 11 pm · 081231 41166,,
Venki's Gym,Gyms,Bangalore,"3+ years in business · #7, 1st Floor, SS Arcade, BTS Main Rd, opp. Bharathi Refreshment",Open ⋅ Closes 10 pm · 098451 43709,,
121 Premium Fitness Studio,Gyms,Bangalore,"88, Brigade Millenium Rd",Open ⋅ Closes 11:30 pm · 072597 67676,,
BISON FITNESS,Gyms,Bangalore,"3+ years in business · 14, Soms-Medhu, KIRA, Hosur Main Road, next to Christ universe college, near The Forum Mall",Open ⋅ Closes 11:30 pm · 080 4218 5849,,
Fitdeck Bangalore,Gyms,Bangalore,"#33, 4th floor, above Reliance Trends Ashoka Pillar, 100 Feet Ring Rd",Open ⋅ Closes 10:30 pm · 081230 88672,,
High Fitness Club,Gyms,Bangalore,"5+ years in business · No.9, Old-No.523, 2nd Floor, 33rd Cross Rd, above VBJ Jewels",Open ⋅ Closes 9:30 pm · 098865 36111,,
"Cult Gym Richmond Road - Gyms in Richmond Road, Bangalore",Gyms,Bangalore,"No 2, Mirza House, Convent Road, Richmond Rd, near HDFC Bank",Open ⋅ Closes 9:30 pm,,
ICONIC FITNESS KORAMANGALA 7th Block - Largest fitness chain in Bangalore | Best Rated | Unisex Fitness Centers | Gx Studios,Gyms,Bangalore,"Site No 6/B, 2nd Floor, 20th Main Rd, above HDFC Bank, next to Bombay Adda",Open ⋅ Closes 11 pm · 070262 76888,,
Kumar's Gym,Gyms,Bangalore,"15+ years in business · #13/1, Banappa, 7th Cross Road, Bannappa Park Rd",Open ⋅ Closes 10:30 pm · 099027 97385,,
Fitness Fuel Factory - Best Gym in HSR Layout,Gyms,Bangalore,"3+ years in business · #16,2nd floor,9th Main, 17th Cross Rd",Open ⋅ Closes 10 pm · 099646 66617,,
Posh Fitness Koramangala,Gyms,Bangalore,"80 Feet Rd, near Wipro Avenue, opposite to Starbucks",Open ⋅ Closes 11 pm · 099454 85143,,
"Cult Indiranagar - Gyms in Indiranagar, Bangalore",Gyms,Bangalore,"7+ years in business · 1st floor, 100 Feet Rd, above Ritu Kumar",Open ⋅ Closes 9 pm,,
