,Name,Sector,City,Address,Phone,Email,Lat-Long
13267,Muscle Studio - Kumaraswamy Layout - Bangalore,Gym,Bangalore,"2395/5, Hemadri Plaza, Near Bake Delite, 18th Main Road, 2nd Stage, Kumaraswamy Layout, Bengaluru 560078, KA",+91-9740170679,,
13268,Fun Plus Fit - Kondapur - Hyderabad,Gym,Hyderabad,"104, Aditya Hridayam, Block 2, Near Sofa World, Kondapur, Hyderabad 500081, TS",+91-9989880557,,
13269,Gold Gym - Pune,Gym,Pune,,,,
13270,Green Fitness Studio - Electronics City Phase 1 - Bangalore,Gym,Bangalore,"No.4, Sowrabha Complex Green House Layout, Doddathoguru, Electronics City Phase 1, Electronic City Bengaluru, Karnataka 560100",+91-8049783893,,
13271,Gravity Fitness Gym - Ejipura - Bangalore,Gym,Bangalore,"16, 3rd Floor, Sri Anjaneya Sankirana, 20th B Cross Rd, Ejipura, Bengaluru 560047,KA",+19-8217891569,,
13272,Zing Fit Clinic - Bosepukur Road - Kolkata,Gym,Kolkata,"59A/3 Bosepukur Road, Next to Santanu Apartment Kolkata 700042,WB",+91-8617-744-241,,
13273,Aesthetic Fitness - Kharghar - Navi Mumbai,Gym,Navi Mumbai,"Shop no-08 & 09, Sai Sakshaat Society, Sector 6, Kharghar, Navi Mumbai 410210,MH","+918928603420,+91-89286 03693",,
13274,Fit n' nut Gym - Madipakkam - Chennai,Gym,Chennai,"No.51, 52, Medavakkam Main Rd, Balaji Nagar, Madipakkam, Chennai 600091,TN",+91-6384010994,,
13275,Winners health club - Jalgaon,Gym,Jalgaon,"Thorgavan, Jalgaon 425501, MH",,,
13276,Winners Foundation Gym - Jalgaon,Gym,Jalgaon,"Sane Nagar, Amalner, Jalgaon 425401, MH",,,
13277,Vyenktesh Swimming - Jalgaon,Gym,Jalgaon,"Tongaon, Jalgaon 424201, MH",+91-7419873773,,
13278,Vivekananda Gym - Jalgaon,Gym,Jalgaon,"Near Bari Nagar, Shirsoli, Jalgaon 425002, MH",,,
13279,Vitthal Mandir - Jalgaon,Gym,Jalgaon,"Vikas Colony, Rotwad Neri, Bhusawal, Jamner Road, Maauli Nagar, Jalgaon 425114, MH",,,
13280,Vispute Fitness Point - Jalgaon,Gym,Jalgaon,"Hanumanwadi, Chalisgaon, Jalgaon 424101, MH",,,
13281,Vishal Eservices - Jalgaon,Gym,Jalgaon,"Jilhapeth, Jalgaon 425001, MH",,,
13282,Vintage Fitness - Jalgaon,Gym,Jalgaon,"Anandraj Palace, Opposite Hotel Shrinath Pride, Dharangaon Naka, Jalgaon 425107, MH",,,
13283,Vedant Fitness & Health Organisation - Jalgaon,Gym,Jalgaon,"Sane Nagar, Amalner, Jalgaon 425401, MH",,,
13284,Va Va Gym - Jalgaon,Gym,Jalgaon,"Near Va Va Vachnalay, Navi Peth, Station Road, Jaikisanwadi, Jalgaon 425001, MH",,,
13285,Tiwari Fitness Club - Jalgaon,Gym,Jalgaon,"Ramchandra Nagar, Erandol, Jalgaon 425109, MH",,,
