,Name,Sector,City,Address,Phone,Email,Lat-Long
1,Heaven World English Medium School,Schools,Mumbai,Near Prasad Niwas Bungalow Badlapur,9972233681.0,,
2,Narayana E-Techno School,Schools,Mumbai,Opposite Bank Of Baroda Varap,9972235163.0,,
3,Gurukul International School (CBSE),Schools,Mumbai,Near Mohan Highland Badlapur East,7405741077.0,,
4,Blossom Convent School,Schools,Mumbai,Near Shrikrishan Residency Badlapur,9972568489.0,,
5,Gurukul - The Day School,Schools,Mumbai,Near Nevali Junction Kalyan East Dombivli East,9972260499.0,,
6,IGS ( I GLOBAL SCHOOL ),Schools,Mumbai,Madhuvan Madhuvan Township Vasai East,9972901897.0,,
7,Meridian School,Schools,Mumbai, Titwala,9845467821.0,,
8,Ramsheth Thakur Public School,Schools,Mumbai,Sector 19 Kharghar,8867849130.0,,
9,Bunts Sangha's Shashikiran Shetty Educational Institution ( Arathi Shetty International School),Schools,Mumbai,Adjacent to BMC Ground I C Colony Borivali West,7048814992.0,,
10,Greater Valley International School,Schools,Mumbai,Nr Maha Ganpati Temple Titwala,9845459614.0,,
11,S M G Vidyalay & Junior College,Schools,Mumbai,Near Lalit Kata Sonarpada Dombivli Industrial Area dombivli East,7947080373.0,,
12,Sanman Career Academy,Schools,Mumbai,Near Swagat Hotel Thane,9972812291.0,,
13,Deccan Super Kids,Schools,Mumbai,Opposite Dental College Ambernath,9972411599.0,,
14,M G M Academys High School and Junior College,Schools,Mumbai,Off Agashi Road Bolinj Behind Sahyog Hospital Virar West,9845259320.0,,
15,Mahatma Gandhi Public School & Junior College,Schools,Mumbai,Near Pushp Vinayak Complex New Panvel,9845257246.0,,
16,Eva World School,Schools,Mumbai,Opposite Pallava Phase 2 Dombivli East,9972208894.0,,
17,KPC Public School & Junior College,Schools,Mumbai,Behind Vastu Vihar KH 1 Kharghar,9972301240.0,,
18,Jaipuriar School,Schools,Mumbai,Near Moraj Residency Sanpada,9845159420.0,,
19,Sacred Heart School,Schools,Mumbai,Varap Gaon Kalyan West,7947207238.0,,
20,Sree Narayan Guru Central School,Schools,Mumbai,Opposite 380 Bus Stop Chembur West,7405872700.0,,
21,S N G International School,Schools,Mumbai, Ulwe,9972331891.0,,
22,The TreeHouse,Schools,Mumbai,Near Mujlibhai Mehta School Bolinj Virar West,9845204807.0,,
23,Twinkle Star English High School,Schools,Mumbai,Near Maharashtra Bakery Palghar City,9845268057.0,,
24,St Wilfred'S School,Schools,Mumbai,Opp Hatkesh Mira Road East,9972845893.0,,
25,Aadarsh Sanskar Pre School,Schools,Mumbai,Near Parmarth Mandir Golden Nest Bhayandar East,,,
26,Radhai Inksap School,Schools,Mumbai, Kamothe,9972913003.0,,
27,Divine Santo Nino International School,Schools,Mumbai,Near Sai Baba Mandir Behind D K Motors Nalasopara East,7947336535.0,,
28,Little Champs Preschool,Schools,Mumbai,Near Vitthal Temple Mankhurd,,,
29,Royal International School,Schools,Mumbai,Near Gandhi Nagar Dombivli East,9845249470.0,,
30,St Xaviers International School,Schools,Mumbai,Aadharwadi RoadNear DB Chowk Adharwadi kalyan West,9845466113.0,,
31,Baby World Preschool Smt L B Joshi English High School Junior College,Schools,Mumbai,Near Sshospital Kalher,9035045716.0,,
32,The Polymath School,Schools,Mumbai, Bhiwandi City,9845474069.0,,
33,Chetna English High School,Schools,Mumbai,Near Chakki Naka Kalyan East,9972224550.0,,
34,Sadhu Vaswani International School,Schools,Mumbai,Off Palm Beach Marg Behind Bhumiraj Complex Sanpada,9036650598.0,,
35,Blossom English High School,Schools,Mumbai, Kolshet thane West,9845265081.0,,
36,R.C Maruti High School,Schools,Mumbai,Near Kelicha Pada Nagar Bhoidhapada Vasai East,9972416372.0,,
37,Gulmohar Pre- Primary School & Teacher Training Institute,Schools,Mumbai,Near Kamal Motors Kalyan West,,,
38,S E International School,Schools,Mumbai,Behind Gokul Hotel Borivali West,9036676480.0,,
39,Adarsh Vidyalaya High School & Jack N Jill Pre School,Schools,Mumbai,Opposite Xperia Mall Pallava City Behind Sai Baba Mandir Nilje,9845249364.0,,
40,Holy Angels English High School,Schools,Mumbai,Opposite Indralok Phase 1 Bhayandar East,9845242898.0,,
41,Wisdom High School,Schools,Mumbai, Dombivli East,9972922808.0,,
42,Gurukul Wave International Preschool & Gurukul Excellence International School,Schools,Mumbai,Near Vijay Sales Virar West,9845448056.0,,
43,Kent Valley International School,Schools,Mumbai,Khardi Gaon Diva,8904234283.0,,
44,First Step Global,Schools,Mumbai,Near GCC Club Vinay Nagar Mira Road East,9972436670.0,,
45,Richmond International PRE School,Schools,Mumbai,Opposite Shubhlabh Society Near Kelkar College Mulund East,9845263065.0,,
46,The Bms Brio,Schools,Mumbai,Borivali,7947329943.0,,
47,MAAERS Dr.Vishwanath Karad Vishwajyoti International School,Schools,Mumbai,Near Green Valley Studio Mira Road East,7487006194.0,,
48,Gems School Of Excellence,Schools,Mumbai,Opposite Sana Masjid Mira Road East,,,
49,Anandi Gopal,Schools,Mumbai,Ostwal Cidco Bypass Boisar,,,
50,Indra English High School & Junior College,Schools,Mumbai,Indira Nagar Mandala Mankhurd,,,
51,Leeway School,Schools,Mumbai,Near D Mart and Near Palegaon Cricket Ground Ambernath East,8904081846.0,,
