,Names
1,Aarthi Scans and Labs
2,Aavin
3,Aban Offshore
4,Accel Transmatic
5,Adyar Ananda Bhavan
6,Amalgamations Group
7,Amara Muzik
8,Amrutanjan Healthcare
9,Ananda Vikatan
10,Anjappar Chettinad Restaurant
11,Apollo Hospitals
12,Aravind Laboratories
13,Arun Icecreams
14,Ashok Leyland
15,Ashok Leyland Defence Systems
16,Basin Bridge Gas Turbine Power Station
17,BGR Energy Systems
18,BharatBenz
19,Bharathi Puthakalayam
20,Binny and Co.
21,Blue Dart Aviation
22,BMW India
23,Buckingham and Carnatic Mills
24,Business Line
25,CaratLane
26,Carborundum Universal
27,Carnatic Bank
28,Chennai Petroleum Corporation
29,Chettinad Group
30,Club Mahindra Holidays
31,Co-optex
32,Crescent Air Cargo
33,Dina Thanthi
34,Dinakaran
35,Dindigul Thalappakatti Restaurant
36,DSQ Software
37,Electronics Corporation of Tamil Nadu
38,Farida Group
39,Food Corporation of India
40,Freshworks
41,FundsIndia
42,Giggles (Bookshop)
43,GMR Vasavi Diesel Power Plant
44,Hatsun Agro Product
45,Hello FM
46,The Hindu Group
47,Image Creative Education
48,India Home Health Care
49,Indian Potash Limited
50,Indian Thought Publications
51,Infysec
52,Inspirisys
53,Integral Coach Factory
54,Johnson Lifts
55,Kamarajar Port Limited
56,Karadi Tales
57,Kattupalli Shipyard
58,Khazana Jewellery
59,Kumudam
60,Landmark Bookstores
61,List of newspapers in Chennai
62,Maalai Malar
63,Madras Fertilizers
64,Madras Tramways
65,Manali Petrochemical
66,MARG (company)
67,Maveric Systems
68,Metropolitan Transport Corporation (Chennai)
69,MGM Group of Companies
70,Minjur Seawater Desalination Plant
71,MIOT International Hospital
72,Murugappa Group
73,Naihaa
74,Nalli (wardrobe store)
75,Nemmeli Seawater Desalination Plant
76,NEPC Airlines
77,The New Indian Express
78,NLC India Limited
79,Novatium
80,BHAVINI
81,Odyssey (bookstore)
82,Orchid Chemicals & Pharmaceuticals
83,Paramount Airways
84,Pizza Corner
85,Pon Pure Chemicals Group
86,Poompuhar Shipping Corporation
87,Raj Television Network
88,Ramco Systems
89,Rane group
90,Ratna Cafe
91,The Residency Group of Hotels
92,Royal Enfield (India)
93,Saravana Bhavan
94,SciGenom Labs
95,Sea6 Energy
96,Shanti Theatre
97,Shilpa Architects
98,Sony Music India
99,SPIC (Indian company)
100,Sportstar
101,Standard (Indian automobile)
102,State Express Transport Corporation
103,Sterling Holiday Resorts Limited
104,Sulekha
105,Sumangali Cable Vision
106,Sun Direct
107,Sundaram-Clayton
108,Saravana Stores
109,Takraf India Pvt. Ltd.
110,Tamil Nadu Arasu Cable TV Corporation Limited
111,Tamil Nadu Industrial Explosives Limited
112,Tamil Nadu Medical Services
113,Tamil Nadu Minerals Limited
114,Tamil Nadu Newsprint and Papers Limited
115,Tamil Nadu Petroproducts Limited
116,Tamil Nadu Small Industries Corporation Limited
117,Tamil Nadu Sugar Corporation Limited
118,TASMAC
119,Tebma Shipyard Limited
120,Thanthi TV
121,The Asiatic Bank
122,The British Bank of Madras (1795)
123,The Madras Bank (1683)
124,Think Music
125,Titan Company
126,TNEB
127,TrendMusic
128,TTK Prestige
129,Tube Investments of India Limited
130,Tube Products of India
131,TVS Emerald
132,U1 Records
133,VA Tech Wabag
134,Vaayusastra Aerospace
135,Vasan Healthcare
136,Vasanth & Co
137,Vasanth TV
138,Vavilla Ramaswamy Sastrulu and Sons
139,VGN Projects Estates
140,Zoho Corporation
