,Name,Sector,City,Address,Phone,Email,Lat-Long
20209,Viva Bakes and Restaurant,Retail,Kerala,Opposite Panchayath Office Chungathara,8401884780.0,,"11.3368321,76.2766697"
20210,Farsa Restaurant,Retail,Kerala,Near Sree Sumo Auditorium Manjeri Kla,,,"11.1236636,76.1147933"
20211,Spunge Cakes and Cafe,Retail,Kerala,Near IDBI Bank Tirur,,,"10.9207183,75.9280516"
20212,Ritzy Restaurant Kuttippuram,Retail,Kerala,Near Signal Junction Kuttippuram Kuttippuram,,,"10.8431243,76.0303983"
20213,Nutmeg Biriyani Darbar,Retail,Kerala,NEAR My G Building Kondotti Malappuram,,,"11.1487733,75.9602616"
20214,Albaik Restaurant,Retail,Kerala,Near HP Petrol Pump Manjeri Kla,8485922748.0,,"11.120954,76.116664"
20215,Airlines Celestial Restaurant And Caterers,Retail,Kerala, Kizhakkethala,,,"11.050583,76.0713885"
20216,Inbare Indian Bakes & Restaurant,Retail,Kerala, Wandoor,8971298671.0,,"11.192989,76.246645"
20217,Bonfire,Retail,Kerala,Near Kendra Vidhyalayam Civil Station,,,"11.0429994,76.0766208"
20218,City Park Restaurant,Retail,Kerala,Near Kadheeja Auditorium Tirur,7947174432.0,,"10.91589729624,75.92398072014"
20219,Hotel Royal Food,Retail,Kerala,,,,"11.0701711,75.9182023"
20220,D Factory S Roll On Shawarma Spot,Retail,Kerala,Near Manu Store Othukkungal,,,"11.0266763,76.0306494"
20221,Hotel Fast N Fast,Retail,Kerala,Jumma Masjid Edavanna,,,"11.2125495,76.1391324"
20222,KFC,Retail,Kerala,Near Byepass Junction perintalmanna,,,"10.9771732,76.2185249"
20223,Brown Beans Cafe,Retail,Kerala,Near AMHonda Showroom Manjeri Bazar,,,"11.119368,76.111673"
20224,Omkar Pure Veg Restaurant and Residency,Retail,Kerala, Perintalmanna,,,"10.9888323,76.2261421"
20225,Delicia Hotel,Retail,Kerala,Near Municipal Bus Stand Downhill,,,"11.0445239,76.075963"
20226,Olene Canto Bakes & Restaurant,Retail,Kerala,Opposite New Bus Stand Manjeri,,,"11.1201655,76.1225205"
20227,Crumbz,Retail,Kerala, Edappal,,,"10.7826197,76.007904"
20228,Malabar White House Restaurant,Retail,Kerala,Near Police Station Ponnani,,,"10.7573201,75.9289406"
20229,Hotel Kailash,Retail,Kerala, Elappara Road,,,"9.6877501,76.9059062"
20230,Vagaland Restaurant,Retail,Kerala, Vagamon,,,"9.6878531,76.9055938"
20231,Periyar Tiger Cafe Restaurant,Retail,Kerala,Near Periyar Tiger Reserve Entrance Gate Kumily,7411652050.0,,"9.5996781,77.1713831"
20232,Al-Safa Hotel & Restaurant,Retail,Kerala, Elappara Road,,,"9.6885086,76.906328"
20233,Hotel Chinnus,Retail,Kerala, Vagamon,,,"9.6861852,76.9051243"
20234,Babus Kitchen,Retail,Kerala,,,,"9.6905065,76.9094002"
20235,Hotel Crown Plaza,Retail,Kerala, Vagamon,,,"9.687073,76.905322"
20236,Abhilash Hotel,Retail,Kerala,Near Vagamon Central Bus Stop Elappara Road,,,"9.688111,76.906136"
